Year,Year_OCD,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,BpRes,BpExld,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:Ret/Sk/Abs,DPr:ForMs,RPrResDio,RPr:frgnms,Pr:D,Pr:R,Pr:Tot,PrOthDio,Ord:TrDeac,Ord:PrmDeac,TotBr,Br:frgnms,TotSis,Sis:frgnms,Prsh,WResPstr,Non-ResPstr,Ms,Stns,Chpls,WResChap,Non-resChap,Sem:D,StdntDio,StdntOthDio,"Students of dioc in other seminaries(Seminaries, Diocesan)",Sem:R,Sem:StdntR,Sem:StdnDio,Sem:StdntOthDio,TotSemnr,Coll/Univ,M:Coll/Univ,W:Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:Boys,HS:D/Prsh:Girls,HS:D/Prsh:TotStdnt,HS:Prvt,B:HS:Prvt,G:HS:Prvt,HS:Prvt:TotStdnt,"Elementary Schools, Parochial","Total Students(Elementary Schools, Parochial)",ElSch:Prvt,B:ElSch:Prvt,G:ElSch:Prvt,ElSch:Prvt:TotStdnt,PrtctvInst,PrtctvInst:TotStdnt,Public School Pupils in Special religious Instruction Classes,High School Students(Public School Pupils),Elementary Students(Public School Pupils),RE:TotStdnt,"Priests, Teaching (full time)",Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Paid Lay teachers,Total teachers in diocese,Hsp,Hsp:Bedcap,Hsp:Inpat:anual,Hsp:Outpat:anual,Total Patients(General Hospitals),SpecHsp:Sanat,SpecHsp:Sanat:Bed capacity,SpecHsp:Sanat:Inpat:anual,SpecHsp:Sanat:Outpat:anual,SpecHsp:Sanat:Totpat,Schools for nurses,Student nurses(Schools for nurses),Home for Dependent Children,Resident Boys(Home for Dependent Children),Resident Girls(Home for Dependent Children),Children in Foster Homes(Home for Dependent Children),Total Dependent Children(Home for Dependent Children),Homes for invalid and aged,Guests(Homes for invalid and aged),InfBapt,Cnvrt,TotBapt,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
1985,1986,Santa Fe,,,1,1,,,,,,1,,89,3,38,1,90,11,130,101,231,12,,60,90,2,339,8,88,87,1,216,42,70,20,50,1,7,18,15,1,6,,,28,2,800,1300,2100,2,496,509,1005,2,371,368,739,21,5113,,,,,,,,3447,14086,26518,10,,28,73,335,446,2,505,11687,19687,31332,1,,,5500,5500,,,,,,,,1,40,7088,265,7353,1510,335,1845,2148,248317,800000
1985,1986,Santa Rosa,,,,,1,,,,,,,70,2,18,,23,,90,23,113,7,7,6,35,,116,4,40,40,,23,13,29,6,23,,,,16,1,5,,,21,,,,,4,937,532,1469,2,5,413,418,12,2863,3,70,28,98,1,70,,854,5250,11043,3,,9,35,241,288,4,609,25208,134936,160144,,,,,,,,,,,14,14,3,68,2117,198,2315,411,357,768,956,98673,628371
1985,1986,Savannah,,,,,1,,,,,,,53,9,6,,38,,68,38,106,,,36,10,,212,,48,48,,29,4,30,2,28,,,,7,,,,,7,,,,,2,355,364,719,3,706,724,1430,16,4634,,,,,,,,1245,5237,13272,11,,6,70,286,373,3,833,27635,88710,116345,,,,,,,,1,15,25,,40,,,1321,429,1750,187,285,472,525,61578,1924550
1985,1986,Scranton,,,,,1,,,,1,,,342,20,94,,106,25,456,131,587,13,1,1,9,2,1185,12,239,234,5,56,18,132,13,119,1,23,12,26,1,3,,,52,4,4670,6807,11477,10,1830,2197,4027,1,387,396,783,57,11691,,,,,4,273,,10954,25952,65209,48,2,,394,1937,2381,5,1222,39845,369508,409353,2,203,482,44,526,1,51,,,,,,3,330,5605,304,5909,1780,791,2571,5000,357451,970771
1985,1986,Seattle,,,1,1,,1,,,1,1,1,179,13,34,3,195,29,226,224,450,15,1,80,36,1,749,29,132,131,1,34,19,47,17,30,,,,12,,7,,,19,2,2303,2582,4885,3,1554,1210,2764,5,1183,1647,2830,56,13019,2,97,200,297,,,,4616,22027,50457,46,2,17,72,1066,1203,11,2030,80043,283734,363777,,,,,,1,320,7,39,39,300,378,5,617,5864,1245,7109,1123,1454,2577,2692,290731,3331000
1985,1986,Sioux City,,,,,1,,,,1,,,153,14,29,1,2,8,196,10,206,,2,28,3,3,240,2,119,119,,17,,51,5,46,1,2,,20,,,,,22,1,429,888,1317,9,1344,1510,2854,,,,,36,7387,,,,,,,,3493,8213,23286,42,,,117,488,647,3,689,15694,81950,97644,,,,,,1,114,3,8,16,,24,3,266,2407,259,2666,531,419,950,1107,108243,512861
1985,1986,Sioux Falls,,,,,1,1,,,1,1,1,108,9,25,,38,4,142,42,184,5,1,12,19,2,566,8,122,97,25,38,19,35,4,31,,,,18,,,,,18,2,210,657,867,3,540,510,1050,,,,,24,3893,,,,,1,21,,5507,10934,22290,4,,4,69,297,374,10,1100,35458,126025,161483,,,,,,4,140,,,,2,2,5,413,2335,368,2703,548,487,1035,1081,103570,486500
1985,1986,Spokane,,,,,1,,,,1,,,65,7,22,2,80,9,94,89,183,3,1,34,8,2,441,4,77,74,3,,2,25,8,17,1,7,1,6,2,34,,,47,1,1625,1492,3117,1,67,54,121,1,473,421,894,16,3359,,,,,1,30,,923,4296,12787,42,,3,31,229,305,6,1155,44613,168104,212717,,,,,,1,10,,,,,,7,567,1679,375,2054,307,386,693,683,81260,574023
1985,1986,Springfield,,,,,1,1,,,,,,202,8,48,,111,24,258,135,393,2,2,28,22,5,890,25,136,135,1,15,15,69,22,47,,,,22,1,47,,,69,1,10,880,890,4,1477,1730,3207,,,,,33,10236,,,,,,,,12335,26560,53297,16,,,209,513,738,3,641,19375,174990,194365,,,,,,,,1,50,,35,85,3,268,4769,240,5009,1917,668,2585,4221,348495,790725
1985,1986,"Springfield, IL",,,,,1,,,,,,,147,6,34,,86,11,187,97,284,5,3,,23,5,920,22,145,130,15,34,,115,25,90,1,5,,21,3,36,,,62,2,803,993,1796,3,226,258,484,6,1317,1478,2795,64,13345,,,,,1,112,,3343,8617,30554,10,,,149,709,868,10,2884,85679,530190,615869,2,116,151,42,193,1,177,1,20,,55,75,3,426,3402,701,4103,797,692,1489,1760,186855,1133678
1985,1986,Springfield-Cape Girardeau,,,,,1,,,,1,1,,62,3,14,,57,6,79,63,142,4,1,2,75,2,205,5,64,64,,24,4,2,2,,,,,29,2,12,,,41,,,,,3,321,322,643,,,,,22,2588,,,,,,,,1880,3815,8967,1,,,37,168,206,7,1751,67336,310164,377500,1,150,230,,230,1,177,,,,,,,,911,357,1268,198,250,448,480,47411,997724
1985,1986,St. Augustine,,,,,1,,,,1,,,71,7,4,,18,1,82,19,101,4,,5,3,,116,,46,46,,13,8,21,2,19,,,,18,,,,,18,,,,,2,660,708,1368,,,,,16,4658,,,,,1,82,,1446,4520,12092,4,,4,40,207,255,1,518,20069,97129,117198,1,232,232,,232,,,,,,,,1,60,1472,275,1747,276,311,587,648,81294,1115000
1985,1986,St. Cloud,,,,,1,,,,,1,2,126,11,20,3,129,20,157,149,306,6,3,21,66,8,735,11,137,126,11,10,8,14,8,6,1,13,30,19,2,20,4,,52,3,1947,1744,3691,1,219,284,503,2,306,75,381,37,6850,,,,,5,110,,9297,15353,36237,50,3,15,175,583,826,5,768,28546,81330,109876,,,,,,1,115,3,60,31,12,103,14,1440,3507,155,3662,1029,464,1493,1667,146647,409791
1985,1986,St. Josaphat in Parma,,,,,1,,,,,,,29,,7,,3,,36,3,39,,,1,,,7,,35,28,7,2,,3,,3,,,,5,,,,,5,,,,,,,,,,,,,2,457,,,,,,,,85,296,843,,,,4,18,22,,,,,,,,,,,,,,,,,,,,203,3,206,51,27,78,223,11987,
1985,1986,St. Louis,,1,1,,,4,,,,,,477,25,53,8,435,49,555,484,1039,,,95,216,17,3121,82,245,242,3,8,,357,39,318,4,333,40,1,6,98,,,432,4,5470,6014,11484,16,4439,4614,9053,16,4211,4137,8348,168,43722,10,1039,935,1974,3,642,,1138,15387,92180,204,4,35,577,3678,4498,10,4501,141311,636823,778134,2,290,9803,100905,110708,1,704,9,190,264,165,619,10,1258,9572,1439,11011,2439,814,3253,5401,553993,1940387
1985,1986,St. Maron of Brooklyn,,,1,,,1,,,,,,58,1,11,,2,,70,2,72,5,,5,,,5,,52,52,,2,,,,,1,10,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,409,1028,1447,,,,,,,,,,,,,,,,,,,,,,,,,,543,96,639,221,83,304,302,50893,
1985,1986,St. Paul-Minneapolis,,,1,,,3,,,,,,300,17,62,3,167,30,379,197,576,28,7,94,76,12,1706,36,220,210,10,5,51,37,18,19,2,58,125,,,,,,58,3,3752,6187,9939,9,3199,3126,6325,5,1114,1181,2295,110,28799,1,59,168,227,,,,10000,80000,137643,12,,26,353,2351,2742,6,1242,35863,164580,200443,1,40,156,,156,1,680,1,72,48,,120,7,1093,12181,1249,13430,3044,1509,4553,4671,565195,2173572
1985,1986,St. Petersburg,,,,,1,,,,,1,2,85,8,11,,150,5,104,155,259,84,3,15,50,,248,2,58,58,,7,8,69,,69,,,,29,,,,,29,1,614,507,1121,3,910,1030,1940,2,663,394,1057,27,7529,3,497,597,1094,,,,3114,13493,29377,11,6,17,89,568,691,2,1137,38523,75556,114079,,,,,,,,,,,,,2,349,3742,546,4288,939,718,1657,3491,269884,1925642
1985,1986,"St. Thomas, Virgin Islands",,,,,1,,,,1,,,4,,,,13,,,,17,2,2,17,4,,16,,6,6,,,,4,1,3,,,,2,,1,,,3,,,,,2,229,393,622,,,,,3,1311,,,,,,,,200,1910,4046,,,2,3,99,104,,,,,,,,,,,,,,,,,,,,674,34,708,71,38,109,,26100,110000
1985,1986,Stamford (Ukrainian),,,,,1,,,,,,,47,4,10,,23,,61,23,84,3,,3,1,,49,,51,46,5,4,,10,2,8,1,2,16,2,,11,,,15,1,18,,18,1,48,47,95,2,76,45,121,7,616,1,28,25,53,,,,182,683,1783,4,,,17,112,133,,,,,,,,,,,,,,,,,,1,25,319,6,325,121,30,151,515,44099,
1985,1986,Steubenville,,,,,1,,,,,,,102,5,44,1,15,1,151,16,167,1,,,8,,111,,77,74,3,13,,1,,1,,,,10,,,,,10,1,424,586,1010,3,398,515,913,,,,,16,2756,,,,,,,,1312,4397,10398,9,,,46,186,241,1,234,8174,48038,56212,,,,,,1,105,1,50,132,,182,,,940,473,1413,255,264,519,497,54684,541093
1985,1986,Stockton,,,,,1,,,,,,,33,4,12,,31,,49,31,80,6,2,11,5,1,65,1,31,31,,14,9,13,1,12,,,,18,,1,,,19,,,,,2,669,732,1401,,,,,12,3112,,,,,,,,2032,8029,14593,4,,2,19,174,199,2,356,17126,184644,201770,,,,,,,,,,,,,1,175,3294,268,3562,541,246,787,1253,143113,782830
1985,1986,Superior,,,,,1,1,,,,,,77,3,16,,23,2,96,25,121,,,,3,,200,4,86,73,13,53,16,6,5,1,,,,7,,,,,7,,,,,,,,,,,,,21,3252,,,,,,,,5524,10763,19546,,,,32,142,174,4,326,8217,51108,59325,,,,,,,,,,,,,1,192,1915,191,2106,470,362,832,1071,84764,308738
1985,1986,Syracuse,,,,,1,1,,,,,,316,20,53,2,73,28,389,101,490,5,5,39,22,5,682,25,172,170,2,19,,,,,1,7,,32,,,,,39,2,882,1361,2243,6,1498,1494,2992,2,392,113,505,60,11476,2,100,26,126,,,,10189,33859,61429,31,,10,239,862,1142,3,1100,46551,410362,456913,,,,,,2,234,,,,,,12,1200,7134,517,7651,2370,1177,3547,4185,341135,1207563
1985,1986,Toledo,,,,,1,1,,,1,,,189,14,60,3,93,25,263,118,381,,1,147,20,5,1152,38,165,139,26,15,,31,25,6,,,,48,,10,,,58,1,101,672,773,10,2357,2521,4878,5,1646,1542,3188,86,23577,5,366,379,745,,,,5885,16902,56006,31,,,344,1324,1699,6,1809,59794,373007,432801,1,36,40,110,150,3,508,1,48,39,115,202,3,412,5625,822,6447,1540,1113,2653,2836,348971,1486614
1985,1986,Trenton,,,,,1,1,,,1,,,197,26,49,,84,15,272,99,371,7,6,147,41,,642,14,123,123,,14,86,33,12,21,,,,37,,,,,37,1,172,1436,1608,8,3860,5001,8861,3,903,269,1172,59,22358,5,317,653,970,2,98,,2474,36930,74508,16,,40,362,1450,1868,1,443,15287,82100,97387,3,244,867,348,1215,1,120,,,,109,109,1,49,9128,501,9629,2382,983,3365,5265,547365,1519616
1985,1986,Tucson,,,,,1,,,,1,,,114,9,15,,82,,138,82,220,28,1,64,15,,320,,59,59,,57,17,58,5,53,,,,30,,,,,32,,,,,1,604,627,1231,2,55,151,206,19,4561,2,74,192,266,,,,3610,15430,25336,8,,2,13,77,100,3,779,30790,130198,160988,,,,,,,,,,,,,,,5150,235,5385,911,264,1175,1669,237801,935000
1985,1986,Tulsa,,,,,1,,,,,,,54,3,12,,36,4,69,40,109,,1,26,7,1,214,1,57,55,2,31,9,30,15,15,,,,15,,,,,15,,,,,1,422,389,811,2,292,120,412,10,2073,2,250,372,622,,,,1354,4254,9541,10,,7,11,175,203,2,1658,54187,159233,213420,,,,,,,,,,,,,1,130,1084,349,1433,160,333,493,530,54500,1256600
1985,1986,Van Nuys (Byzantine),,,,,1,,,,,,,20,1,2,,2,,23,2,25,7,,6,,,2,,14,14,,9,1,1,1,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,94,326,423,,,,,,,,,,,,,,,,,,,,,,,,,,69,13,82,21,8,29,19,8524,
1985,1986,Venice,,,,,1,,,,1,,,52,2,7,,47,,61,47,108,58,1,15,6,,110,,40,40,,3,3,25,12,13,2,9,2,,,,,,9,,,,,3,616,616,1232,,,,,8,2282,,,,,,,,835,6111,10469,6,,,20,194,220,1,212,5769,12570,18339,,,,,,,,,,,,,,,2074,241,2315,420,373,793,1501,133159,989468
1985,1986,Victoria,,,,,1,,,,,,,48,,5,,17,,53,17,70,1,,5,1,,159,1,46,43,3,21,2,11,2,9,,,,11,,,,,11,,,,,2,83,74,157,2,178,187,365,10,1894,2,259,304,563,,,,2339,7246,12575,,,,33,162,195,2,67,1930,4325,6555,,,,,,,9,,,,,,1,59,1953,104,2057,346,180,526,819,115000,223100
1985,1986,Washington,,1,1,,,1,,,,,2,299,23,35,2,651,12,357,663,1020,44,,135,175,4,951,14,133,132,1,10,,216,83,133,,,,44,44,465,44,,509,3,9753,9611,19364,4,828,501,1329,20,4432,4079,8511,76,21266,8,562,454,1016,2,106,,13800,21510,87411,67,,60,302,1968,2397,3,1349,49288,247080,296368,,,,,,2,340,1,269,217,147,633,4,533,7169,1006,8175,1711,1357,3068,2758,384356,2107000
1985,1986,Wheeling-Charleston,,,,,1,1,,,,,,102,3,26,,62,4,131,66,197,14,,27,10,2,441,,128,120,8,45,26,22,13,9,2,26,3,8,,,,,34,1,549,549,1098,8,839,834,1673,1,,93,93,30,4929,2,143,183,326,,,,2295,7522,17970,10,,1,70,473,554,6,1453,52187,223922,276109,,,,,,1,193,1,8,8,,16,6,448,1570,653,2223,358,520,878,1289,106941,1949644
1985,1986,Wichita,,,,,1,,,,1,,,110,10,16,3,22,6,136,28,164,,3,1,,4,459,11,113,90,23,,,51,15,36,,,,30,,,,,30,1,321,488,809,4,846,922,1768,,,,,31,5965,,,,,1,30,,2723,6379,17704,8,,,81,301,390,6,2104,54540,284098,338638,,,,,,2,204,,,,,,2,228,2615,556,3171,477,450,927,719,96341,921341
1985,1986,Wilmington,,,,,2,,,,,,,96,13,13,,109,2,122,111,233,8,1,18,37,,372,4,56,55,1,20,,67,16,51,,,,16,1,4,,,20,,,,,5,904,1950,2854,3,1482,456,1938,25,8788,5,591,596,1187,,,,1181,7366,23334,42,,7,141,619,809,1,395,13074,90068,103142,,,,,,,,3,20,17,38,75,4,402,2749,147,2896,600,579,1179,1095,128997,814300
1985,1986,Winona,,,,,1,,,,,,,114,9,33,1,10,5,156,15,171,3,,,19,1,672,25,124,85,39,,,18,14,4,1,17,53,7,,,,,24,2,759,1206,1965,2,652,653,1305,,,,,26,4870,,,,,,,,6671,8991,23826,5,,5,66,466,542,2,1203,32841,40859,73700,1,43,102,181,283,1,30,,,,32,32,4,423,2600,476,3076,656,518,1174,975,136849,532962
1985,1986,Worcester,,,,,1,,,,1,2,1,241,23,67,3,140,23,331,163,494,1,2,54,100,6,691,23,128,128,,3,16,29,,29,,,,21,2,24,,,45,3,2880,4004,6884,5,1276,1569,2845,3,1213,364,1577,21,6259,3,332,375,707,,,,10357,28211,56885,44,,21,141,940,1146,1,578,20397,84806,105203,3,279,569,,569,1,196,2,115,82,45,242,1,7,5355,224,5579,1717,517,2234,3714,335138,643968
1985,1986,Yakima,,,,,1,,,,,,,44,7,6,,10,2,57,12,69,1,2,8,,,51,,40,35,5,7,2,11,1,10,,,,8,,,,,8,,,,,1,80,117,197,,,,,7,1443,,,,,,,,1479,3521,6648,1,,,14,78,93,1,214,7696,31000,38696,,,,,,,,,,,50,50,,,1718,136,1854,208,202,410,456,56898,392500
1985,1986,Youngstown,,,,,1,1,,,,,,186,8,63,2,50,8,257,58,315,2,1,33,43,1,419,3,114,112,1,2,6,82,10,72,,,,26,2,3,,,29,1,496,729,1225,6,1924,1889,3813,,,,,56,14761,,,,,,,,4545,16073,40446,15,,,114,611,740,3,1550,53945,254836,308781,,,,,,1,174,,,,,,5,335,4097,564,4661,1133,911,2044,2722,282444,1263816
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3393,,,10441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
