Year,Year_OCD,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,BpRes,BpExld,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:Ret/Sk/Abs,DPr:ForMs,RPrResDio,RPr:frgnms,Pr:D,Pr:R,Pr:Tot,PrOthDio,Ord:TrDeac,Ord:PrmDeac,TotBr,Br:frgnms,TotSis,Sis:frgnms,Prsh,WResPstr,Non-ResPstr,Ms,Stns,Chpls,WResChap,Non-resChap,Sem:D,StdntDio,StdntOthDio,"Students of dioc in other seminaries(Seminaries, Diocesan)",Sem:R,Sem:StdntR,Sem:StdnDio,Sem:StdntOthDio,TotSemnr,Coll/Univ,M:Coll/Univ,W:Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:Boys,HS:D/Prsh:Girls,HS:D/Prsh:TotStdnt,HS:Prvt,B:HS:Prvt,G:HS:Prvt,HS:Prvt:TotStdnt,"Elementary Schools, Parochial","Total Students(Elementary Schools, Parochial)",ElSch:Prvt,B:ElSch:Prvt,G:ElSch:Prvt,ElSch:Prvt:TotStdnt,PrtctvInst,PrtctvInst:TotStdnt,Public School Pupils in Special religious Instruction Classes,High School Students(Public School Pupils),Elementary Students(Public School Pupils),RE:TotStdnt,"Priests, Teaching (full time)",Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Paid Lay teachers,Total teachers in diocese,Hsp,Hsp:Bedcap,Hsp:Inpat:anual,Hsp:Outpat:anual,Total Patients(General Hospitals),SpecHsp:Sanat,SpecHsp:Sanat:Bed capacity,SpecHsp:Sanat:Inpat:anual,SpecHsp:Sanat:Outpat:anual,SpecHsp:Sanat:Totpat,Schools for nurses,Student nurses(Schools for nurses),Home for Dependent Children,Resident Boys(Home for Dependent Children),Resident Girls(Home for Dependent Children),Children in Foster Homes(Home for Dependent Children),Total Dependent Children(Home for Dependent Children),Homes for invalid and aged,Guests(Homes for invalid and aged),InfBapt,Cnvrt,TotBapt,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
1985,1986,Paterson,,,,,1,,,,,2,4,227,32,32,,191,15,291,206,497,6,1,82,36,,1119,9,107,107,,2,15,109,42,67,,,,20,5,92,,,112,3,97,935,1032,7,1822,1823,3645,6,899,898,1797,65,16088,,,,,2,36,,6974,30318,60002,78,,25,328,1008,1439,3,1337,44007,219514,263521,,,,,,,,2,18,18,,36,4,396,7142,322,7464,1919,760,2679,3321,376783,987700
1985,1986,Pensacola-Tallahassee,,,,,1,,,,,,,58,9,7,,14,,74,14,88,9,1,49,,,72,3,46,46,,12,4,4,1,3,,,,8,,,,,8,,,,,1,222,241,463,,,,,9,2230,,,,,,,,1209,3637,7547,2,,,20,135,157,1,380,16220,86431,102651,,,,,,,,,,,,,2,205,1145,182,1327,198,227,425,352,48038,952159
1985,1986,Peoria,,,,,1,,,,1,1,1,182,10,53,1,88,13,245,101,346,5,2,49,11,,540,5,170,154,16,42,,,,,,,,37,2,1,,,38,,,,,6,1507,1551,3058,2,170,299,469,56,12771,1,60,53,113,,,,4850,16500,37799,22,,6,130,838,996,9,2584,,,,,,,,,2,224,1,49,34,338,421,3,300,5197,887,6084,953,878,1831,2215,247068,1501917
1985,1986,Philadelphia,1,,,,,4,,,,1,,776,26,114,1,513,89,916,602,1518,39,11,27,219,6,5206,83,301,299,2,12,12,417,50,367,1,109,63,,3,73,,,182,10,12151,17438,29589,29,17683,19549,37232,21,3110,3808,6918,255,101878,18,2647,2935,5582,3,453,,10276,27150,219260,238,4,88,1887,6401,8618,10,2741,91918,681132,773050,9,,,,,7,3544,11,266,132,226,624,12,2266,21032,1855,22887,6418,2416,8834,13827,1353004,3676411
1985,1986,Philadelphia (Ukrainian),,,1,,,,,,,,,67,1,11,,9,1,79,10,89,2,2,1,,,107,5,76,59,17,3,,18,2,16,1,4,3,12,,,1,,16,1,18,400,418,,,,,1,,365,365,12,1598,1,90,104,194,,,,279,1042,3912,2,,,42,110,154,,,,,,1,82,123,,123,,,1,2,4,,6,3,450,440,18,458,235,70,305,595,80588,
1985,1986,Phoenix,,,,,1,,,,2,,,112,3,21,,120,,136,120,256,24,2,89,32,,275,,85,84,1,20,3,31,4,27,,,,26,,,,,26,,,,,5,959,1632,2591,1,1048,,1048,25,7530,,,,,,,,6165,19102,36462,24,3,5,79,417,528,1,626,30070,128329,158399,,,,,,,,,,,58,58,3,476,7766,540,8306,1111,604,1715,2573,292000,2040000
1985,1986,Pittsburgh,,,,,1,2,,,1,,,510,28,65,2,203,67,603,270,873,20,13,25,43,17,3058,49,315,310,5,24,6,161,58,103,1,32,,37,1,2,,,71,3,3810,5715,9525,14,3830,3296,7126,5,175,983,1158,133,32194,4,320,410,730,3,281,,10427,38150,99662,4,,25,411,1663,2103,4,1571,44356,365459,409815,3,294,294,,294,3,376,2,53,27,23,103,14,1840,11534,830,12364,3800,1682,5482,8976,887798,2165361
1985,1986,Pittsburgh (Byzantine),,,1,,,1,,,,,,69,6,4,,8,,79,8,87,,,,5,,142,,84,69,15,4,,,,,1,6,16,,,,,,6,,,,,,,,,,,,,6,1014,,,,,,,,1470,4212,6702,,,,19,29,48,,,,,,,,,,,,,,,,,,2,67,514,106,620,272,80,352,506,152237,
1985,1986,Portland,,,,,1,1,,,,,,162,9,41,1,88,29,212,117,329,5,,,38,9,733,41,145,137,8,56,18,117,14,103,,,,19,,,,,19,1,193,325,518,1,157,155,312,2,420,272,692,21,4554,1,132,135,267,,,,8156,20109,34627,11,,8,107,236,362,3,563,17326,118283,135609,,,,,,2,141,,,,,,7,1059,4287,526,4813,1307,887,2194,3114,280057,1124660
1985,1986,"Portland, OR",,,1,,,2,,,,2,1,129,8,33,,230,13,170,243,413,1,,5,78,1,744,8,127,125,2,28,4,47,20,27,1,8,85,7,,16,,,31,2,1733,2178,3911,4,751,766,1517,4,843,1004,1847,48,7798,1,35,178,213,,,,3314,12959,31590,23,3,16,141,638,821,7,1759,93922,347749,441671,,,,,,1,308,4,24,4,61,89,4,752,3666,820,4486,694,722,1416,1803,298259,2301000
