Year,Year_OCD,Year established,ST,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2005,2006,,NY,Albany,,,,,1,,1,,,140,6,1,87,234,110,344,0,2,1,,,102,81,815,169,138,15,5,,,11,8,0,0,29,,3,7,,13,8,4,750000,15,60000,10,1450,4,1000,5,450,12,1640,25,265000,11,400,9,946,1,2,0,9,2,0,11,4,6500,4,1394,3,1383,29,6218,2,377,,,9401,29808,55092,0,0,5,30,635,4350,300,175,4850,3700,950,550,1500,4350,400000,1300000
2005,2006,,LA,Alexandria,,,,,1,,,,,36,5,,20,61,14,75,12,3,,2,,6,4,39,48,29,11,7,,,1,,,,24,1,,,,6,16,2,143019,,,1,114,0,0,,,,,19,121440,2,172,,,0,0,0,8,0,0,8,,,3,615,,,8,2523,,,,,1194,2224,6564,,,4,10,192,660,98,129,643,531,132,83,215,601,48050,388903
2005,2006,1/28/1961,PA,Allentown,,,,,1,,1,,,161,13,1,38,213,77,290,3,2,,1,,87,,397,151,110,3,38,,,,,,,5,26,,1,12,413,,3,596820,1,37755,11,967,0,0,1,150,2,3819,13,51710,1,120,,,0,0,0,17,0,0,17,2,4969,9,3873,,,52,11021,,,3,126,,14463,34469,9,,,50,980,3602,134,,3548,3694,664,397,1061,3125,275129,1161932
2005,2006,5/27/1901,PA,Altoona-Johnstown,,,,,1,,,,,91,6,,42,139,58,197,1,0,,,2,34,8,80,97,73,13,9,2,,,,,,5,,,1,,,,1,482337,1,272,3,332,0,0,,,,,2,35221,,,,,0,0,0,12,0,0,12,2,3981,3,1153,,,23,3523,,,,,3421,7705,19795,13,,,17,554,1289,108,103,1297,1495,348,236,584,1760,103694,644307
2005,2006,8/25/1926,TX,Amarillo,,,,,1,,1,,,25,4,,19,48,11,59,4,1,,1,,51,1,102,41,24,7,9,1,,,,,,6,,,,1,1,14,,,,,1,56,0,0,1,60,2,20000,1,15000,,,1,4,1,0,0,4,0,0,4,,,1,132,,,6,700,,,,,2186,3901,6923,1,,,4,93,1340,84,111,1182,670,219,40,259,292,40293,415493
2005,2006,2/9/1966,AK,Anchorage,,,1,1,,,,,,11,1,1,6,19,8,27,11,1,,1,,14,2,34,19,12,3,,,,3,3,,,9,,,,2,9,21,1,323306,3,46475,1,82,0,0,,,0,0,5,26000,,,,,0,0,0,0,0,0,0,,,1,80,1,28,2,296,1,112,,,818,2734,4068,,,,2,26,510,48,60,473,259,306,34,340,127,32170,401610
2005,2006,8/13/1974,VA,Arlington,,,,,1,,1,1,2,124,11,,20,155,74,229,30,4,,,,58,20,140,67,56,11,,,,3,1,,,7,,1,,,11,64,,,1,13000,,,0,0,,,,,7,30183,,,,,0,0,0,24,0,0,24,4,5639,3,3411,3,871,38,12961,1,214,0,0,3860,33853,60833,9,,1,53,1231,7609,784,361,7733,5762,914,516,1430,1547,400539,2646698
2005,2006,7/2/1956,GA,Atlanta,,,1,1,,,,1,,139,8,,13,160,78,238,16,1,,2,,174,25,105,82,73,9,,,,,,,,13,1,1,,25,124,137,2,298862,1,154,4,122,0,0,,,1,23,35,4550,,,,,0,0,0,41,0,0,41,,,3,2207,4,1031,15,6224,5,1644,,,7024,32378,50549,17,,1,4,907,11143,825,1529,6603,3141,1129,450,1579,1069,368100,5856981
2005,2006,1/1/1948,TX,Austin,,,,,1,,1,,,133,8,,21,162,52,214,22,,,2,,187,48,102,103,80,23,22,,,,,,,22,1,,,1,5,22,4,800500,4,111988,2,700,1,300,4,180,2,50,1,600,1,3800,,,0,0,0,30,0,3,33,1,4651,3,418,2,518,14,3258,2,811,,,8000,30000,47689,2,,4,7,514,7300,509,854,6126,3500,1000,327,1327,1480,500000,2309396
2005,2006,5/19/1903,OR,Baker,,,,,1,,1,,,17,1,1,13,32,4,36,18,1,,,,13,1,15,36,27,2,6,,,,,,,26,,,,,,15,5,354220,,,4,328,0,0,3,200,,,5,36500,,,,,0,0,0,2,0,0,2,,,,,,,3,676,,,,,729,2338,3745,,,,,35,906,140,44,787,513,109,53,162,225,35647,439500
2005,2006,,MD,Baltimore,1,,,1,,3,1,,,199,15,1,57,272,245,517,37,2,3,8,11,185,66,1047,151,102,27,12,3,,4,3,,,8,,2,3,1,40,240,6,1435518,4,1914,24,2417,9,2015,10,2099,5,176,52,709134,1,229,1,2958,2,26,203,2,0,0,28,4,11800,9,4525,12,7496,59,21945,7,1530,1,124,3522,28185,79155,33,,13,75,2855,7820,580,831,6468,5381,1082,683,1765,4671,517679,3055407
