Year,Year_OCD,Year established,ST,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,MinorBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2009,2010,,NY,Albany,,,,,1,0,,,,113,4,,96,213,79,292,4,1,,4,,111,76,702,136,98,9,6,4,,9,10,,,16,5,14,42,3,32,196,3,1250000,17,72000,7,1200,4,135,3,269,37,326,75,110972,15,101,16,848,,,,11,,,11,3,6670,4,1249,3,975,23,5146,2,321,,,8393,20749,43514,3,,,13,545,3315,108,74,156,3982,3067,704,304,1008,3686,331908,1312642
2009,2010,,LA,Alexandria,,,,,1,0,,,,32,5,,18,55,14,69,18,2,,,,6,4,32,49,27,5,17,,,,,,,23,,,,,,15,1,210657,,,1,350,,,,,,,8,840,2,308,1,57990,,,,12,,,12,,,3,684,,,7,1925,,,,,1028,2144,5793,,,3,8,185,660,103,48,152,600,465,130,64,194,520,44003,387579
2009,2010,1/28/1961,PA,Allentown,,,,,1,0,1,,,150,8,,50,208,63,271,3,3,1,1,,108,12,350,104,97,4,3,,,,,,,2,26,13,60,12,350,,2,488955,2,4356,10,735,,,1,39,2,39,7,24983,2,807,,,,,,14,,,14,2,6117,8,3641,,,45,9485,,,3,116,206,16252,35831,10,,,54,916,3043,0,117,0,3363,3824,618,317,935,3101,272300,1161932
2009,2010,5/27/1901,PA,Altoona-Johnstown,,,,,1,0,,,,78,4,,41,123,61,184,,3,1,2,4,32,9,71,91,72,15,,3,,1,,,,5,,1,5,,,,1,407279,1,253,3,390,,,,,,,2,25712,,,,,,,,4,,,4,2,4322,3,953,,,20,3608,,,,,3094,6708,18689,2,,1,8,322,974,33,62,136,1251,1928,299,192,491,1523,94284,638969
2009,2010,8/25/1926,TX,Amarillo,,,,,1,0,1,,,22,4,,15,41,5,46,14,1,1,1,,52,1,97,38,18,2,18,1,,,,,,11,,,,1,2,20,,,,,1,72,,,1,89,3,360,1,4500,,,1,4,,,,11,,,11,,,1,139,,,5,723,,,,,1723,4081,6677,,,1,5,80,1211,82,53,181,921,498,175,39,214,345,40310,422500
2009,2010,2/9/1966,AK,Anchorage,,,1,1,,0,,,,9,1,1,5,16,11,27,11,,,,6,19,2,25,23,16,5,,,,1,1,,,6,,,,2,25,25,1,82396,5,18273,1,641,,,,,,,3,33751,,,,,,,,2,,,2,,,1,80,3,52,3,306,,,,,743,1797,2928,1,,2,2,67,474,94,26,79,451,272,50,46,96,120,37089,401610
2009,2010,8/13/1974,VA,Arlington,,,,,1,0,1,1,2,129,8,2,21,160,62,222,28,3,,3,,63,15,140,68,57,11,,,,,,,,6,,,,,,141,,,,,,,,,,,2,,10,29162,,,1,,,,,37,,,37,4,6122,4,3456,2,724,38,13025,1,200,,,2794,34659,61017,,,,19,803,6692,910,553,1211,8291,6373,972,472,1444,1630,431386,2826999
2009,2010,7/2/1956,GA,Atlanta,,,1,1,,1,,1,,150,6,,29,185,67,252,16,8,,7,12,232,9,81,87,77,10,,,,,,,,12,,,,1,18,192,5,348724,,,3,99,,,,,,,5,7350,,,,,,,,42,8,,42,1,240,3,2217,4,1857,15,6266,4,1473,,,11383,34088,57566,14,,2,7,957,11070,478,496,1260,9599,4853,1133,442,1575,1331,850000,6887670
2009,2010,1/1/1948,TX,Austin,,,,,1,0,1,,,92,11,,28,131,50,181,43,5,,5,,197,46,107,101,74,26,1,,,,,,,22,1,,,25,,165,4,1508356,3,334253,2,300,2,160,7,300,2,160,5,24524,1,1900,,,,,,46,,,46,1,5285,4,615,2,550,16,3626,1,367,,,8108,29416,48013,6,,3,13,629,8182,642,467,1107,7453,4308,1186,414,1600,1676,321197,2699324
2009,2010,5/19/1903,OR,Baker,,,,,1,0,1,,,17,2,1,16,36,15,51,10,1,,1,,12,,11,36,21,9,6,,,,,,,23,,,,,,49,5,481068,,,4,220,,,3,80,,,7,72469,,,,,,,,2,,,2,,,,,,,5,592,,,,,687,1829,3110,,,,,50,977,115,37,208,1166,844,144,34,178,237,32799,493996
2009,2010,,MD,Baltimore,,1,1,1,,2,1,,,197,11,,46,254,246,500,52,4,,2,12,158,69,934,153,90,27,20,5,,,4,,11,6,,,,1,31,176,5,1665874,4,2690,26,3950,9,1050,7,2220,5,396,56,659558,1,261,1,12000,2,23,193,7,,,30,4,11673,8,3753,13,7641,53,18544,7,1338,1,121,3199,24955,71254,34,,18,79,3487,6229,0,483,910,6099,5529,958,554,1512,4510,499529,3093068
2009,2010,7/20/1961,LA,Baton Rouge,,,,,1,0,,,,52,1,,19,72,32,104,4,2,,,,59,18,95,68,42,12,13,,,,1,,,,,,,1,10,117,3,637597,,,7,714,,,,,5,302,8,225201,,,,,,,,18,,,18,1,2016,6,2286,2,1962,24,11481,,,,,3496,7456,28715,1,,4,12,1051,2257,138,105,264,2455,2155,515,185,700,1648,211149,935440
2009,2010,9/29/1966,TX,Beaumont,,,,,1,0,,,,32,2,,15,49,22,71,7,,,,,40,1,23,44,26,16,2,,,,,,,7,2,,,1,8,27,2,406633,,,,,,,,,3,32140,,,,,,,,,,,,,,,,1,437,,,5,1260,,,,,1439,6632,9768,,,,2,139,1272,0,139,0,1407,670,212,89,301,776,73327,597684
2009,2010,,IL,Belleville,,,,,1,0,1,,,72,3,,47,122,36,158,1,,,3,1,28,6,90,119,67,5,36,3,,4,4,,,,,,,,12,27,5,434372,,,3,186,,,3,212,1,,14,250000,,,,,,,,2,,,2,,,3,1227,,,30,4488,,,,,340,5020,11077,3,,,5,549,1073,210,127,186,1256,1375,266,226,492,1150,91550,850200
2009,2010,3/1/1977,MS,Biloxi,,,,,1,0,1,,,39,,,12,51,24,75,10,1,,1,8,35,9,39,42,32,7,3,,,,,,,11,,,,,9,37,,,,,7,469,,,,,,,9,362661,,,1,5450,,,,8,,,8,,,4,1117,1,375,11,2717,,,,,1287,3168,8672,,,5,3,339,996,93,140,181,1014,847,163,123,286,657,62494,775538
2009,2010,6/28/1969,AL,Birmingham,,,,,1,0,1,1,1,58,3,,23,84,27,111,,2,,,,56,22,155,54,36,13,2,,,,3,,,19,,,,1,10,57,4,689500,1,42000,,,,,,,,,19,87323,,,,,,,,8,,,8,,,5,203,1,160,18,3809,1,247,1,120,1775,6902,13224,4,,1,14,253,2436,175,206,576,1948,1369,273,138,411,628,89489,2944890
2009,2010,12/31/1909,ND,Bismarck,,,,,1,0,,1,1,39,4,,24,67,29,96,12,3,,1,,79,20,95,99,32,13,53,1,,,,,,,,,,,3,26,4,329137,,,4,570,,,,,,,,,,,,,,,,23,,,23,1,2830,3,627,,,11,1537,,,,,1713,5026,11756,3,,,6,186,894,101,34,81,912,1050,225,113,338,738,61271,264082
2009,2010,,ID,Boise,,,,,1,0,,,,49,7,,27,83,15,98,,2,,5,,65,5,86,51,39,2,7,2,,,1,,,29,28,,,,3,80,5,648274,,,,,,,4,168,,,19,380000,,,,,,,,11,,,11,,,1,629,,,13,2227,,,,,2350,5778,10995,,,,1,210,2596,224,168,203,2401,1191,324,140,464,732,167620,1523816
2009,2010,,MA,Boston,1,,,,,4,2,,1,406,27,5,306,744,491,1235,75,6,,,,258,144,1945,291,275,16,,,,,,,,1,,,2,,36,241,8,708219,3,7511,15,2832,1,921,11,1110,21,1722,43,206000,,,3,35410,3,44,95,2,1,,37,6,24900,3,1150,29,15155,79,24067,9,2264,2,139,26624,97419,191801,7,,31,91,3177,15718,3196,347,387,18643,14842,2972,744,3716,15642,1681533,3682588
2009,2010,8/6/1953,CT,Bridgeport,,,,,1,,,,,163,15,3,52,233,46,279,27,6,,3,112,344,,344,87,72,3,11,1,,,,,,,,,,,63,214,1,206000,2,22453,15,1168,,,6,236,18,200,9,490000,,,,,1,19,,13,,,32,3,11373,5,2402,2,1218,33,7769,1,480,2,98,2245,34946,60563,15,2,,30,1322,4217,0,126,564,5569,5314,822,91,913,2992,401136,884050
2009,2010,,NY,Brooklyn,,,,,1,4,3,,,278,19,,228,525,174,699,100,3,,3,20,159,138,868,197,162,22,6,,,,,,,,,,,10,110,376,,,10,10284,5,1300,1,6800,28,5403,30,9100,90,108000,74,3100,2697,3500,1,15,9,17,1,13,45,3,20659,4,2037,17,14180,104,33494,3,413,2,103,3727,33051,104891,,,43,117,2864,17095,1037,624,828,11045,10612,2393,303,2696,9103,1440000,4798388
2009,2010,7/10/1965,TX,Brownsville,,,,,1,0,1,,,70,3,,11,84,38,122,9,2,,1,,69,20,13,69,48,20,1,,,,,,,45,2,1,,5,11,80,,,3,5486,2,226,,,1,38,,,6,23287,,,4,8251,1,4,,20,,,21,,,,,3,949,8,2193,3,932,,,9018,29980,43093,1,,7,10,274,8681,756,170,804,7023,3700,1088,102,1190,2778,1021861,1202189
2009,2010,,NY,Buffalo,,,,,1,1,2,,,199,9,,126,334,115,449,7,2,,1,9,125,42,964,171,138,12,16,3,,1,,1,,1,2,6,15,1,40,121,4,1451025,1,960,9,3447,,,3,206,3,5241,5,259503,8,49,1,9039,1,15,1,3,1,2,20,7,17201,,,15,5221,55,11976,3,689,1,399,9051,26688,74924,37,,24,90,2527,4110,165,132,224,5201,5167,1048,467,1515,6217,656760,1529043
2009,2010,,VT,Burlington,,,,,1,0,1,,,57,1,,47,105,37,136,15,4,,1,,50,22,121,77,55,11,11,,,,,,,37,1,2,3,,6,13,,,,,4,175,,,,,,175,1,10364,,,,,,,,10,,,10,2,2924,2,451,,,10,1393,2,477,,,1713,5041,12009,1,,,3,398,870,82,64,121,999,897,276,130,406,1383,118000,623000
