Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
1999,2000,,Albany,,0,,1,1,0,,,,225,16,,75,316,118,2,2,,1,82,89,82,971,184,144,12,20,1,0,9,,,0,34,,0,2,2,100,1327,4,668100,15,51000,10,1314,6,125,7,517,12,125,25,181000,7,225,9,625,0,0,,7,0,0,7,4,4500,4,1620,3,1289,38,8634,3,467,,,9778,32887,59182,2,,11,62,639,4983,299,350,5041,,1288,463,1751,4454,403403,1340388
1999,2000,,Alexandria,,0,,,1,0,,,,36,6,,24,66,13,9,3,6,,,,3,56,48,31,12,5,0,0,1,,,0,23,1,0,0,1,7,18,2,108486,,,2,164,0,0,,,,,16,125750,1,152,,,,0,0,14,,0,14,,,3,645,,,9,2702,,,,,1518,3205,8084,,,2,18,217,764,117,153,851,654,139,103,242,695,48050,401211
1999,2000,1/28/1961,Allentown,,0,,,1,0,1,,,202,9,1,32,244,66,3,1,,2,,76,,490,153,127,5,21,0,0,,,,0,12,,0,0,,,,3,792978,1,22215,11,691,0,0,38,1501,2,1648,14,72982,4,59,,,0,0,0,30,0,0,30,2,2970,9,4077,,,56,14113,,,3,130,1865,16572,39757,24,,,74,876,3968,275,472,4072,3988,994,449,1443,3212,265439,1084189
1999,2000,5/27/1901,Altoona-Johnstown,,0,,,1,0,1,,,116,4,,38,158,65,,2,1,1,4,24,11,100,110,83,14,13,0,0,,,,0,5,,0,2,,,,1,106601,1,200,3,268,0,0,,,,,2,45724,,,,,0,0,0,8,0,0,8,2,3963,3,1194,,,29,4793,,,,,4722,8831,23511,18,,1,17,512,1542,125,206,1892,1933,438,353,791,1750,114987,645132
1999,2000,8/25/1926,Amarillo,,0,,,1,0,1,,,39,3,,21,63,3,1,,,,46,,,138,35,30,3,2,0,0,,,,0,13,,0,0,,6,13,1,22300,1,750,1,56,0,0,6,220,2,550,4,35000,,,1,4,0,0,0,8,0,0,8,,,1,127,,,8,987,,,,,1552,4373,7047,,,,10,87,1236,193,154,1229,1291,230,71,301,277,48783,393822
1999,2000,2/9/1966,Anchorage,,0,1,,,0,,,,12,,1,8,21,10,10,,,,18,,1,44,20,11,2,,0,0,3,3,1,0,8,,0,0,,11,27,1,294000,2,462,1,60,0,0,,,,,5,19115,,,,,0,0,0,5,0,0,5,,,,,1,114,2,349,1,80,,,773,3197,4518,,,,2,47,594,95,89,609,382,77,68,145,117,31071,396801
1999,2000,8/13/1974,Arlington,,0,,,1,0,,1,,128,7,1,16,152,75,16,7,,4,44,,16,192,65,55,10,,0,0,,,,0,5,,2,0,,39,106,,,,,,,0,0,,,,,8,37318,,,,,0,0,0,32,0,0,32,4,5302,3,3528,2,542,35,12474,1,193,1,88,3180,35444,60783,8,,2,48,939,8793,742,485,6866,4725,1071,705,1776,1485,335053,2271950
1999,2000,7/2/1956,Atlanta,,0,1,1,,0,,1,1,118,5,1,11,135,72,15,9,,14,,132,4,123,74,57,14,2,0,0,,,2,0,22,1,2,0,,13,148,2,109789,2,20210,5,139,,,,,1,106,33,40000,,,,,0,0,0,53,0,0,53,,,1,1060,1,1028,16,5796,2,755,,,4796,28917,42378,8,,1,12,621,7124,560,919,5270,3576,940,798,1738,953,320330,5000000
1999,2000,1/1/1948,Austin,,0,,,1,0,,,,120,5,2,16,143,54,8,4,,,149,,54,122,135,77,22,27,2,7,,,,0,27,1,1,0,,19,103,4,587487,3,77054,1,250,0,0,4,200,1,300,1,290,1,3250,,,0,0,0,15,0,0,15,1,3669,2,349,2,446,16,3386,1,346,,,7350,24227,39788,3,,1,12,339,7199,678,946,5716,3933,1066,517,1583,1487,350000,2028391
1999,2000,5/19/1903,Baker,,0,,,1,0,1,,,19,4,1,16,40,8,10,,,1,6,,,29,35,23,6,6,0,0,,,,0,28,,0,0,,10,10,4,245173,,,1,260,0,0,5,342,,,1,252,,,,,0,0,0,6,0,0,6,,,,,,,3,658,,,,,983,2162,3089,,,,5,48,927,119,100,896,252,123,95,218,317,39853,425650
1999,2000,,Baltimore,1,0,1,1,5,2,,,,292,14,,,306,291,,5,,,187,,80,122,155,108,29,13,0,0,5,,,0,7,3,0,0,,,,5,1129483,,,18,1367,1,158,9,1999,15,27964,6,10251,2,323,,,2,17,9,,0,0,26,4,11493,9,3588,13,7236,67,22915,6,2051,5,336,4499,35842,87986,67,3,26,156,265,8059,660,1344,8597,5902,1511,1066,2577,5315,484287,2849409
1999,2000,7/20/1961,Baton Rouge,,0,,,1,,,,,64,2,,16,82,53,5,,,,,25,12,107,70,52,11,6,0,0,,1,,0,,,0,0,3,15,79,1,209348,,,6,699,0,0,,,4,240,6,123132,,,,,0,0,0,15,0,0,15,1,920,6,2717,2,1627,26,12406,,,1,55,5238,9262,32240,1,,4,19,1003,2928,240,448,3015,2734,699,350,1049,3529,209581,809998
1999,2000,9/29/1966,Beaumont,,0,,,1,0,,,,30,5,,12,47,25,10,,,,,30,4,52,44,25,18,1,0,0,,,,0,9,,0,0,,3,32,3,398425,1,84732,,,0,0,,,,,4,54617,,,,,0,0,0,15,0,0,15,,,1,583,,,6,1767,,,,,2003,7386,11754,,,,13,192,1430,145,252,1362,933,233,219,452,806,88625,582782
1999,2000,,Belleville,,0,,,1,0,1,,,89,5,,44,138,41,3,2,,,,34,12,241,125,81,2,36,2,0,2,2,,0,1,,0,2,3,21,27,8,480904,,,4,416,0,0,7,470,1,146,3,39511,,,,,0,0,0,14,0,0,14,,,3,1707,,,37,7164,,,,,1654,7028,17567,,,,12,402,1615,214,245,1837,1880,389,317,706,1361,105266,848723
1999,2000,3/1/1977,Biloxi,,0,,,1,0,,,,41,1,1,14,57,27,13,1,,,,19,28,62,44,35,7,2,0,0,,,,0,14,,0,0,1,11,6,,,,,7,656,0,0,,,,,6,118012,,,1,5000,0,0,0,6,0,0,6,,,4,1234,1,537,14,3384,,,,,1850,4724,11735,,,4,18,303,771,375,194,1134,569,161,168,329,775,67862,737373
1999,2000,6/28/1969,Birmingham,,0,,,1,0,,1,1,47,4,,15,66,44,2,,,3,,28,29,163,56,41,12,,1,0,2,,,0,19,,1,0,2,19,69,1,143898,1,313232,,,0,0,,,,,9,136726,,,,,0,0,0,13,0,6,19,,,4,1466,1,137,19,5174,1,234,1,43,1940,5969,14982,5,,1,4,133,1656,197,481,1355,1165,179,243,422,508,76941,2735546
1999,2000,12/31/1909,Bismarck,,0,,,1,0,,1,2,46,4,,16,66,29,7,3,,,5,59,18,149,63,43,9,10,1,0,,,,0,37,,0,2,1,5,33,4,218471,,,4,437,0,0,,,1,174,,,,,1,7,0,0,0,16,,1,17,1,2267,3,881,,,12,2074,,,,,2866,5632,13737,1,,1,9,161,1179,75,119,1173,1243,292,202,494,731,67559,253552
1999,2000,,Boise,,0,,,1,0,,,,52,8,,28,88,14,5,,,2,,31,5,99,57,47,2,7,1,0,,,,0,32,24,1,2,1,12,46,5,608063,,,,,0,0,4,141,,,14,65010,,,,,0,0,0,18,0,0,18,,,1,717,,,13,2477,,,,,3048,7328,13588,,,,2,178,2728,385,219,2306,1173,384,215,599,712,126650,1258700
1999,2000,,Boston,1,0,5,2,,0,,1,,604,69,,273,946,673,27,7,,,,215,110,2748,372,339,28,5,0,0,,,,0,,2,1,10,,,,10,833211,6,4191,11,2736,1,430,11,1665,22,1666,43,203802,8,195,3,29602,3,50,125,,4,157,207,7,21657,15,5792,20,10474,119,34827,20,3437,3,335,29530,118962,225014,6,,34,479,3089,27802,523,357,24623,15752,6370,1637,8007,18950,2017451,3816410
1999,2000,8/6/1953,Bridgeport,,0,,,1,0,,,,189,19,2,58,268,65,10,7,1,2,,83,,476,88,84,4,,0,0,,,,0,2,,0,0,,92,161,1,163047,,,4,825,0,0,18,340,1,43,24,11353,,,2,119,1,14,0,13,0,0,27,3,10941,5,2510,3,1066,33,9848,2,488,1,4,3340,29603,57827,15,1,,44,785,5967,211,109,5823,4008,1681,334,2015,3565,363246,838362
1999,2000,,Brooklyn,,0,,,1,3,,,,430,38,1,195,664,220,60,2,2,3,,171,1299,188,217,191,22,7,0,0,,,,0,,1,0,0,126,808,,4,944645,30,862413,6,1400,6,8694,20,2143,35,13450,90,80588,75,3396,24,2595,1,18,6,19,1,11,48,3,19080,4,1883,16,15396,153,55053,3,463,2,324,11330,52225,155802,8,,66,251,3289,22326,1012,939,16398,11372,3891,461,4352,11825,1637999,4266795
1999,2000,7/10/1965,Brownsville,,0,,,1,0,1,,,40,2,,9,51,40,13,3,4,5,,71,17,122,64,31,25,8,0,0,,,,0,44,1,1,0,2,24,135,,,2,159,2,213,0,0,2,111,1,5,4,37110,,,2,5199,1,8,0,13,0,0,21,,,,,2,730,7,2141,2,663,,,7322,23137,34014,,,3,12,208,4634,4463,321,6771,2730,1002,109,1111,2182,748326,924181
1999,2000,,Buffalo,,0,,,1,1,2,,,299,10,,136,445,191,6,1,,2,4,94,44,1420,266,213,17,34,1,0,1,,,0,10,2,0,0,,68,159,6,1170803,1,834,15,1753,0,0,3,216,2,535,4,269638,4,31,3,2925,2,24,9,5,1,0,29,7,14512,,,17,5976,88,22321,6,1031,1,494,12605,40533,97501,57,,13,136,2655,7297,512,485,8288,6285,2042,770,2812,7441,731008,1565471
1999,2000,,Burlington,,0,,,1,0,,,,87,2,,42,131,51,2,2,,,4,42,15,230,92,79,13,,0,0,,,,0,40,1,1,1,,16,31,,,,,4,204,0,0,,,,,1,8388,,,,,0,0,0,8,0,0,8,3,3860,2,732,,,12,2060,3,614,,,2329,10392,19995,,,,10,241,1680,99,150,1806,1237,532,246,778,1523,148246,590883
1999,2000,12/9/1937,Camden,,0,,,1,0,1,,,233,14,2,69,318,55,11,2,,3,12,108,10,328,126,120,5,,1,0,,,,0,5,24,0,0,2,38,30,1,245093,2,8279,5,986,1,11,2,192,,,12,9721,,,1,1230,0,0,0,28,0,0,28,,,8,4807,3,1225,59,16610,1,30,2,824,530,28295,52349,6,,4,109,960,6623,556,523,6760,5158,1310,544,1854,3914,394373,1300000
1999,2000,,Charleston,,0,,,1,0,1,1,1,60,5,1,27,93,34,10,3,1,2,,69,26,154,85,52,14,6,9,1,2,,1,0,30,10,0,0,4,29,66,2,299553,,,1,17,0,0,,,,,7,110171,,,,,0,0,0,10,0,0,10,,,2,1320,,,25,6599,,,,,2030,10219,20178,,,,12,502,2092,230,443,2397,1880,316,426,742,938,126794,3885736
