Year,Year_OCD,Year established,Diocese,ST,Cd,Cd:Ret,ABp,ABp:Ret,Bp,Bp:Ret,AuxBp,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,DStdntOthSem,StdntOthDio,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Br,Tchrs:Schlstics,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,MinorBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2014,2015,,Albany,NY,,,,,1,1,,,,91,4,,98,193,68,263,11,1,,2,4,107,56,604,127,94,8,,8,,7,10,,,9,7,,15,4,10,270,3,1320000,17,74100,16,72,4,103,1,35,8,386,59,86000,18,121,18,842,,,,,,,,3,9160,4,1038,3,1094,19,4495,2,172,,,5168,14321,35448,9,12,,12,503,3007,143,94,133,3247,2670,553,213,766,4417,330000,1392464
2014,2015,,Alexandria,LA,,,,,1,,,,,34,10,,14,58,9,67,15,1,,3,,18,3,23,50,48,42,6,,,,,,,21,,,,3,23,14,1,197964,1,300,1,104,,,,,,,8,925,1,202,1,58900,,,11,,,,11,,,3,695,,,7,1801,,,,,845,1896,5248,,,,3,189,471,60,46,155,524,434,92,50,142,577,36669,383421
2014,2015,1/28/1961,Allentown,PA,,,,,1,1,,,,119,9,,63,191,59,255,4,1,1,4,1,102,16,321,94,91,3,10,,,,,2,,1,,3,11,14,321,30,2,423342,1,1434,13,818,,,1,140,3,872,5,28424,21,54,,,,,15,,,,15,2,6137,7,3555,,,35,8648,,,3,107,220,11330,30012,,,,23,848,2440,121,96,204,2774,3591,332,173,505,2838,260461,1272212
2014,2015,5/27/1901,Altoona-Johnstown,PA,,,,,1,1,,,,72,2,,36,110,54,164,1,,3,2,1,38,11,66,87,71,13,,3,,,,,,5,,,,,,,,,1,359644,3,330,,,,,,,2,37527,,,,,,,4,,,,4,2,4262,,,4,1062,20,2925,,,,,2319,5519,16091,,2,,4,334,882,53,61,97,1009,1012,214,175,371,1412,84368,648109
2014,2015,8/25/1926,Amarillo,TX,,,,,1,1,,,,22,3,,14,39,5,44,11,1,,1,56,,57,89,38,20,3,15,,,,,,,11,,,,,1,20,,,,,,,,,1,129,1,1051,1,3047,,,1,1,,,6,,,,6,,,1,79,,,4,613,,,,,1988,4476,7162,1,,,9,68,933,105,37,110,989,673,174,31,205,291,48678,408525
2014,2015,2/9/1966,Anchorage,AK,,,1,1,,,,,,20,,1,4,16,11,27,7,1,,1,,14,,23,23,11,7,9,,,,1,,,6,,,,,23,2,1,67543,5,641,1,85,,,,,,,4,21132,,,,,,3,5,,,,5,,,1,85,1,44,3,398,1,64,,,652,1702,2950,,,,23,41,400,26,43,60,373,318,27,32,59,124,43761,437611
2014,2015,8/13/1974,Arlington,VA,,,,,1,,,1,,134,14,2,28,178,56,234,31,6,2,7,6,81,8,132,69,59,10,,,,,,,,5,1,1,,,13,,,,1,297,,,,,31,1404,2,98,33,55132,,,2,1578,,,40,,,,40,4,4823,4,3570,1,367,37,12931,2,365,,,3097,33201,58394,7,2,,19,1187,7143,574,295,610,7772,6419,703,351,1054,1671,457874,3154590
2014,2015,7/2/1956,Atlanta,GA,,,1,,,,2,1,,126,10,,37,173,85,258,13,6,,4,12,244,20,82,88,79,12,,,,,,,,12,,1,,2,7,144,4,318989,,,3,95,,,,,,,4,22000,,,,,,,48,,,,48,,,3,2471,6,1938,15,5852,4,1383,,,12428,34359,58479,9,,,9,1103,8627,855,484,992,10600,5795,1447,404,1851,1095,1000000,6998399
2014,2015,1/1/1948,Austin,TX,,,,,1,1,,,,92,8,,37,137,47,184,31,1,,6,1,212,37,88,102,,2,80,,,,,,,21,3,1,,1,16,244,5,1838232,,,2,508,,,2,151,2,121,4,11799,,,,,,,45,,,,45,1,4861,4,1084,2,459,15,3398,1,439,,,7617,24382,42285,4,13,,14,1140,7591,619,343,564,7577,5482,1130,297,1427,1628,558329,3022897
2014,2015,5/19/1903,Baker,OR,,,,,1,1,,,,16,2,,17,35,6,41,15,,,,,9,2,13,36,23,8,3,,,,,,,24,,,,,,,4,135414,,,1,15,,,1,20,,,8,69000,,,,,,,6,,,,6,,,,,,,5,511,,,,,618,2351,3486,,,,1,39,694,105,55,58,804,650,115,34,149,225,34417,516303
