Fort Worth,446,587,649,604,768,793,1364,568,714,660,588,698,517,670,753,842,,,,771
Fresno,184,35,593,1043,402,458,643,842,523,406,1287,904,1999,1117,752,361,524,501,572,398
Gallup,45,67,107,112,108,119,197,139,124,106,134,92,128,51,58,88,80,114,168,130
Galveston-Houston,1321,1041,955,919,935,1078,973,922,838,871,973,871,845,993,775,824,854,833,1173,809
Gary,148,236,262,232,230,285,304,283,228,182,193,156,193,154,238,200,173,196,150,196
Gaylord,111,,267,283,189,155,160,170,175,159,171,210,165,99,124,183,131,160,94,133
Grand Island,143,,143,140,149,175,166,176,140,135,150,109,104,196,161,123,132,163,126,105
Grand Rapids,306,547,0,,,,,,,,,,461,467,544,375,894,429,295,323
Great Falls-Billings,,177,187,125,169,176,220,103,103,143,90,106,94,100,51,75,160,144,136,50
GreatFalls-Billings,136,,,,,,,,,,,,,,,,,,,
Green Bay,337,418,474,313,296,298,309,375,318,239,229,271,262,231,190,208,209,176,194,172
Greensburg,223,313,373,335,353,373,349,282,219,283,220,456,314,432,302,348,321,191,157,99
Harrisburg,669,456,551,575,602,534,506,481,428,428,446,505,446,416,390,384,418,323,390,340
Hartford,388,,,,438,363,322,272,739,430,414,260,372,307,308,425,291,276,258,277
Hartford (Archdiocese),,489,370,371,,,,,,,,,,,,,,,,
Helena,121,139,115,92,172,125,120,103,155,111,105,80,135,107,140,61,69,71,61,61
Holy Protection of Mary - Byzantine,,,,,,,,,,,,,,,,15,15,18,17,18
Honolulu,119,302,286,401,535,226,619,322,252,267,223,144,173,263,210,282,190,157,151,180
Houma-Thibodaux,51,266,159,159,63,147,225,70,64,67,145,92,93,46,55,41,45,86,139,66
Indianapolis,606,,,,1001,920,884,879,700,680,675,659,586,537,506,536,545,526,563,548
Indianapolis (Archdiocese),,678,852,953,,,,,,,,,,,,,,,,
Jackson,224,302,311,332,293,312,267,303,276,313,329,390,280,242,209,307,208,232,215,226
Jefferson City,227,315,284,335,319,355,281,278,310,288,293,233,241,259,303,256,256,255,291,244
