Year,Year_OCD,Year established,Diocese,ST,Cd,Cd:Ret,ABp,ABp:Ret,Bp,Bp:Ret,AuxBp,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,DStdntOthSem,StdntOthDio,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Br,Tchrs:Schlstics,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,MinorBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2011,2012,,Albany,NY,,,,,1,,,,,121,4,,88,213,63,276,,1,,1,2,108,68,656,128,95,8,,5,,8,11,,,13,7,1,2,6,31,220,3,1260500,17,73150,7,1200,4,117,3,216,18,559,75,90000,17,84,18,861,,,7,,,,7,4,10000,4,1109,3,968,20,4570,2,286,,,8267,18662,43869,,2,,12,724,3297,101,74,139,3752,3275,680,295,975,4146,330000,1392464
2011,2012,,Alexandria,LA,,,,,1,,,,,30,6,,18,54,11,65,13,,,1,,6,3,29,44,29,15,,,,,,,,21,,,,3,29,15,1,205250,1,350,1,104,,,,,,,8,925,1,202,1,58900,,,7,,,,7,,,3,691,,,7,1771,,,,,825,1836,5130,,3,,6,21,552,71,41,154,593,423,124,63,187,599,43484,383421
2011,2012,1/28/1961,Allentown,PA,,,,,1,1,,,,127,10,,67,204,67,271,2,1,,1,,107,11,320,104,100,4,13,,,,,,,2,26,,,,,,2,510945,2,4760,11,474,,,1,152,2,565,6,30357,1,59,,,,,17,,,,17,2,5809,7,3513,,,38,8926,,,3,186,229,16226,34906,2,,,28,807,2780,,135,2915,3513,3694,525,282,807,2854,271482,1272222
2011,2012,5/27/1901,Altoona-Johnstown,PA,,,,,1,1,,,,76,3,,41,120,56,176,1,1,2,1,1,36,8,70,88,71,13,,3,,1,,,,5,,,,,,,,,1,253,3,288,,,,,,,2,26678,,,,,,,3,,,,3,2,4379,,,4,1005,20,4482,,,,,2589,6080,18538,5,1,331,7,327,925,51,75,134,1154,1427,286,166,452,1538,90507,652258
2011,2012,8/25/1926,Amarillo,TX,,,,,1,1,,,,26,2,,12,40,4,44,10,1,,,16,60,,87,38,21,3,14,,,,,,,11,,,,1,2,10,,,,,1,74,,,1,89,5,657,1,300,,,1,4,,,7,,,,7,,,1,136,,,4,568,,,,,2149,3532,6392,2,,,6,62,1052,156,59,116,1086,686,176,30,206,307,50237,427927
2011,2012,2/9/1966,Anchorage,AK,,,1,1,,,,,,22,,1,2,25,11,36,11,,,,,18,1,20,23,15,8,,,,,1,,,6,,,,1,20,76,1,78251,5,10685,1,641,2,18,,,,,3,17382,,,,,,,4,,,,4,,,1,78,1,42,3,315,1,49,,,724,1714,2926,,,,,75,454,35,50,54,429,297,47,41,88,144,37089,400000
2011,2012,8/13/1974,Arlington,VA,,,,,1,,,1,,130,16,1,14,160,61,221,27,3,,3,16,61,11,132,68,58,10,,,,,,,,6,1,,,,48,191,,,1,239,,,,,31,2253,2,600,11,43998,,,1,291,,,32,,,,32,3,4961,4,3775,2,539,38,11904,1,214,,,2885,31572,55882,6,,,34,1275,5035,2193,1274,695,8161,6852,726,825,1551,1569,453916,2968486
2011,2012,7/2/1956,Atlanta,GA,,,1,,,,1,1,,159,2,,32,193,74,267,23,9,,2,16,235,33,86,88,69,19,,,,,,,,9,,,,10,11,163,5,348989,,,3,95,,,,,,,5,22000,,,,,,,38,,,,38,,,3,2444,4,1363,15,6191,4,1883,,,8816,30050,50785,17,3,,15,1143,7741,707,546,1166,8514,4806,956,348,1304,1315,1000000,6998399
2011,2012,1/1/1948,Austin,TX,,,,,1,1,,,,93,10,,39,142,54,196,30,2,,4,,168,43,96,101,80,18,3,,,,,,,22,4,,,3,23,176,5,1836646,,,2,189,,,2,300,2,155,4,27000,,,,,,,44,,,,44,1,5285,4,1054,2,475,16,3348,1,863,,,9149,27621,47839,3,,,4,507,7984,660,394,722,7707,4291,1137,284,1421,1600,518940,2809636
2011,2012,5/19/1903,Baker,OR,,,,,1,1,,,,17,4,,15,36,9,45,10,,,,,12,,9,31,24,7,,,,,,,,28,,,,,9,20,4,161261,,,4,189,,,1,20,,,6,69514,,,,,,,2,,,,2,,,,,,,5,512,,,,,726,2068,3308,1,,,2,37,907,65,41,122,929,618,141,28,169,260,34142,509474
2011,2012,,Baltimore,MD,,1,,,,1,2,,,187,17,,45,249,227,476,52,1,,4,14,168,69,860,146,91,28,20,3,,,4,,,7,,,7,1,25,175,5,1864800,4,2772,27,4225,9,1429,6,5025,5,756,40,359747,1,255,1,7219,2,18,11,229,,,29,4,11315,7,3384,13,7363,42,16104,7,1111,1,116,2430,22589,64441,40,8,,64,2587,5860,,481,793,5828,5299,877,430,1307,4167,510328,3148690
2011,2012,7/20/1961,Baton Rouge,LA,,,,,1,,,,,50,,,23,73,35,108,6,2,1,3,,66,15,95,68,34,8,25,,,,1,,,,,,,,5,92,3,625003,,,7,735,,,,,5,357,8,227093,,,,,,,15,,,,15,1,1860,6,2197,2,2003,23,10927,,,,,3561,8338,28901,2,2,,10,945,2474,137,153,285,2487,2040,512,185,697,1702,225979,969104
2011,2012,9/29/1966,Beaumont,TX,,,,,1,,,,,28,3,,15,46,23,69,4,,,,,32,3,22,44,26,18,3,,,,,,,4,,,,,8,44,3,406107,,,,,,,,,,,7,4723,,,,,,,6,,1,7,13,,,1,431,,,5,1167,,,,,1622,6221,9454,,,,1,135,1381,,178,249,1289,1004,150,94,244,710,72117,616838
2011,2012,,Belleville,IL,,,,,1,1,,,,61,1,,45,107,34,141,17,1,,,,27,11,309,117,67,10,35,1,,3,1,,,,,,,,16,78,5,524344,,,2,237,,,3,201,1,14,3,275000,,,,,,,5,,,,5,,,3,1129,,,29,4971,,,,,419,4250,10774,6,,,8,400,1138,75,126,187,1353,1475,294,188,482,1194,91550,860658
2011,2012,3/1/1977,Biloxi,MS,,,,,1,1,,,,36,1,,14,51,25,76,6,3,,1,,32,12,37,42,29,11,2,,,,,,,9,,,,,7,14,,,,,7,475,,,,,,,7,436810,,,1,2999,,,9,,,,9,,,4,1170,1,357,10,2648,,,,,908,3638,8730,,3,,3,345,947,131,123,162,967,673,137,97,243,645,58702,800165
2011,2012,6/28/1969,Birmingham,AL,,,,,1,1,,1,1,61,1,,22,84,28,112,,1,,1,,51,22,118,54,36,19,2,,,,1,,,19,,,,1,10,48,4,689500,1,39600,,,,,,,1,20,19,91500,,,,,,,11,,,5,16,,,5,1461,1,153,18,4601,1,185,1,120,1534,6267,14337,4,1,,14,380,1821,180,157,414,1973,1560,227,111,338,631,90135,2945960
2011,2012,12/31/1909,Bismarck,ND,,,,,1,1,,1,,41,4,,21,66,19,85,14,2,,1,4,77,20,78,98,32,13,52,1,,,,,,,1,,,,2,35,4,354819,,,6,617,,,,,,,4,500,,,1,120,,,17,,,,17,1,2971,3,663,,,10,1620,,,,,1529,5127,11927,3,,,4,206,950,100,36,110,870,980,208,120,328,551,60411,281619
