Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2000,2001,3/27/1931,Reno,,0,,,1,0,,,,15,1,,8,24,12,13,,,1,,7,3,38,28,18,7,1,2,0,,,,2,8,,0,0,1,4,4,1,199234,3,199234,,,0,0,2,233,,,7,32250,,,,,0,0,0,7,0,0,7,,,1,655,,,4,1123,,,,,1162,4357,7304,,,1,4,115,1839,143,120,1359,681,226,92,318,340,71997,573630
2000,2001,,Richmond,,0,,,1,0,,1,,122,12,,31,165,39,13,2,,,2,29,12,198,143,106,8,16,1,0,7,5,,1,7,2,0,0,1,16,140,10,619549,,,15,2733,2,460,9,867,,,8,10000,5,240,,,0,0,0,8,0,0,8,,,6,1382,3,869,22,8519,1,431,1,140,5922,18779,36050,4,,,7,740,3538,701,1134,3619,1917,578,699,1277,1545,200342,4555139
2000,2001,,Rochester,,0,,,1,0,,2,,152,9,,90,251,31,21,2,,2,3,126,37,666,157,100,5,38,1,,9,3,,0,11,,1,6,,68,322,2,280000,2,900,4,1500,2,40,1,120,7,500,42,85000,10,100,,,1,5,,5,0,0,10,1,149,1,132,6,3454,49,11951,5,927,,,4420,30936,51979,3,,16,61,1096,5250,398,714,5012,4860,1426,585,2011,4239,338501,1470304
2000,2001,9/23/1908,Rockford,,0,,,1,0,2,1,2,115,3,,39,157,58,11,8,,4,,112,16,260,105,86,9,10,0,0,,,,0,,1,0,0,,,,3,499606,21,43752,8,789,0,0,1,56,1,252,10,303832,,,,,0,0,0,40,0,0,40,,,6,3335,2,895,41,12181,,,,,5329,26958,48738,12,,2,22,838,6105,254,428,6347,4352,989,446,1435,2153,363430,1298208
2000,2001,4/6/1957,Rockville Centre,,0,,,,2,2,,,281,12,2,107,402,74,56,2,,5,11,219,94,1433,134,130,4,,0,,,,,0,1,,0,0,3,265,427,4,1219082,34,175725,4,9462,4,10562,102,4322,6,1326,21,48706,17,198,103,194000,1,19,19,,,5,24,2,5358,4,3851,8,7365,59,28057,4,1072,3,103,3319,116331,165480,12,,53,174,1952,22522,627,517,22181,16595,5034,1331,6365,13098,1404361,3008203
2000,2001,,Sacramento,,0,,,1,1,1,1,1,107,6,,50,163,72,35,4,1,6,18,115,31,184,98,86,10,,0,0,2,,,0,42,,0,0,5,40,79,6,427059,,,1,118,1,21,3,1289,1,23,8,109150,,,,,0,0,0,51,1,12,63,,,4,1831,3,2450,47,12752,,,,,2631,16267,35994,12,2,7,23,860,9326,691,848,7049,5218,1177,527,1704,2724,477330,3020340
2000,2001,2/26/1938,Saginaw,,0,,,1,0,,,,75,1,2,34,112,15,4,,,1,,14,,125,108,72,8,13,1,0,13,1,,0,,,0,,,23,22,1,263120,1,10750,1,100,4,191,7,274,1,1262,,,,,,,0,0,0,2,0,0,2,,,3,1138,,,30,5007,,,,,2362,9790,18299,1,,,19,303,1928,251,252,2125,3401,471,267,738,1680,142505,685532
2000,2001,,Salina,,0,,,1,0,1,,,48,1,1,17,67,11,3,2,,,,,1,222,92,39,4,43,0,0,4,2,,0,,,0,0,1,20,21,,,,,4,297,0,0,,,,,,,,,,,0,0,0,8,0,0,8,,,4,468,1,441,12,2023,,,,,2090,5316,10346,3,,,4,202,999,90,185,822,896,193,199,392,603,50113,318359
2000,2001,,Salt Lake City,,0,,,1,0,,,1,43,5,1,8,57,27,7,2,,2,,39,12,52,47,35,8,3,0,0,,1,,0,15,,3,0,,10,35,,,,,1,750,0,0,9,387,,,3,289191,,,,,0,0,0,10,0,0,10,,,3,1479,,,10,3690,,,,,1507,6905,13591,6,,,2,310,3308,439,269,2031,1162,405,231,636,580,107000,2130000
2000,2001,10/16/1961,San Angelo,,0,,,1,0,,,,26,4,,9,39,16,7,,,,,40,,30,49,25,9,12,1,0,2,,,0,24,,0,0,,13,9,,,,,,,0,0,,,,,,,,,,,0,0,0,7,0,0,7,,,,,,,3,818,,,,,4078,9068,13971,,,,1,60,2143,186,343,2046,1595,368,142,510,679,78557,687730
