Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2001,2002,,Albany,,0,,,1,0,0,,,192,15,,77,284,105,7,1,2,,86,94,94,934,182,146,14,10,1,0,12,0,0,0,29,13,0,2,2,100,1327,4,721548,15,53550,10,1380,4,900,7,610,12,1400,25,245000,7,265,9,740,0,0,,10,0,0,10,4,4500,4,1582,3,1473,37,8693,2,452,,,9475,30679,56412,0,,5,47,752,4650,150,259,5600,4190,1310,560,1870,5100,400000,1340450
2001,2002,,Alexandria,,0,,,1,0,,,,38,5,,22,65,12,11,2,,0,,5,4,49,48,33,10,4,0,0,1,,,0,24,1,0,0,1,8,5,2,112830,,,2,164,0,0,,,,,17,97587,2,172,,,,0,0,21,,0,21,,,3,578,,,9,2549,,,,,1204,2508,6860,,,3,14,199,675,81,127,649,613,176,85,261,666,48050,392639
2001,2002,1/28/1961,Allentown,,0,,,1,0,1,,,192,12,1,44,249,80,4,2,,5,,99,,510,153,113,5,35,0,0,,,,0,9,,0,0,,,,3,608721,1,32400,10,752,,,37,1732,2,2220,14,81162,11,60,,,0,0,0,26,0,0,26,2,3660,9,4129,,,52,13430,,,3,127,1397,17483,40252,11,,,71,1206,3624,217,,3983,3469,856,526,1382,3119,268609,1161932
2001,2002,5/27/1901,Altoona-Johnstown,,0,,,1,0,1,,,105,5,,42,152,62,,1,1,1,0,29,4,87,100,79,12,9,0,0,,,,0,5,,0,3,,,,1,140483,1,211,3,294,0,0,,,,,2,41732,,,,,0,0,0,6,0,0,6,2,4012,3,1213,,,25,4457,,,,,4180,8897,22765,8,,,20,547,1448,126,211,1724,1826,417,272,689,1710,112426,645268
2001,2002,8/25/1926,Amarillo,,0,,,1,0,1,,,32,7,,23,62,9,2,0,,1,7,51,1,134,35,23,5,4,3,0,,,,0,13,,0,0,1,5,6,1,22300,1,750,1,56,0,0,2,179,2,500,4,35000,,,1,4,0,0,0,7,0,0,7,,,1,131,,,6,789,,,,,1665,4433,7025,1,,,11,89,1277,112,91,1170,1164,233,56,289,285,56361,402862
2001,2002,2/9/1966,Anchorage,,0,1,1,,0,,,,10,,1,7,18,14,11,,,,,18,2,46,20,11,4,,0,0,3,1,1,0,8,,0,0,,13,28,3,401457,2,462,1,60,0,0,,,4,2715,5,19204,,,,,0,0,0,5,0,0,5,,,1,63,1,41,2,316,1,91,,,1002,2802,4320,,,,2,59,536,81,85,576,378,78,62,140,124,31112,395951
2001,2002,8/13/1974,Arlington,,0,,,1,0,,1,3,131,6,2,18,157,78,17,6,,5,,44,19,161,67,56,11,,0,0,,,,0,5,,1,0,,36,158,,,,,,,0,0,,,,,8,43604,,,,,0,0,0,39,0,0,39,4,5471,3,3457,3,762,34,13265,1,193,1,145,3592,31298,58222,24,,2,41,921,7141,854,578,7158,5800,1112,714,1826,1504,368575,2403540
2001,2002,7/2/1956,Atlanta,,0,1,,,0,,1,1,131,11,0,12,154,67,13,8,,8,6,138,1,118,77,66,11,0,0,0,,,0,0,18,1,0,0,1,16,130,2,120767,0,0,5,139,,,,,0,0,33,40000,,,,,0,0,0,49,5,0,49,,,3,2000,1,1032,14,5687,2,876,,,5527,25590,40761,10,,0,2,700,8868,787,953,5837,4195,916,742,1658,992,321978,5300000
2001,2002,1/1/1948,Austin,,0,,,1,0,1,,,108,5,0,18,131,53,11,2,,,0,177,46,111,101,80,21,25,,,,,,0,25,1,0,1,3,19,123,4,690455,4,88344,2,432,1,4000,4,200,1,300,1,300,1,3250,,,0,0,0,23,0,0,23,1,4151,2,303,2,495,14,3220,2,679,,,7884,25449,42204,3,,2,7,404,7494,573,1074,6002,4236,1102,532,1634,1539,400156,2056550
2001,2002,5/19/1903,Baker,,0,,,1,0,1,,,21,3,1,14,39,6,11,0,,2,0,14,1,27,36,24,4,8,0,0,,,,0,27,,0,0,,3,12,5,276483,,,1,110,0,0,5,285,,,7,26311,,,,,0,0,0,8,0,0,8,,,,,,,3,667,,,,,1229,2488,4392,,,,4,46,816,128,112,1100,659,104,82,186,274,37155,439500
