Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,Pr:D,Pr:R,ExtPrDio,Pr:Tot,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
1998,1999,11/11/1944,Evansville,0,,0,,1,,,0,,68,4,,32,104,9,,,1,,,,22,2,324,70,55,3,8,1,,3,,,,0,5,,,,20,52,2,315480,1,60,3,249,,,1,244,,,15,24000,,,,,,,,10,,,10,,,4,1717,1,115,24,6076,,,1,19,2037,8032,18006,1,,2,26,458,1462,107,203,1597,1260,320,279,599,857,89973,482447
1998,1999,8/8/1962,Fairbanks,0,,0,,1,,1,0,,4,1,,,5,24,4,,,,1,1,40,4,16,41,7,6,17,1,2,3,12,,,7,1,,,3,16,6,,,,,,,,,,,,,1,6200,,,,,,,,4,,,4,,,1,221,,,1,255,,,,,548,1832,2860,,,,2,37,363,22,27,341,178,40,22,62,90,16846,141759
1998,1999,3/12/1904,Fall River,0,,0,,1,,,0,,135,2,1,42,180,135,2,,7,2,7,,56,27,366,111,98,10,3,,,,,,,13,0,,,1,15,48,1,54487,1,64,5,1005,1,192,2,94,3,286,5,27468,,,,,,,,18,1,15,33,1,2882,4,2601,,,24,5920,1,154,,,5563,32456,,9,,4,31,636,5368,122,222,5419,4290,1605,365,1970,3889,341482,721500
1998,1999,,Fargo,0,,0,,1,,,0,,107,8,1,37,153,9,,,3,,,,32,8,153,159,82,9,68,,,,,,,0,0,,,1,7,54,8,60798,51,904,5,485,,,35,280,,,2,16071,1,220,9,270,1,12,7,35,,2,49,,,1,286,,,12,2129,,,,,3856,7010,13330,1,,6,4,159,1307,79,204,1364,1558,263,215,478,773,98915,391000
1998,1999,,Fort Wayne-South Bend,0,,0,,1,1,2,0,,68,1,,32,101,175,2,,2,2,,,32,105,682,87,64,18,5,,,,,,,0,2,,,,19,80,5,375930,1,20000,4,515,,,2,678,1,19,7,18743,,,1,20,,,,8,1,45,53,5,13476,4,3117,,,40,10977,,,,,2982,10331,40936,1,,1,16,715,2704,422,425,3077,2663,527,410,937,1377,156621,1156129
1998,1999,8/22/1969,Fort Worth,0,,0,,1,,,0,,48,3,1,8,60,49,8,,3,,,,64,11,108,87,37,23,21,3,1,1,,,,2,0,,,3,,,1,75000,1,1250,5,525,,,1,70,,,16,31000,,,,,,,,13,,,13,,,4,1554,,,15,6219,1,256,,,6748,21942,36732,,,3,14,637,4917,529,604,4610,2364,698,417,1115,1063,207490,2372666
1998,1999,12/15/1967,Fresno,0,,0,,1,,,0,,84,2,,22,108,32,19,,1,1,2,3,5,4,123,84,70,9,5,,,,,,,40,0,,,3,123,175,3,632013,2,,1,124,,,,,1,100,5,273012,,,,,,,,19,,,19,,,2,1487,,,23,5403,,,,,7635,23839,38383,2,,,35,347,17748,558,1043,9423,3732,1925,382,2307,3276,349663,2263150
1998,1999,12/16/1939,Gallup,0,,0,,1,,,0,,29,11,,24,64,27,4,,,,,1,33,13,141,58,25,19,11,,,,,,3,40,38,,2,5,36,19,,,,,1,42,,,3,66,2,78,2,10585,,,7,42491,,,,5,,,5,,,,,3,304,,,10,1650,,,1279,4072,7310,,,,26,86,986,264,112,1000,681,170,76,246,569,44480,379555
1998,1999,,Galveston-Houston,0,,0,,1,2,,0,,145,6,1,43,195,218,38,,4,4,5,,256,18,508,151,97,54,1,,,,,,,8,18,,,,,,4,396618,6,72816,3,293,3,166,36,3397,4,1428,10,446195,,,,,1,15,37,21,5,19,55,1,2696,2,361,6,3176,48,12487,3,1344,,,14646,64048,98813,14,1,1,42,1257,17429,1601,919,14448,7578,2704,1004,3708,3558,906330,4396876
1998,1999,12/17/1956,Gary,0,,0,,1,,1,0,,90,5,1,29,125,50,7,,,,2,,28,16,128,77,70,3,4,,,,,,,3,7,1,2,4,13,45,6,375383,,,3,478,3,116,2,410,1,700,7,10000,,,,,,,,6,1,4,10,1,1035,3,1941,,,30,7659,1,98,,,943,9880,21566,5,,,22,528,2154,179,232,2253,1998,479,263,742,1814,184430,759673
