Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,Pr:D,Pr:R,ExtPrDio,Pr:Tot,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
1998,1999,,Lincoln,0,,0,,1,,,0,,108,6,2,27,143,12,4,,4,,10,,2,9,125,134,85,3,46,,,,,,,1,0,,,,,,3,192003,,,3,328,,,,,,,4,12033,1,16,2,5745,1,23,,21,,,44,,,6,2177,,,24,5400,,,1,16,2246,6071,15953,30,,,37,466,1349,151,160,1448,1856,246,211,457,651,88056,516662
1998,1999,,Little Rock,0,,0,,1,,,1,1,55,1,,27,83,65,14,148,2,,2,,77,41,314,90,49,31,5,2,,3,,,,43,0,,,,34,63,10,860844,1,3000,4,243,,,6,162,1,138,4,23823,,,1,385,,,,14,,8,22,,,3,1069,2,801,31,6689,1,57,,,3070,5523,17231,11,,8,42,544,1917,306,524,1764,1453,267,341,608,949,89091,2522813
1998,1999,,Los Angeles (Archdiocese),1,,0,,0,5,2,1,,441,18,1,144,604,594,127,,14,,,8,161,177,1926,287,209,61,16,,,,,,,20,1,,,8,178,498,19,1667349,5,12462,7,3226,2,592,81,4326,11,1123,80,310245,2,210,3,149,2,58,77,1,15,85,144,5,10961,29,16868,22,13306,219,66302,9,2708,,,30000,228200,368489,42,,23,372,4277,91140,2108,2038,49451,17283,10430,1684,12114,13388,4080793,10652600
1998,1999,,Louisville (Archdiocese),0,,1,,0,,1,1,,125,5,1,55,185,59,,,,,2,,96,83,1026,113,80,10,15,4,,3,1,,,12,3,,2,,41,129,2,149990,1,2100,5,863,1,70,1,200,1,383,1,3730,,,,,,,,15,,,15,3,4359,4,2105,6,4402,56,18134,3,599,1,53,1093,8737,39497,5,,4,19,1317,3041,339,639,3129,3068,614,428,1042,1844,178420,1139022
1998,1999,6/17/1983,Lubbock,0,,0,,1,,,0,,26,1,,6,33,9,4,,,,,,48,,38,36,28,5,3,,,,,,,24,1,,,,12,4,1,97399,35,451178,,,,,,,,,1,35000,,,,,,,,17,,,17,,,,,,,2,429,,,,,3367,5449,9262,,,,,35,1684,77,114,1229,744,318,51,369,251,55781,410180
1998,1999,1/1/1946,Madison,0,,0,,1,1,,0,,116,5,,35,156,19,,,,,1,,1,8,396,137,175,137,103,3,106,31,,,,0,0,,,,46,134,4,254782,2,306,5,593,,,29,2685,,,7,31750,1,425,,,,,,20,,,20,1,1909,1,88,1,588,44,7287,1,263,,,10423,16677,37255,,,1,33,558,,,,3122,2404,745,508,1253,,31,3278
1998,1999,,Manchester,0,,0,,1,1,1,1,1,159,10,,74,243,77,16,,,,3,,25,42,742,131,120,11,,,,,,,,38,0,,,2,23,22,2,218452,,,6,433,2,38,1,308,,,,,,,,,,,,19,,,19,6,6135,3,1612,1,803,34,7005,3,879,,,5402,29471,51326,,,7,54,640,5215,181,176,5249,3137,992,414,1406,3158,330513,1173000
1998,1999,,Marquette,0,,0,,1,,1,0,,57,4,,42,103,12,7,,2,,1,1,21,,64,74,54,9,7,,,4,,,,24,0,,,,17,21,1,66670,,,1,123,,,,,,,6,2018,,,,,,,,10,,,10,,,,,,,10,1705,,,,,3065,6149,10929,,,,6,115,1109,97,118,1100,994,295,202,497,1242,72552,319700
1998,1999,1/16/1971,Memphis,0,,0,,1,,,0,,45,5,,15,65,10,7,,,,,,25,48,84,42,34,5,6,1,,1,,,,5,1,,,1,11,31,,,1,172,8,665,1,236,8,2185,1,360,6,7440,5,56,1,127,,,,10,,,10,1,1869,4,1246,2,1153,11,3390,2,505,1,48,1072,5107,14400,1,,9,15,894,1110,248,309,1313,1176,165,212,377,486,60804,1438524
1998,1999,11/19/1981,Metuchen,0,,0,,1,,1,0,,165,16,1,28,210,30,23,,3,,1,20,128,23,423,108,97,5,6,,,,,,,0,0,,,5,38,61,1,185885,2,3233,3,287,,,7,533,4,200,8,13676,1,11,2,40,,,,15,,,15,,,4,2623,2,1115,43,14249,1,41,,,1414,38563,58020,3,,12,105,945,7015,179,263,7305,5300,1430,368,1798,3913,495322,1194578
1998,1999,8/13/1958,Miami (Archdiocese),0,,1,1,0,3,,0,,198,8,2,56,264,115,23,,1,,3,6,122,56,345,108,98,10,,,,,,,,7,1,,,,54,146,2,694575,3,14657,4,96721,2,291,7,3170,5,29013,35,984570,1,121,11,2556,1,18,24,19,,,37,2,10707,9,7367,5,3023,54,23167,3,1270,2,11641,4089,43956,105257,18,,26,55,2137,16091,945,1261,13608,8622,1688,464,3152,4750,787672,3597277
1998,1999,,Milwaukee (Archdiocese),0,,1,,0,1,,1,1,290,22,2,151,465,344,20,,2,6,1,16,171,81,3670,254,190,20,35,,,3,6,,,0,19,6,24,3,66,394,11,2502052,1,22343,25,4963,,,6,1408,7,4702,51,440381,8,164,,,1,13,1,,1,7,20,5,21725,9,4192,5,2904,143,33640,2,112,2,17,13803,38312,114725,79,2,7,164,3223,9350,625,881,9665,6349,2430,1007,3437,5813,695934,2197939
1998,1999,,Mobile (Archdiocese),0,,1,,0,,,0,,77,8,1,21,107,40,6,,1,,,,41,16,201,76,57,19,4,,1,,,,,14,3,,,6,15,51,1,188422,2,4265,2,292,1,200,4,232,1,41,9,50444,3,181,3,447,,,,17,,,17,1,1781,3,1595,,,21,5976,,,,,774,2532,12675,2,,2,20,516,1158,193,363,1209,1073,151,253,404,622,66013,1452506
1998,1999,,Monterey,0,,0,,1,,2,,,50,2,,29,81,17,9,,,2,1,,3,52,117,46,37,6,3,,,,,,,9,0,,,,,,1,116693,1,46,3,430,,,,,,,,,,,,,,,,16,,,16,,,2,597,2,965,12,3416,2,446,,,1481,7688,14609,1,,6,17,286,4979,172,431,4082,1058,777,240,1017,1110,179110,895550
1998,1999,,Nashville,0,,0,,1,,1,0,,36,5,,12,53,21,4,,1,,,,27,4,153,50,30,9,11,,,,1,,,3,0,,,2,9,31,1,153760,,,3,468,,,2,301,1,250,5,51058,,,2,760,,,,10,,,10,1,362,1,1000,1,195,13,3414,2,713,,,1517,6382,13593,2,,,46,379,1611,270,382,1512,1190,189,255,444,436,63363,1824375
1998,1999,,New Orleans (Archdiocese),0,,1,1,0,2,1,1,,168,16,,45,229,202,14,,3,1,3,,186,129,831,146,108,34,4,,,,,,,8,1,,,,,,,,2,3200,26,3263,2,201,18,1263,4,3538,66,411994,9,93,15,3654,2,26,145,1,3,29,56,3,10165,10,6598,13,9875,74,32630,7,1546,1,205,4753,19300,85128,75,,33,121,3323,7059,649,480,6617,5855,1849,602,2451,4319,482373,1332771
1998,1999,11/18/1957,New Ulm,0,,0,,1,,,0,,55,9,2,23,89,1,3,,,,,,2,,86,81,47,0,16,,,15,3,,,2,0,,,,13,32,1,7129,2,6163,6,446,,,,,,,,,,,1,1200,,,,9,,,9,,,3,507,,,19,3453,,,,,3835,8720,16524,,,,7,219,1092,68,127,1248,1330,249,253,502,757,69840,278780
1998,1999,,New York (Archdiocese),1,,0,,0,6,2,0,,585,52,,245,882,1010,161,,2,,10,12,320,419,3707,413,314,80,19,,,,,,,0,0,,,19,144,938,17,2028232,3,162029,17,21424,14,41666,15,1796,5,655,148,706374,11,350,,,2,82,16,2,2,5,89,12,63735,26,14118,29,7205,220,77869,18,4195,5,255,3950,98030,269446,48,,65,255,4414,34776,1012,684,28062,19807,6225,1457,7682,15949,2371355,5254300
1998,1999,,Newark (Archdiocese),0,,1,1,0,5,1,1,,528,55,8,166,757,244,80,,16,,17,25,230,116,1505,236,207,29,,,,,,,,8,172,2,,19,237,227,7,601208,113,18609,8,616,,,126,3000,6,262,241,134137,2,41,7,15214,3,107,18,2,1,15,124,4,16416,18,8326,19,7296,138,43075,6,1668,5,326,3199,50881,131311,147,,28,216,3726,16547,474,716,13704,9404,4126,741,4867,11044,1319558,2651785
1998,1999,1/10/1966,Newton (Melkite U.S.),,,0,1,1,1,,,,33,2,,8,43,19,3,,,1,,2,30,,3,35,26,9,,,,,,,,6,,,,,,,,,,,,,,,,,2,4500,1,5200,1,180,,,1,1,,,1,2,3,,,,,,,,,,,,,284,1271,1558,,,,,,401,17,9,431,449,116,22,138,189,27500,
1998,1999,8/16/1953,Norwich,0,,0,,1,,,0,,96,9,,38,143,64,5,,3,,2,,49,26,287,78,65,12,1,,,,,,,10,23,,,2,24,60,,,,,3,247,,,,,,,1,138,,,,,,,,11,1,3,14,,,3,1743,2,294,23,4561,,,,,2728,15155,24495,1,,1,15,23,2945,146,297,3043,2143,688,251,939,2154,224259,638244
1998,1999,1/13/1962,Oakland,0,,0,,1,,,0,,116,8,,43,167,100,19,,2,10,,,76,20,320,89,69,18,,1,,,1,,,3,11,,,20,325,320,1,80000,,,2,1300,,,5,1500,6,22000,3,5500,1,800,4,20000,,,,18,,71,89,3,4500,3,1918,6,4409,52,15043,,,,,1800,10000,37759,,,20,25,850,8885,568,710,7465,3027,1208,383,1591,2686,496122,2255100
1998,1999,,Ogdensburg,0,,0,,0,,,0,,108,9,2,48,167,15,8,,,,3,,58,9,203,120,80,6,32,,,2,,,,26,11,,1,3,33,52,,,2,48000,3,448,,,1,26,4,155,8,14500,,,15,14000,1,4,17,8,,1,13,1,271,2,638,,,24,4296,,,,,2909,9878,18005,1,,2,21,297,1911,477,110,1919,1502,401,221,622,1637,136090,430422
1998,1999,2/6/1973,Oklahoma City (Archdiocese),0,,1,1,0,,,1,3,73,4,1,18,96,31,6,,,,1,12,60,10,153,72,60,9,3,,,,,,,45,1,,,1,23,67,7,622577,,,5,356,,,2,346,,,1,752,1,25,,,,,,15,,1,16,1,650,1,701,1,222,18,3538,1,577,,,2978,8750,17432,,,,13,255,1924,455,565,1973,1298,335,319,654,879,92391,2209100
1998,1999,,Omaha (Archdiocese),0,,1,1,0,,1,1,1,158,11,,60,229,120,13,,3,1,3,12,143,22,340,139,103,4,36,1,,,,,,18,0,,,,15,281,4,278309,1,238,4,620,,,6,5000,1,150,13,122307,,,1,32401,,,,36,1,4,40,2,7295,12,4092,6,2891,60,15093,2,118,1,55,3550,16573,49707,25,2,2,16,1276,4339,510,685,4317,3608,918,573,1491,1919,214574,822892
1998,1999,6/18/1976,Orange,0,,0,,1,,1,1,1,119,7,1,58,185,99,16,,4,2,,,48,5,367,54,46,8,,,,,,,,5,4,,,,35,170,1,34448,2,330146,1,51,,,3,180,5,190,3,508487,2,22,1,103,,,,46,1,12,58,,,3,4620,3,1150,36,13229,2,630,,,7754,32273,59714,6,,10,48,957,16713,830,562,12845,4183,2487,774,3261,2891,615041,2674091
1998,1999,6/18/1968,Orlando,0,,0,,1,1,,0,,100,2,,19,121,59,19,,3,,3,5,125,13,136,70,59,11,,,,,,,,10,0,,,2,44,169,,,,,,,,,9,900,2,105,6,25000,,,9,900,,,,16,,,16,,,4,2376,,,31,12474,,,1,65,4327,21052,40310,2,,,32,836,6016,532,918,5913,3764,1040,652,1692,3706,323766,3094540
1998,1999,11/18/1996,Our Lady of Deliverance - Syriac,,,,,1,,,,,8,1,,,9,0,,,,,,,,,,8,6,0,1,1,,,1,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,130,260,391,,,,,,66,2,18,72,68,14,4,18,22,12100,
1998,1999,3/12/1994,Our Lady of Lebanon of L.A.,,,,,1,,,,,27,1,,2,30,9,,,1,,,,7,,8,27,22,5,3,,,,,,,10,,1,,,,,,,,,1,55,,,,,,,,,,,,,,,,9,,,9,,,,,,,,,,,,,,,,,,,,,438,24,20,230,426,100,43,143,157,23711,
1998,1999,12/9/1937,Owensboro,0,,0,,1,,,0,,63,4,,16,83,13,1,,3,1,,,,5,229,79,47,5,27,,,,,,,0,2,1,,3,30,35,1,85000,2,8000,2,170,,,3,209,,,2,16000,,,,,,,,13,,,13,1,777,3,1059,,,19,4200,,,,,1266,3348,10663,3,,,14,339,977,189,366,1064,1166,208,221,429,532,51702,778235
1998,1999,10/24/1984,Palm Beach,0,,0,,1,,1,0,,74,7,,18,99,40,15,,3,,1,,35,3,182,46,40,6,,,,,,,,5,0,,,1,21,63,1,18192,,,1,120,,,2,12,1,16,22,25424,2,12,,,1,13,47,9,,,22,,,3,2241,,,14,4398,2,560,,,2773,14021,24015,20,,,20,431,4179,287,357,4083,2063,722,367,1089,2349,224364,1445543
1998,1999,2/21/1969,Parma-Byzantine,,,,,1,,,,,28,1,,9,38,1,7,,,,,,3,,12,38,27,1,10,,,,,,,1,,,,,12,,,,,,,,,,1,109,,,1,8000,,,,,,,,3,,,3,,,,,,,2,325,,,,,209,826,1363,,,,5,18,129,18,36,83,111,31,19,50,219,12680,
1998,1999,7/31/1963,Passaic - Byzantine,,,,,1,,1,,,71,4,,16,91,13,5,,1,,2,1,19,4,21,97,67,4,26,,,,,,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,7,,,,,,,3,449,,,,,417,2061,2934,,,,9,17,362,11,33,384,372,91,51,142,639,51771,
1998,1999,12/9/1937,Paterson,0,,0,,1,,1,2,7,174,18,,74,266,196,17,,,,1,,150,42,941,111,97,12,2,,,,,,,0,5,,,3,69,159,3,734929,,,8,426,2,48,,,2,14320,13,85184,8,102,,,,,,10,2,5,15,2,2228,5,2479,5,1475,58,16472,3,540,,,8885,35914,68008,30,,16,190,1138,8724,171,324,7427,3953,1559,497,2056,3603,403207,1080261
1998,1999,11/6/1975,Pensacola-Tallahassee,0,,0,,1,,,0,,50,9,,12,71,9,29,,,,,,40,4,56,54,38,10,1,,,,,,,10,0,,,4,56,6,1,219062,,,3,186,,,,,,,7,51263,,,,,,,,14,,,14,,,1,625,,,9,2527,,,1,16,1357,4853,9392,,,,13,185,1210,152,195,1224,918,188,168,356,578,65904,1274850
1998,1999,,Peoria,0,,0,,1,,1,1,1,176,10,1,65,252,50,1,,4,,4,,96,8,335,165,142,21,2,,,,,,,39,5,,,2,30,45,8,1173145,,,2,197,1,58,3,2410,2,84,1,24000,1,4,6,1532,,,,31,,,31,1,150,6,2577,,,48,12440,,,,,3678,12974,31850,6,,3,45,741,3053,451,513,3165,3471,606,466,1072,2158,232366,1447418
1998,1999,,Philadelphia (Archdiocese),1,,0,,0,2,3,0,1,584,32,4,176,796,419,28,,11,1,10,7,157,141,3873,287,262,18,7,,,,,,,9,18,,,6,164,208,8,706186,9,,19,6689,5,6722,7,91,5,1497,14,64496,4,320,7,15936,1,84,100,,1,11,95,11,32823,22,23004,15,6989,221,84936,20,5251,5,359,7272,49893,210622,166,1,48,766,8240,18101,1216,823,13836,12396,4641,2051,6692,13031,1411256,3706022
1998,1999,5/28/1913,Philadelphia-Ukranian,,,1,,,1,,0,,45,1,,13,59,6,9,,,,,,4,5,80,78,45,2,31,,,,,,,,,1,,,4,4,,,,,,,,,2,55,,,,,,,,,1,24,,,,,24,1,685,,,1,330,7,1410,,,,,338,1410,4197,4,,,25,310,330,17,64,377,369,89,42,131,469,68103,
1998,1999,12/2/1969,Phoenix,0,,0,,1,,1,0,,102,3,,35,140,104,23,244,3,1,6,12,172,11,234,86,62,19,,4,,1,,,1,27,0,,,10,232,400,1,312000,1,95000,11,494,,,27,1055,8,886,11,2021773,1,26,,,,,,28,,,28,,,4,2635,1,1190,23,7950,,,,,6282,32203,50288,15,1,,45,620,10767,636,849,6914,4113,1194,530,1724,3815,423525,3113775
1998,1999,,Pittsburgh,0,,0,,1,2,1,0,,359,25,2,114,500,125,55,,2,2,,,18,47,1764,218,199,13,6,,,,,,,0,0,,,2,62,194,5,754424,1,35,11,1165,4,647,130,3962,4,595,4,193099,1,88,4,245,1,12,,17,,,29,3,13219,8,3618,3,623,106,27514,4,866,2,157,6629,51517,104172,3,,18,123,1891,8801,532,870,9751,9209,2466,1056,3522,8893,755459,1995320
1998,1999,2/25/1924,Pittsburgh - Byzantine,,,1,,,,,1,,57,,,7,64,9,,,1,,,,,5,105,85,52,5,28,,,,,,,2,,,,,4,,,,,,3,353,,,3,78,,,,,,,,,1,5,7,,,,5,,,,,,,3,533,,,,,509,2201,3248,,,,9,29,305,37,60,320,314,82,51,133,872,75261,
1998,1999,,"Portland, ME",0,,0,,1,1,1,0,,119,7,,54,180,53,13,,1,,5,9,18,26,457,138,100,15,22,,,,1,,,53,0,,,1,18,69,3,206432,1,2010,8,956,,,4,1333,5,79,7,2812,,,1,12,,,,12,,,12,1,5123,1,290,2,685,18,4027,1,179,,,3086,15937,29339,2,,,28,285,2923,282,334,3304,7139,907,442,1349,3050,227183,1227927
1998,1999,,"Portland, OR (Archdiocese)",0,,1,,0,1,,2,1,99,5,1,42,147,179,26,,2,1,3,8,29,76,539,125,75,36,10,,,,4,,,26,1,,,3,25,178,9,1674912,5,1984,5,1567,,,4,1278,6,2906,15,969875,3,34,,,1,15,100,1,,28,44,2,4201,3,1599,6,3268,41,9090,1,381,,,2691,15555,36829,41,,14,51,935,4800,699,716,4023,2207,763,548,1311,1950,289951,2799200
1998,1999,,Providence,0,,0,1,1,1,2,1,1,205,13,1,89,308,150,18,,1,,,10,92,124,769,158,144,9,5,,,,,,,8,18,,,3,49,138,1,2010000,1,50,13,856,,,9,672,2,158,11,56700,1,3,13,151475,1,7,,15,,,22,2,7780,4,1893,8,3417,46,13131,4,1379,,,8335,28855,64812,40,,47,129,1521,6179,171,477,6792,4982,1814,412,2226,5710,629891,987429
1998,1999,11/15/1941,Pueblo,0,,0,,1,,1,1,1,35,4,,33,72,29,2,,,1,1,,12,10,102,53,33,15,4,1,,1,,,,56,0,,2,,7,39,5,1129797,,,4,,,,4,502,1,40,1,3212,,,,,,,,8,,,8,,,1,60,1,87,3,771,1,433,,,1868,5083,8310,,,1,6,104,1814,174,233,1461,846,272,134,406,1296,107723,600000
1998,1999,12/12/1924,Raleigh,0,,0,,1,,1,0,,60,3,,19,82,18,8,,7,,,,22,6,90,70,38,26,,,,6,,,,14,10,,,,27,77,1,6000,,,,,,,6,801,,,10,56729,,,,,,,,33,,,33,,,1,646,,,17,4982,,,,,2512,12220,20393,5,,2,16,325,3217,266,454,2887,1391,340,409,749,646,141515,3646035
1998,1999,8/4/1902,Rapid City,0,,0,,1,,,0,,28,2,,12,42,27,,,1,,2,2,29,8,77,95,25,8,62,1,,1,,,2,32,4,,,8,34,43,,,,,,,1,6,1,20,2,670,2,4880,,,2,,,,,17,,,17,,,1,241,1,375,1,507,1,174,,,1676,4086,7076,,3,,15,121,969,41,118,846,484,107,97,204,456,35605,211591
1998,1999,3/27/1931,Reno,0,,0,,1,,,0,,17,1,,7,25,11,10,,2,,,,8,3,36,28,17,9,1,1,,,,,,8,0,,,1,3,3,1,124016,3,124016,,,,,2,338,,,7,28690,,,,,,,,2,,,2,,,1,577,,,4,1118,,,,,966,4688,7351,1,,1,4,86,1657,160,141,1200,686,213,77,290,398,64870,527778
1998,1999,,Richmond,0,,0,,1,,,1,,121,14,,29,164,41,38,,,,,3,24,6,210,142,102,9,20,1,,6,4,,,10,3,,,2,15,194,10,536941,,,15,1542,2,255,9,806,1,,8,10006,5,210,,,,,,6,,,6,,,6,1192,3,835,25,7801,1,536,,,5558,19385,35313,2,,,20,625,3534,649,645,3811,1730,490,558,1048,1485,191051,4507819
1998,1999,,Rochester,0,,0,,1,,2,1,,175,5,,97,277,62,12,,3,,1,4,121,39,681,161,143,5,8,2,,2,1,,,19,0,,1,,73,318,3,630000,5,1700,5,1700,1,577,1,100,7,500,35,80000,10,100,,,1,6,2,8,,,14,,,8,3542,,,50,12968,5,748,1,104,3651,31464,52491,18,,14,42,1137,5225,294,706,5176,4124,1330,545,1875,3884,337613,1479727
1998,1999,9/23/1908,Rockford,0,,0,,1,,2,1,2,127,5,,27,159,60,9,,6,,5,13,104,15,323,105,83,8,6,,,,,,,8,48,,1,,34,74,4,515858,1,405,6,963,,,1,60,1,150,10,292478,2,70,,,,,,31,,,31,,,6,3360,2,881,41,12257,,,1,46,4285,24981,45841,22,,,33,868,6074,266,784,5848,3606,946,416,1362,1929,323109,1228630
1998,1999,4/6/1957,Rockville Centre,0,,0,,1,2,1,0,,321,16,1,103,441,76,60,,7,,11,,194,99,1488,134,130,4,,,,,,,,0,0,,,4,143,350,4,655790,,,4,9445,4,9767,104,4669,6,50,38,194000,19,186,126,210000,1,19,22,,,4,23,2,5079,4,3826,8,7316,59,29066,4,1106,3,384,3451,123088,173339,12,,58,199,1812,20952,626,542,20283,17019,5304,1466,6770,13548,1359432,2907955
1998,1999,,Sacramento,0,,0,,1,1,1,1,,111,6,,48,165,71,31,,2,,1,,102,29,191,98,86,9,1,,,,,,,42,2,,,1,31,78,7,400375,2,11886,1,118,2,21,3,1446,,,10,1055028,,,,,,,,36,1,8,44,,,4,1646,3,2426,46,12971,,,,,3092,17959,38138,11,,7,28,1402,7967,739,858,6519,5102,1044,529,1573,2692,454000,2873646
1998,1999,2/26/1938,Saginaw,0,,0,,1,,,0,,79,,1,34,114,14,7,,1,,,,16,,139,110,71,13,11,1,,12,2,,,0,0,,,,35,1211,1,124062,1,10520,1,100,3,104,9,330,1,48,5,1262,,,,,,,,4,,,4,,,3,912,,,30,5164,,,,,3142,10925,20147,1,,,21,296,2091,266,324,2175,4119,511,285,796,1669,139876,685532
1998,1999,,Salina,0,,0,,1,,1,0,,50,3,1,16,70,15,,,,,,,,1,221,92,39,7,41,,,4,1,,,0,0,,,,16,17,,,,,3,231,,,,,,,,,,,,,,,,6,,,6,,,4,383,1,308,12,1951,,,,,2174,6058,10880,7,,,10,206,924,107,201,862,827,231,222,453,638,51779,321132
1998,1999,,Salt Lake City,0,,0,,1,,1,1,,41,4,1,8,54,32,10,,,,,16,40,12,60,43,29,8,5,,,,1,,,20,0,,,1,13,22,,,,,1,750,,,8,921,,,2,210625,,,,,,,,7,,,7,,,2,1142,,,10,3046,,,,,1258,7083,12536,2,,,2,261,2619,482,581,1855,1326,372,196,568,586,98800,2591045
1998,1999,10/16/1961,San Angelo,0,,0,,1,,,0,,24,7,,17,48,18,3,,,,,,36,,36,49,23,10,9,1,,2,1,3,,24,0,,,,25,17,,,,,,,,,,,,,,,,,,,,,,7,,,7,,,,,,,3,850,,,,,4232,9743,14832,,,,4,55,2192,163,172,2129,1703,395,107,502,633,82008,715375
1998,1999,,San Antonio (Archdiocese),0,,1,,0,2,1,0,,108,13,,30,151,222,55,,2,,,27,254,91,939,144,91,50,3,,,,,,,40,2,,,6,37,138,5,86772,2,12410,8,509,3,108,13,2025,6,2093,8,417220,,,1,80,1,9,30,5,12,50,64,4,11702,2,757,8,3007,37,11769,4,1720,,,12250,36447,77716,45,1,36,149,1699,14044,649,618,10688,6515,2273,525,2798,5199,673026,1890760
1998,1999,11/6/1978,San Bernardino,0,,0,,1,,,0,,83,5,,54,142,94,5,,,,,,79,21,155,97,61,39,2,,,3,,,,13,0,,,,,153,2,386550,,,,,,,2,,1,75,61,33170,1,6208,,,1,8,,8,,,16,,,2,932,,,34,8429,1,129,,,13278,39930,62714,2,,,30,417,11806,1601,1050,11319,4288,1585,389,1974,3099,821443,3042385
1998,1999,7/11/1936,San Diego,0,,0,,1,1,,1,1,122,8,2,76,208,95,102,,1,,1,11,82,22,354,98,85,13,,,,,,,,18,2,,,1,54,180,1,315000,1,15000,5,737,2,434,1,354,7,9422,15,300590,1,52,3,312,1,5,12,7,,,12,1,6753,3,1923,2,1317,43,13333,1,354,1,200,9054,27817,60763,19,,1,68,1167,11154,1165,625,9087,4189,1721,605,2326,2800,776093,2866727
1998,1999,,San Francisco (Archdiocese),0,,1,1,0,1,1,0,,152,11,1,63,227,206,50,,2,8,4,,52,47,825,93,77,16,,,,,,,,6,4,,,3,66,105,3,515000,,,9,7051,2,334,2,120,6,215,35,73000,4,88,11,875375,1,6,70,6,,2,12,3,11036,4,3646,9,4331,59,19140,6,1787,,,4967,13603,58522,47,4,14,145,2190,7078,464,262,4648,2588,1283,446,1729,2861,422000,1700000
1998,1999,1/27/1981,San Jose,0,,0,,1,1,,0,,80,2,,28,110,203,34,,4,,,,10,69,431,48,38,10,,,,,,,,4,1,,,4,31,108,3,288147,,,1,86,,,1,250,,,40,95604,1,4,2,185,,,,10,,,10,1,7947,2,1765,4,4076,28,10231,1,166,,,3500,16726,44421,70,5,5,44,1158,8023,521,411,5469,2581,1487,420,1907,1824,400226,1609037
1998,1999,,Santa Fe (Archdiocese),0,,1,1,0,,,2,,70,2,,34,106,89,9,,4,,,,136,91,273,91,62,25,,1,,2,1,,,216,4,,,2,43,251,4,18095,1,5000,3,161,,,1,657,3,1026,5,378291,1,16,,,,,,23,,,23,1,1600,1,1014,1,697,15,4043,,,,,4993,18233,30603,3,,5,22,336,6006,294,550,5302,2906,1178,210,1388,2394,257258,1044376
1998,1999,2/21/1962,Santa Rosa,0,,0,,1,,1,0,,60,6,,19,85,20,23,,1,,2,,18,39,91,43,40,3,,,,,,,,20,13,,,,5,33,4,401249,,,1,54,1,107,2,80,,,13,13200,2,12,,,,,,11,,,11,,,3,1059,3,1005,13,2964,1,41,,,1468,6298,12846,3,,,13,316,3134,198,140,2020,636,491,269,760,1193,141792,745138
1998,1999,,Savannah,0,,0,,1,,1,0,,43,10,,12,65,28,17,,,,,,37,14,130,53,36,16,,1,,,,,,27,0,,,14,108,,3,325000,8,225000,,,1,42,,,1,22,20,356067,,,,,,,,10,,,10,,,2,554,3,1190,15,4774,,,,,450,5898,12876,6,,1,29,387,1607,265,429,1534,1333,249,289,538,569,74800,2465277
1998,1999,,Scranton,0,,0,,1,1,,0,,255,16,,87,358,115,8,,5,2,3,,32,4,819,200,190,7,1,,,,,,,85,25,,,,65,20,7,796965,3,98187,7,768,5,1120,9,343,9,1594,13,172436,1,148,,,1,11,5,15,1,55,81,4,11540,9,3484,2,751,50,12464,,,1,15,13870,31904,74109,7,,,118,900,4360,425,339,5808,8105,1539,600,2139,5334,362546,1054814
1998,1999,,Seattle (Archdiocese),0,,1,1,0,,,2,,134,6,,59,199,135,20,,3,,,,86,33,650,138,81,13,19,,,2,2,,,30,,,,,,,9,1488203,12,307670,,,,,6,650,3,416,19,104000,1,19,,,,,,29,,,29,2,7500,3,2245,6,3240,53,15545,2,662,,,5038,25326,59585,8,,10,36,1299,6773,1323,741,6222,4620,1053,1003,2056,2807,508900,4425100
