Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2002,2003,,Albany,,,,,1,,,,,177,14,,76,267,105,9,1,2,1,6,101,94,910,181,146,16,1,,,14,4,,,29,13,,1,2,100,1327,4,761738,15,56259,10,1334,4,918,7,623,12,1479,25,255000,11,350,9,755,,,,10,,,10,4,5000,4,1583,3,1478,36,7801,2,410,,,9601,34357,57230,,,11,47,883,4650,150,259,5600,4100,1300,500,1800,5100,400000,1342461
2002,2003,,Alexandria,,,,,1,,,,,34,4,,18,56,13,11,,,3,,5,4,48,48,32,11,4,,,1,,,,24,1,,,1,9,11,2,113360,,,2,164,,,,,,,17,94956,2,172,,,,,,14,,,14,,,3,592,,,8,2386,,,,,1352,2459,6803,2,,2,12,211,716,68,117,665,603,135,92,227,588,48050,389970
2002,2003,1/28/1961,Allentown,,,,,1,,1,,,181,7,2,40,230,,,,,,,98,,470,153,113,5,35,,,,,,,7,,,,,,,3,603662,1,30785,11,757,,,5,1732,2,3459,14,81741,16,172,,,,,,22,,,22,2,3894,9,4184,,,52,13884,,,3,143,,17322,39449,10,,,60,1077,3635,189,,3731,3243,660,390,1050,3395,270843,1161932
2002,2003,5/27/1901,Altoona-Johnstown,,,,,1,,1,,,103,5,,42,150,56,,2,,1,1,30,8,107,99,79,12,8,,,,,,,5,,,1,,,,1,140544,1,204,3,316,,,,,,,2,18900,,,,,,,,9,,,9,2,4449,3,1255,,,24,4169,,,,,4282,8378,22542,6,,,19,510,1419,108,160,1535,1837,406,250,656,1679,110122,645268
2002,2003,8/25/1926,Amarillo,,,,,1,,1,,,24,5,,28,57,9,1,1,,,,51,1,130,35,21,8,5,1,,,,,,13,,,,1,2,9,1,22300,1,750,1,56,,,2,129,,,1,35000,,,1,4,,,,6,,,6,,,1,123,,,6,760,,,,,1725,4154,6768,2,,,10,75,1250,96,109,1362,1250,248,63,311,195,49128,406672
2002,2003,2/9/1966,Anchorage,,,1,1,,,,,,9,,1,6,16,10,11,,,,,18,3,43,20,11,4,,,,2,1,1,1,9,,,,1,11,29,3,444352,2,224,1,60,,,,,6,2908,5,22077,,,,,,,,5,,,5,,,1,63,1,41,2,316,1,91,,,947,3164,4627,,,,1,55,444,61,84,563,347,81,62,142,97,32170,401610
2002,2003,8/13/1974,Arlington,,,,,1,,,1,3,129,6,2,20,157,78,20,4,1,3,,42,20,148,66,55,11,,,,,,,,5,,1,2,,36,127,,,,,,,,,,,,,8,43604,,,,,,,,23,,,23,4,5286,3,3467,3,782,34,13384,1,186,1,155,3592,31298,58173,8,,1,47,800,7477,863,518,7586,5718,1004,689,1693,1533,382574,2403540
2002,2003,7/2/1956,Atlanta,,,1,,,,,1,,136,9,,21,166,65,17,8,,4,13,150,2,113,75,64,11,,,,,,,,20,1,,,2,20,246,2,266276,1,22000,6,323,,,,,1,145,33,40000,,,,,,,,48,9,,48,,,3,1910,1,1033,18,8000,3,1029,,,7533,30119,49672,5,,,13,577,10684,739,1450,6986,3537,928,661,1589,1129,367472,5752854
2002,2003,1/1/1948,Austin,,,,,1,,1,,,112,6,,18,136,48,10,1,,,,173,46,99,101,84,17,26,,,,,,,26,1,1,,2,26,140,4,713482,4,91780,2,432,1,4000,4,185,1,380,1,300,1,3800,,,,,,31,,,31,1,4267,3,338,2,504,14,3214,2,716,,,7432,27197,43699,4,,2,11,453,8147,638,1027,6478,4087,1062,480,1542,1734,401541,2178507
2002,2003,5/19/1903,Baker,,,,,1,,1,,,23,1,1,13,38,5,7,2,,,,13,1,25,36,24,3,6,2,,1,,,,27,,,,,7,11,5,332735,,,4,200,,,5,260,,,6,36445,,,,,,,,4,,,4,,,,,,,3,655,,,,,1363,2208,4230,,,,3,43,876,154,76,1090,790,142,92,234,275,38390,439500
2002,2003,,Baltimore,1,,,1,,3,,,,192,,,69,261,234,59,2,1,6,,171,74,1131,154,105,21,20,2,,5,1,,,8,4,,,3,54,246,5,1170986,4,433888,22,3284,17,20643,6,1201,10,4271,35,753867,3,2503,1,14420,2,28,211,9,,,37,4,11537,7,3678,13,7156,65,23922,7,2067,1,127,4339,31754,84614,7,,11,69,2246,7115,574,958,6557,5109,1994,763,2757,4897,500178,2972083
2002,2003,7/20/1961,Baton Rouge,,,,,1,,,,,61,1,,14,76,37,3,,,1,14,40,12,101,70,52,9,8,,,,1,,,,,,,,20,90,3,258193,,,7,635,,,,,5,259,8,127003,,,,,,,,13,,,13,1,1421,6,2819,2,1667,24,12321,,,,,4647,9913,32801,,,3,14,1094,2598,269,373,2744,2639,628,266,894,1651,221424,856734
2002,2003,9/29/1966,Beaumont,,,,,1,,,,,34,3,,10,47,23,6,2,,2,,30,1,48,44,24,20,,,,,,,,9,2,,,,1,33,3,412840,1,80000,,,,,,,,,3,55268,,,,,,,,11,,,11,,,1,487,,,6,1407,,,,,1763,7585,11242,,,,6,149,1333,106,234,1344,818,191,169,360,792,94780,596992
2002,2003,,Belleville,,,,,1,,1,,,79,5,,50,134,39,2,,,1,,30,13,233,124,76,1,35,2,,4,6,,,1,,,,,24,38,7,577188,,,3,281,,,5,332,1,150,3,36692,,,,,,,,10,,,10,,,3,1672,,,36,6541,,,,,1273,6927,16423,,,,11,399,1374,334,314,1784,1876,359,308,667,1450,107041,854906
2002,2003,3/1/1977,Biloxi,,,,,1,,2,,,40,1,1,12,54,28,13,,,,7,27,18,47,45,35,7,3,,,,,,,15,,,,,7,11,,,,,7,656,,,,,,,10,117582,,,1,5080,,,,8,,,8,,,4,1205,1,656,14,3251,,,,,2464,3526,11019,,,1,8,541,923,506,265,1208,737,153,169,322,746,73286,778256
2002,2003,6/28/1969,Birmingham,,,,,1,,,1,1,53,4,1,16,74,33,,2,,2,,45,26,124,57,37,14,3,,,2,1,,,18,,1,,,20,43,1,158659,1,26054,,,,,,,,,9,60293,,,,,,,,12,,,12,,,5,1465,1,115,18,4866,1,238,1,127,1779,6509,15111,10,,1,4,472,1746,207,492,1481,1149,173,230,403,562,88515,2819062
2002,2003,12/31/1909,Bismarck,,,,,1,,,1,2,44,5,,21,70,27,6,2,1,,3,66,26,138,62,42,8,10,2,,,,,,38,,,,1,3,29,4,210504,,,4,420,,,,,1,190,,,,,1,8,,,,10,,,10,1,2546,3,1097,,,12,1350,,,,,3236,4729,12968,4,,1,11,153,882,84,87,995,1261,238,186,424,654,61378,254426
2002,2003,,Boise,,,,,1,,,,,44,6,,31,81,12,7,,,1,,50,7,93,55,45,2,6,,,2,,,,25,34,1,2,,9,60,5,728582,,,,,,,4,150,,,15,215000,,,,,,,,14,,,14,,,1,695,,,13,2503,,,,,3260,7740,14212,,,,1,187,2503,390,232,2314,1020,320,214,534,794,133950,1302100
2002,2003,,Boston,,1,,,,6,,1,,505,39,11,332,887,715,30,5,,,,246,147,2763,360,317,43,,,,,,,,,2,,2,,,,8,1285163,3,6448,16,2963,,,11,1675,22,1656,43,203792,8,199,3,29647,3,45,11,2,2,89,136,7,21700,14,6146,20,11687,117,39940,10,2490,3,314,31603,131844,245860,9,,27,187,3226,24097,3031,403,22802,15328,5315,1323,6638,19133,2083899,3951377
2002,2003,8/6/1953,Bridgeport,,,,,1,,,,,180,17,3,68,268,44,14,3,,8,11,93,,439,87,84,3,,,,,,,,2,1,,,,91,249,,,,,3,650,,,1,91,1,48,17,9205,,,,,1,12,,19,,,31,3,11517,5,2582,3,1210,33,9171,2,503,1,11,1085,11524,37634,10,,,41,845,5789,98,106,6116,4766,957,398,1355,3740,343992,885368
2002,2003,,Brooklyn,,,,,1,3,,,,379,37,,132,548,191,95,3,,3,29,165,187,1153,217,191,23,,2,,,1,,,,6,,,15,108,267,4,61644,7,399862,6,1400,6,8610,23,2867,35,13450,95,112560,75,3390,29,3384,1,30,3,3,1,,33,3,22899,4,2048,16,15528,152,51067,2,333,1,110,2100,48150,142268,9,,55,192,3287,17670,670,662,12955,10170,3135,388,3523,10112,1824642,4689802
2002,2003,7/10/1965,Brownsville,,,,,1,,1,,,48,1,,9,58,41,8,2,,2,,67,17,118,65,40,21,6,,,,,,,44,1,1,,4,27,91,,,1,118,2,209,,,2,165,,,5,30233,,,2,6967,1,8,4,16,,,24,,,,,2,807,7,2266,3,779,,,7229,20885,31990,2,,6,10,228,4290,4622,597,7757,3044,826,89,915,2506,831614,978369
2002,2003,,Buffalo,,,,,1,1,2,,,260,7,,133,400,163,9,2,,2,4,103,47,1272,265,206,19,37,1,,1,1,,,10,2,,4,,75,155,6,1454721,1,1100,16,1883,,,3,213,3,975,5,186206,7,46,4,12874,1,25,5,4,1,1,30,7,15838,,,17,6107,86,19311,5,1016,1,470,11372,34585,88729,58,,9,116,2981,6435,588,501,7510,6071,1652,615,2267,7195,709258,1581686
2002,2003,,Burlington,,,,,1,,,,,73,2,,52,127,47,7,3,,,,39,18,182,83,58,25,2,,,,,,,48,1,,,1,,,,,,,4,177,,,,,,,1,5709,,,,,,,,10,,,10,3,3112,2,659,,,12,2027,3,683,,,2693,9060,18244,,,,15,254,1514,113,158,1710,1310,402,217,619,1550,149048,608827
2002,2003,12/9/1937,Camden,,,,,1,,,,,206,29,2,76,313,47,32,6,,4,,114,17,315,126,120,6,,,,,,,,10,34,,,17,315,18,1,262966,2,12653,5,1182,1,4,2,207,1,932,1,8130,1,773,1,5900,,,,29,,,29,,,10,6195,3,1403,56,14694,1,42,2,924,522,34041,57850,9,,10,75,1252,6533,1001,511,6651,5356,1203,326,1529,4518,445017,1329206
2002,2003,,Charleston,,,,,1,,1,,,48,4,1,34,87,44,27,,,,,203,31,140,93,,,,,,,,,,25,10,,,,,,3,320497,,,1,17,,,,,,,7,85808,,,,,,,,21,,,21,,,2,1277,2,278,25,6341,,,,,2482,8564,18963,4,,1,10,621,2491,321,637,2510,1934,307,365,672,1085,148116,4027012
2002,2003,1/12/1972,Charlotte,,,,,,,1,1,1,67,5,,33,105,58,10,4,,4,,76,7,108,68,50,18,,,,,,,,23,4,,,3,15,82,,,13,255600,1,170,,,13,998,2,103,,,1,170,1,320,,,,23,,,23,2,883,2,1438,,,15,5680,,,,,3455,15748,27227,7,,,8,566,4494,319,692,3274,2333,461,361,822,788,135398,4168955
2002,2003,,Cheyenne,,,,,1,,1,,,31,1,,14,46,10,5,,,,,15,1,25,36,28,6,1,,,,,,,42,,,,1,9,33,,,,,2,115,,,7,212,38,147,10,12324,,,,,,,,17,,,17,,,,,1,17,7,965,,,,,1576,8285,10860,,,,3,106,860,162,133,821,762,145,152,297,610,49000,494423
2002,2003,,Chicago,1,,,,,7,1,,,557,22,2,273,854,886,95,11,7,16,30,624,630,2806,374,295,54,23,,,2,,,,11,7,,4,12,161,595,21,3029113,2,12500,45,5500,3,4000,26,3500,4,450,120,265000,6,1350,10,185000,3,352,136,5,1,164,521,5,43995,6,1723,35,28179,244,86274,3,602,6,500,9200,106000,276994,65,5,51,225,5619,39785,2328,1739,31068,22873,7442,1687,9129,17281,2446000,6047000
2002,2003,,Cincinnati,,,1,,,1,,,,209,7,2,83,301,242,5,4,,6,,142,57,1150,237,168,26,38,1,,3,1,,,,4,,,4,52,336,9,995000,2,400,13,2451,1,26,,,,,6,1502,1,29,6,1220,1,38,4,10,,,48,4,10248,17,12721,4,3046,109,38928,4,1724,1,96,6525,33057,106393,17,,15,87,3131,7660,961,983,8820,8338,1671,1022,2693,4600,514928,2932047
2002,2003,,Cleveland,,,,,1,3,1,1,,320,8,3,111,442,133,29,3,,10,8,182,53,1384,234,206,14,4,5,1,4,,,,1,2,1,2,3,100,234,3,491417,,,25,4166,1,202,8,1125,7,1365,22,507045,2,328,3,60412,2,46,1,1,,4,51,3,6916,7,3743,16,10419,131,46079,9,2438,2,157,6672,43892,120187,29,,15,200,3738,9885,1066,947,11981,10502,2643,1354,3997,9021,814791,2852331
2002,2003,1/30/1984,Colorado Springs,,,,,1,,1,,,24,2,,10,36,27,5,2,,,,28,2,125,33,22,5,1,1,,,2,,2,9,,,,,2,71,2,259642,2,109,2,103,,,,,,,,,,,,,,,,3,,,3,,,,,1,386,5,1558,,,,,3711,6900,12558,,,,1,87,1640,167,199,1727,889,195,133,328,433,125000,785000
2002,2003,,Columbus,,,,,1,,,,,117,11,,55,183,38,15,,,1,76,70,2,356,107,94,6,6,,,1,,,,4,,,,1,33,86,4,996333,,,20,1498,,,1,198,,,7,356119,1,96,,,1,16,106,4,,,20,1,2317,11,5026,,,44,13688,2,338,,,1287,13805,36481,1,,1,15,1055,3938,505,971,4176,3478,563,554,1117,1635,236402,2383015
2002,2003,3/23/1912,Corpus Christi,,,,,1,,1,,,80,6,,29,115,41,18,1,2,4,2,62,5,199,65,53,2,,,,,,,,32,3,,,1,17,41,6,641561,,,2,98,,,3,263,1,100,3,26055,,,,,,,,13,,,13,1,44,,,1,254,14,2049,2,476,,,2982,10479,16297,2,,,44,195,3408,257,426,2697,732,793,126,919,1869,328447,547411
2002,2003,,Covington,,,,,1,,1,,,49,,,46,95,2,1,,,1,,24,9,379,47,41,,2,,,4,,,,6,,,,,15,31,3,496981,,,3,712,2,135,1,93,,,3,76904,,,1,7093,,,,6,,,6,1,1555,7,2565,2,721,27,8421,2,514,,,272,2956,17010,1,,1,55,673,1368,444,139,1664,1521,317,186,503,876,88612,464629
2002,2003,12/31/1909,Crookston,,,,,1,,,,,31,3,,17,51,2,2,1,,2,,10,1,133,69,25,2,38,3,,4,,,,,,,1,,13,39,3,66352,,,3,370,,,1,49,,,,,,,,,,,,3,,,3,,,1,169,,,9,1414,,,,,2773,3518,7877,,,,8,126,651,24,92,611,688,140,143,283,467,41080,246667
