Year,Year_OCD,Year established,ST,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2006,2007,,IL,Peoria,,,,,1,,,2,1,149,11,1,68,229,31,260,8,1,0,3,,96,9,208,163,130,21,12,,,,,,,26,,,1,,18,54,8,3622407,,,5,532,1,1338,3,420,1,26,1,30570,,,,,0,0,0,33,0,0,33,,,7,2658,0,0,43,9901,,,,,2296,10591,26260,10,,2,12,898,2616,321,500,2796,3749,568,407,975,2283,168173,1447418
2006,2007,,PA,Philadelphia,1,1,,,,4,2,1,1,459,26,,139,624,365,989,32,3,11,,,218,111,3054,270,246,24,,,,,,,,7,21,1,5,3,125,270,7,817985,1,125,41,6514,3,694,2,136,5,1734,18,95531,7,612,9,10884,1,43,99,,1,5,48,11,35500,20,20749,15,7694,192,62908,15,4660,5,246,1234,54432,187471,113,,43,505,8899,15667,1064,497,13623,14053,3496,1970,5466,12179,1458642,3890181
2006,2007,5/28/1913,,Philadelphia-Ukrainian,,,1,1,,1,2,,,41,,,7,48,4,52,9,,,,,5,,61,69,43,4,26,,,,,,,,,,2,,33,10,,,,,1,240,0,0,1,60,,,,,,,,,1,4,12,,0,0,4,1,805,,,1,403,5,652,,,,,79,359,2302,,,,22,173,162,5,34,214,179,47,18,65,418,22428,
2006,2007,12/2/1969,AZ,Phoenix,,,,,1,,1,,,82,3,,38,123,101,224,66,2,,2,,285,15,218,91,58,18,,3,,1,1,,1,25,,,,18,176,420,1,380000,1,99800,11,680,0,0,25,1230,8,821,13,1991000,1,21,,,0,0,0,26,0,0,26,,,5,3722,1,1239,28,9263,,,,,6280,35010,55540,6,0,4,39,868,9852,1039,910,7333,5010,1340,371,1711,3420,565000,4208723
2006,2007,,PA,Pittsburgh,,,,,,1,2,,,282,16,1,107,406,108,514,37,1,,2,,43,35,1283,214,185,10,19,,,,,,,,,,,4,56,210,1,204093,,,10,1787,0,0,11,1447,5,7344,6,81961,1,208,1,292,1,12,0,13,0,0,25,3,13649,8,3195,4,707,98,20203,4,861,2,165,6289,43685,88779,2,,9,63,1811,6361,307,699,7196,7515,1769,712,2481,8860,764438,1944764
2006,2007,2/25/1924,,Pittsburgh - Byzantine,,,1,,,,,1,,44,,,17,61,8,69,10,,,,,12,3,89,79,44,3,32,,,,,,,2,4,,,1,10,,,,,,2,306,0,0,,,,,,,,,,,1,2,4,,0,0,2,,,,,,,1,169,,,,,351,1164,1686,,,,2,13,175,29,33,265,228,61,20,81,479,59484,
2006,2007,,OR,Portland in Oregon,,,1,,,1,,2,2,99,5,,49,153,167,320,22,2,1,3,,37,90,475,124,79,34,7,1,,,3,,,24,1,,,2,15,150,9,1846565,12,20615,9,2170,0,0,4,859,6,1121,16,925385,3,43,,,1,27,99,8,0,45,80,2,5387,3,1567,7,3862,40,8672,2,442,,,3597,11765,35372,37,,5,37,1202,5717,465,571,4806,2671,763,383,1146,1918,400440,3141515
2006,2007,,ME,"Portland, ME",,,,,1,,,,,78,3,,79,160,36,196,10,,,5,,34,18,316,130,62,6,61,,,1,,,,45,,2,3,1,5,40,3,421020,,,4,1821,0,0,1,115,,,5,43623,,,6,645,0,0,0,13,0,0,13,1,4190,1,301,2,767,15,3325,1,181,,,1378,8821,18976,1,1,,10,335,1938,147,236,2447,2700,566,513,879,2576,198296,1321505
2006,2007,,RI,Providence,,,,1,1,,4,,1,175,8,,104,287,124,411,16,3,,4,,106,100,513,150,134,9,7,,,,,,,5,22,,,1,20,82,1,250000,1,480,9,46558,0,0,2,120,2,178,7,51840,1,3,6,90000,1,22,10,,0,0,22,2,7558,4,2275,8,4051,40,9707,4,1324,,,7955,24971,57863,60,,28,73,1744,3817,130,93,4691,4297,1057,228,1285,4882,645713,1079189
2006,2007,11/15/1941,CO,Pueblo,,,,,1,,1,,,35,2,1,34,72,17,89,,1,,1,,34,3,70,52,31,9,9,1,,,2,,,54,,,,3,11,54,5,920000,2,5000,1,840,0,0,,,,,1,5600,,,,,0,,0,8,2,,10,,,,,,,3,847,1,168,,,2632,5715,9372,,,0,4,105,2310,205,420,1800,762,260,115,375,2107,115000,620000
