Year,Year_OCD,Year established,ST,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2003,2004,,NY,Albany,,,,,1,,,,,156,10,,72,238,108,346,10,1,2,1,6,101,88,886,177,141,15,1,,,14,6,0,0,29,,,4,,14,6,4,7305000,15,58000,10,1400,4,938,7,635,12,1509,25,260000,11,357,9,906,0,0,0,9,0,0,9,4,5000,4,1494,3,1474,34,7384,2,412,,,9529,30337,55639,1,,10,37,716,4258,762,,5100,3900,1000,454,1454,4800,400000,1340448
2003,2004,,LA,Alexandria,,,,,0,,,,,38,4,,18,60,14,74,12,4,,,,5,4,39,48,34,11,2,,,1,,,,24,1,,,,4,12,2,121249,,,2,164,0,0,,,,,18,89861,2,172,,,0,0,0,11,0,0,11,,,3,652,,,8,2330,,,,,1274,2484,6751,,,4,14,201,671,59,148,684,593,121,80,201,656,48050,392639
2003,2004,1/28/1961,PA,Allentown,,,,,1,,1,,,163,12,2,53,230,74,304,1,2,,6,,97,,409,153,112,4,34,,,,,,,7,,,,,,,3,565109,1,44496,10,598,0,0,40,1683,2,4182,16,79730,16,114,,,0,0,0,22,0,0,22,2,5249,9,3987,,,52,12248,,,3,123,,17397,39026,10,,,58,1040,3622,278,,3649,3683,764,472,1236,3202,273599,1161932
2003,2004,5/27/1901,PA,Altoona-Johnstown,,,,,1,,1,,,94,9,,44,147,53,200,0,1,,,2,32,10,90,99,75,13,9,2,,,,,,5,,,,,,,1,138245,1,225,3,317,0,0,,,,,2,32192,,,,,0,0,0,13,0,0,13,2,4012,3,1214,,,24,3965,,,,,3714,8100,21018,8,,,25,467,1444,111,138,1454,1714,370,226,596,1680,108202,645268
2003,2004,8/25/1926,TX,Amarillo,,,,,1,,1,,,25,5,,15,45,10,55,2,,,1,,51,1,106,35,19,6,9,1,,,,,,13,,,,1,3,14,,,,,1,56,0,0,1,127,,,1,35000,,,1,4,0,0,0,5,0,0,5,,,1,118,,,6,675,,,,,1666,4102,6566,,,,12,126,1237,122,249,1351,1304,179,44,223,331,43651,432190
2003,2004,2/9/1966,AK,Anchorage,,,1,1,,,,,,10,,1,7,18,9,27,12,,,,,19,3,41,20,10,5,,,,2,3,,,9,,,,1,10,22,3,427049,2,314,1,82,0,0,,,6,3105,5,26000,,,,,0,0,0,2,0,0,2,,,1,74,1,48,2,280,1,69,,,974,2476,3926,,,,2,53,547,66,74,499,356,68,50,118,102,29693,345975
2003,2004,8/13/1974,VA,Arlington,,,,,1,,,1,3,128,7,2,20,157,72,229,20,3,,,,46,19,150,66,55,11,,,,,,,,6,,,,,13,98,,,,,,,0,0,,,,,7,30183,,,,,0,0,0,23,0,0,23,4,5552,3,3367,3,799,35,13555,1,186,1,155,3227,31074,57938,10,,1,45,1089,7165,795,1016,7538,5906,1017,615,1632,1557,391001,2423982
2003,2004,7/2/1956,GA,Atlanta,,,1,,,,,,,134,12,,21,167,69,236,18,3,,4,14,161,,102,79,68,11,,,,,,,,16,1,,,1,22,183,2,295030,1,150,4,124,0,0,,,1,23,47,9800,,,,,0,0,0,48,9,0,48,,,3,2088,1,894,15,6001,4,1345,,,5259,31516,47151,6,,,6,929,9391,719,1425,6507,2329,874,549,1423,1033,371139,5904600
2003,2004,1/1/1948,TX,Austin,,,,,1,,1,,,127,6,,18,151,48,199,12,2,,,18,191,46,97,101,84,17,,,,,,,,25,,,,3,21,103,4,713482,4,91780,2,860,0,0,4,185,1,380,1,300,1,3800,,,0,0,0,31,0,2,33,1,4443,3,493,2,520,14,3190,2,763,,,7432,27000,43874,4,,,9,566,8400,700,1100,6500,4100,825,400,1225,1556,401842,2300863
2003,2004,5/19/1903,OR,Baker,,,,,1,,1,,,21,1,1,15,38,4,42,11,,,,,13,1,20,36,26,2,7,,,1,,,,27,,,,,6,15,5,347162,,,4,200,0,0,5,260,,,5,36500,,,,,0,0,0,4,0,0,4,,,,,,,3,654,,,,,1259,2203,4120,,,,,45,927,210,99,956,1102,134,81,215,306,36420,439500
