,1991,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fresno,2025,2327,,2307,2613,2360,2449,2275,2130,2356,2547,2340,2037,2107,1951,2195,1999,1987,1921,1942
Gallup,152,164,,246,204,237,228,195,182,190,165,123,164,121,155,84,122,143,74,107
Galveston-Houston,3364,3741,,3708,3782,3977,3764,3690,3624,3502,3752,3532,3508,3435,3472,3187,3260,3292,3344,3317
Gary,996,917,,742,811,814,811,716,669,687,513,558,547,554,486,501,483,403,371,368
Gaylord,650,,,528,545,531,484,448,404,336,347,321,309,314,271,270,242,240,229,251
Grand Island,388,,,374,373,408,412,315,303,337,297,309,307,320,292,257,275,269,251,240
Grand Rapids,1283,953,,1080,1005,982,955,919,940,873,837,862,872,771,1939,759,656,700,702,597
Great Falls-Billings,409,393,,334,325,313,305,266,256,362,220,227,212,175,156,172,144,132,123,73
Green Bay,2429,2110,,1866,1863,1809,1832,1708,1583,1554,1520,1436,1387,1282,1216,1128,1080,1126,935,913
Greensburg,1380,1015,,1051,1070,1005,945,856,810,792,823,703,725,744,680,537,556,581,461,487
Harrisburg,1511,1182,,1071,988,1123,1148,1156,1059,1011,1020,944,1020,913,756,685,718,674,647,613
Hartford,4360,3867,,3326,3094,2856,2650,2526,2214,2123,2056,1824,1756,1679,1427,1337,1341,1317,1266,1124
Helena,514,413,,330,325,276,360,233,278,305,291,244,238,220,194,161,133,162,19,179
Holy Protection of Mary - Byzantine,,,,,,,,,,,,,,,,20,19,16,17,17
Honolulu,1057,944,,873,759,754,914,848,864,770,771,685,650,585,535,545,454,525,526,449
Houma-Thibodaux,697,547,,496,500,474,447,399,421,386,384,336,375,333,323,290,285,273,326,253
Indianapolis,1700,1538,,1360,1310,1378,1353,1266,1245,1096,1107,1129,1120,1119,1010,1000,1055,1040,1002,975
Jackson,397,324,,310,303,290,288,288,271,251,300,255,244,240,257,95,203,212,209,196
Jefferson City,714,688,,733,608,619,606,663,571,572,533,405,481,486,507,421,438,399,386,412
Joliet,2961,,,2480,,,,,,,,,,,,,,,,
Joliet IL,,2879,,,2308,2261,2342,2074,2003,2046,1935,1834,1843,1714,1592,1525,1488,1410,1279,1310
Juneau,33,46,,26,40,24,28,26,20,23,22,15,23,7,13,12,20,19,16,17
Kalamazoo,707,619,,536,589,558,553,462,415,460,407,404,352,374,340,312,304,306,265,256
Kansas City KS,1311,1395,,1223,1185,1197,1132,1112,1097,1116,1029,1054,1050,1025,1012,976,920,945,847,891
Kansas City-St. Joseph,1103,1043,,1025,937,980,971,791,827,831,810,761,772,806,781,788,698,650,71,639
Knoxville,266,281,,273,235,266,283,228,208,244,241,214,276,211,259,284,278,238,252,248
La Crosse,1784,1484,,1309,1291,1305,1307,1307,1307,1049,1002,977,948,2061,818,754,655,690,644,622
Lafayette IN,581,587,,600,599,588,632,589,538,569,568,552,471,427,442,427,415,362,413,406
Lafayette LA,1971,1866,,1619,1693,1900,1548,1412,1348,1312,1248,1270,1226,1122,1072,1067,1022,980,982,899
