Year,Year_OCD,Year established,ST,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2004,2005,,NY,Albany,,,,,1,,,,,156,8,,75,98,101,199,12,3,2,1,,99,80,860,176,140,15,4,,,11,6,0,0,29,,,1,,11,6,4,746600,15,59160,10,1400,4,950,5,450,12,1540,25,265000,11,350,9,946,0,0,0,10,0,0,10,4,10594,4,1446,3,1488,30,6609,2,399,,,9401,29808,59755,0,,5,34,663,4300,280,170,4800,3650,950,550,1500,4500,400000,1300000
2004,2005,,LA,Alexandria,,,,,1,,,,,33,5,,20,58,12,70,11,4,,1,,5,4,35,48,32,10,5,,,1,,,,24,1,,,,4,16,2,141229,,,1,114,0,0,,,,,19,117689,2,172,,,0,0,0,10,0,0,10,,,3,554,,,8,2111,,,,,1193,2440,6308,,,4,10,185,722,80,86,658,592,137,90,227,669,48050,389449
2004,2005,1/28/1961,PA,Allentown,,,,,1,,1,,,167,12,2,51,230,79,309,1,5,,2,,98,,408,152,108,3,33,,,,,,,7,,,,,,,3,602948,1,37755,11,710,0,0,30,977,2,3900,15,42566,19,105,,,0,0,0,20,0,0,20,2,4640,9,3949,,,52,11640,,,3,117,,14541,34907,9,,,56,967,3499,139,,3893,3831,717,505,1222,3350,273249,1161932
2004,2005,5/27/1901,PA,Altoona-Johnstown,,,,,1,,1,,,96,7,,41,144,60,204,1,0,,,2,33,10,88,98,74,13,9,2,,,,,,5,,,1,,,,1,128339,1,288,3,327,0,0,,,,,2,33839,,,,,0,0,0,12,0,0,12,2,4012,3,1161,,,24,3766,,,,,3506,7573,20030,7,,1,20,495,1336,83,99,1454,1660,359,235,594,1617,105042,645268
2004,2005,8/25/1926,TX,Amarillo,,,,,1,,1,,,25,5,,16,46,12,58,3,1,,1,,50,1,99,35,19,6,9,1,,,,,,13,,,,1,3,14,,,,,1,56,0,0,1,60,2,20200,1,15000,,,0,0,0,0,0,3,0,0,3,,,1,135,,,6,688,,,,,1649,4708,7183,2,,,13,89,1459,134,316,1224,1117,176,48,224,273,43248,404328
2004,2005,2/9/1966,AK,Anchorage,,,1,1,,,,,,8,2,1,6,17,10,27,11,,,1,,18,2,38,19,14,2,1,1,,3,3,,,9,,,,2,20,22,4,427079,2,314,1,82,0,0,,,0,0,5,26000,,,,,0,0,0,2,0,0,2,,,1,70,0,0,1,344,1,125,,,250,2000,2791,,,,2,43,438,80,68,515,283,66,40,106,98,32170,401610
2004,2005,8/13/1974,VA,Arlington,,,,,1,,,1,3,127,7,2,17,153,64,217,26,1,,,,39,20,155,66,55,11,,,,,,,,6,,,,,8,63,,,,,,,0,0,,,,,7,30183,,,,,0,0,0,24,0,0,24,4,5639,3,3395,3,849,37,13007,1,186,0,0,3364,32395,58859,12,,1,56,1073,7511,841,445,7504,5378,949,587,1536,1603,398229,2628900
2004,2005,7/2/1956,GA,Atlanta,,,1,1,,,,,,149,12,,21,182,71,253,,3,,2,22,180,,99,79,68,11,,,,,,,,16,1,,,2,16,146,2,320715,1,150,4,124,0,0,,,1,23,35,4567,,,,,0,0,0,46,0,0,46,,,3,2121,4,959,15,6081,4,1260,,,6222,31812,48501,7,,,4,866,10267,549,1546,6510,2817,1071,595,1423,1666,367000,5300000
2004,2005,1/1/1948,TX,Austin,,,,,1,,1,,,134,7,,18,159,50,209,17,3,,2,2,194,49,105,103,79,24,22,,,,,,,22,1,,,2,11,169,4,791432,4,91780,2,860,0,0,4,185,2,50,1,300,1,3800,,,0,0,0,27,0,2,29,1,4651,3,393,2,510,14,3169,2,769,,,7432,27000,43953,3,,8,8,549,7088,509,745,5965,3532,1069,320,1389,1416,401842,2309396
2004,2005,5/19/1903,OR,Baker,,,,,1,,1,,,21,1,1,15,38,4,42,11,,,,,13,1,20,36,26,2,7,,,1,,,,27,,,,,6,15,5,347162,,,4,200,0,0,5,260,,,5,36500,,,,,0,0,0,4,0,0,4,,,,,,,3,654,,,,,1259,2203,4120,,,,,45,927,210,99,956,1102,134,81,215,306,36420,439500
