Year,Year_OCD,Year established,ST,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,MinorBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2008,2009,,MA,Boston,1,,,,,5,1,,1,499,25,5,311,840,498,1338,76,9,,,26,253,151,1995,292,276,16,0,0,0,0,0,0,,1,,,2,,36,277,8,708219,3,7511,15,2832,1,921,11,1110,21,1722,43,206000,,,3,35410,3,44,83,5,1,,49,6,24900,4,1250,30,15692,79,23733,12,4234,2,149,26624,97419,194050,6,,36,126,3130,16395,3319,429,325,18467,14307,2941,786,3727,15222,1484661,3844675
2008,2009,8/6/1953,CT,Bridgeport,,,,,1,1,,,,164,12,32,63,271,27,298,27,2,1,5,9,93,,353,87,74,5,8,0,0,0,0,0,,,,,,,66,204,1,213000,,,15,1168,,,6,236,18,200,20,312000,,,,,1,13,,16,,,29,2,11000,5,3803,2,1473,33,8685,1,215,2,94,6891,38026,70216,9,,,30,1005,4185,95,79,4343,4907,4352,867,114,981,3334,410091,895015
2008,2009,,NY,Brooklyn,,,,,1,4,3,,,289,25,1,225,540,159,699,103,2,1,3,,161,135,975,198,168,21,9,0,0,0,0,0,,,,1,6,10,110,376,,,10,10284,5,1300,1,6800,28,5430,30,9100,90,108000,74,3100,2697,3500,1,15,9,17,1,13,45,3,20659,2,1175,19,15180,108,35436,3,458,2,103,4057,40000,117113,,,42,129,2853,17364,931,573,828,10594,9258,2175,311,2486,8699,1440000,1798388
2008,2009,7/10/1965,TX,Brownsville,,,,,1,0,,,,63,2,,17,82,32,114,6,1,,1,,66,19,13,67,46,21,6,0,0,0,0,2,,45,2,,,,4,109,,,3,4828,2,157,,,1,38,,,7,56650,,,1,7269,1,7,,20,,,27,,,,,3,1003,8,2300,3,988,,,7690,24051,36059,3,,8,8,303,7161,508,145,1087,5435,3000,587,65,652,2201,995160,1170776
2008,2009,,NY,Buffalo,,,,,1,1,2,,,206,9,,130,345,122,467,5,4,,1,6,116,41,991,180,144,13,18,3,0,1,0,1,,1,2,2,22,1,45,131,5,1451025,1,960,9,2630,,,2,121,2,446,5,254422,7,44,1,9039,1,14,2,3,1,1,18,7,17136,,,15,5411,56,12701,4,730,1,461,10629,27838,74924,47,,17,92,2591,4616,185,152,284,5525,5405,1209,506,1715,6433,659000,1534277
2008,2009,,VT,Burlington,,,,,1,0,1,,,60,1,,44,105,31,136,15,,,4,,44,20,158,78,58,10,10,0,0,0,0,0,,41,1,3,2,,9,17,,,,,4,353,,,,,,,1,10201,,,,,,,,10,,,10,2,2925,2,457,,,10,1354,2,500,,,1837,5780,12863,2,,,3,416,990,1,104,114,1120,1045,233,117,350,1355,118000,623908
2008,2009,12/9/1937,NJ,Camden,,,,,1,0,,,,137,48,4,105,294,34,328,29,5,,3,,153,14,314,125,121,3,1,0,0,0,0,0,,7,24,,,14,314,81,1,343844,2,18608,6,1591,1,9,2,216,1,635,1,5127,1,475,1,6057,,,,12,,,12,,,7,6508,3,1423,49,12193,1,47,2,799,1400,24497,46879,13,,6,58,1262,6312,,439,621,5789,5699,903,424,1327,3985,469058,1389794
2008,2009,,SC,Charleston,,,,,,0,1,,,56,4,,21,81,37,118,34,,,,,101,26,131,92,37,8,43,2,2,0,0,0,,23,1,,,3,24,241,3,175821,,,1,27,,,,,,,7,65290,,,,,,,,12,,,12,,,2,1297,2,577,27,5861,,,,,2256,12110,22113,1,,3,19,602,3323,407,168,492,3009,2223,399,270,669,1186,192160,4394300
2008,2009,1/12/1972,NC,Charlotte,,,,,1,0,1,1,1,75,6,,32,113,54,167,5,2,,2,,96,10,115,73,54,19,0,0,0,0,0,0,,19,1,,,2,17,159,,,16,200000,2,200,,,13,1000,4,611,4,14415,1,125,,,,,,16,,,16,1,1400,2,1987,,,16,5965,,,,,2738,15598,27704,,,,8,514,4245,341,264,816,5013,3311,624,242,866,1040,167543,4752413
2008,2009,,WY,Cheyenne,,,,,,0,1,,,31,3,,17,51,11,62,9,1,,,,20,1,20,36,29,10,1,0,0,0,0,0,,36,,,,,5,36,,,,,2,97,1,216,,,,,6,10924,,,,,,,,10,,,10,,,,,,,7,855,,,,,708,3174,4747,,,,3,100,971,83,87,140,769,751,152,127,279,541,52397,515000
2008,2009,,IL,Chicago,1,,,,,6,4,,,540,18,3,250,811,789,1600,158,13,16,11,14,646,268,2067,359,286,52,21,0,0,0,0,0,,11,8,1,5,13,85,617,19,3353256,2,25000,45,5693,2,2935,34,2056,5,452,100,665482,6,1336,7,1348,2,121,112,1,1,129,251,6,49190,6,1454,34,25966,210,64631,6,1120,5,450,9178,91197,243437,29,,35,102,5186,36106,,1443,1298,26274,20828,5732,1160,6892,14523,2338000,5995000
2008,2009,,OH,Cincinnati,,,2,,,0,2,,,183,3,,92,278,204,482,24,3,,7,,177,121,938,220,149,18,50,,0,1,2,0,,,,1,2,5,41,368,9,1264854,,,14,4123,1,1545,1,264,,,4,46179,1,39,5,22708,1,23,14,5,,,28,4,19885,18,10762,4,3326,88,30212,5,1713,1,97,5103,26649,97775,9,,9,38,2806,6253,384,413,675,7413,7065,1329,783,2112,4226,476189,3006148
2008,2009,,OH,Cleveland,,,,,1,1,3,1,1,278,12,4,118,412,117,529,26,5,,5,8,204,56,1109,224,191,14,10,4,1,4,0,0,,1,2,1,5,4,98,198,4,363502,1,242,24,5154,1,194,9,1055,6,1064,22,267366,2,232,3,39834,2,54,1,,,12,66,3,6871,6,3371,16,10433,101,35107,9,2556,1,109,3216,41321,103050,26,,23,128,3371,7483,,711,578,9734,9063,1847,936,2783,7814,753255,2808031
2008,2009,1/30/1984,CO,Colorado Springs,,,,,1,0,1,,,36,4,,13,53,18,71,10,2,,,,40,2,95,42,32,3,0,5,0,0,2,0,1,7,0,0,,,,,2,350540,2,109,4,,,,,,,,,,,,,,,,10,10,,3,13,,,,,1,385,7,1698,,,,,2927,6426,11449,,,,3,135,1251,,80,168,1393,1006,133,78,211,445,141865,945771
2008,2009,,OH,Columbus,,,,,1,0,1,,,108,6,,54,168,27,195,21,3,,,15,101,1,267,106,89,5,12,0,0,0,0,0,,3,,,,,14,68,6,170419,3,18279,19,1682,1,1100,,,,,21,256306,,,,,1,18,142,6,,,24,2,3943,11,4844,,,41,11925,2,290,,,1157,14672,36855,14,,,20,1003,3422,257,292,448,3629,3603,549,436,985,1735,254759,2485818
2008,2009,3/23/1912,TX,Corpus Christi,,,,,1,0,1,,,122,5,,14,141,36,177,30,1,1,2,22,83,9,219,68,59,9,0,0,0,0,0,0,,32,3,,,1,12,77,6,527947,6,73727,2,205,,,1,80,2,1755,11,110569,,,,,,,,12,1,4,16,1,18,1,317,1,306,14,2427,2,611,,,3828,10550,18073,9,,,36,297,2468,337,123,228,2665,1447,613,119,732,1721,395611,565158
2008,2009,,KY,Covington,,,,,1,0,1,,,44,3,,39,86,13,99,1,2,1,4,,29,7,329,47,40,0,4,1,0,1,1,0,,7,,,,,10,24,3,665814,,,3,912,2,218,1,79,,,4,118900,,,1,3954,1,1,,20,,,21,1,1575,7,2552,2,792,26,6769,2,450,,,306,4123,16588,,,1,28,698,1105,215,196,132,1597,1515,322,164,486,798,88767,464629
2008,2009,12/31/1909,MN,Crookston,,,,,1,0,1,,,30,3,,12,45,3,48,4,1,,,,17,1,84,66,27,2,36,1,0,0,0,0,,,,,,1,6,33,3,59000,,,3,433,,,1,49,,,,,,,,,4,4,,4,,,8,,,1,120,,,9,1319,,,,,1465,2313,5225,,,,7,120,521,,29,64,411,477,83,80,163,397,35285,252994
2008,2009,,TX,Dallas,,,,,1,0,2,1,,61,4,,33,98,73,171,33,1,,1,,152,11,123,67,46,9,9,3,0,0,0,0,,,3,,,2,24,248,,,,,1,46,,,1,80,,,8,45983,,,,,2,27,24,15,1,12,54,1,2972,4,2367,4,2319,28,9890,3,496,1,136,6919,40426,65579,17,3,9,13,1137,17203,,914,778,11225,7756,1106,362,1468,1360,1127985,3688838
2008,2009,,IA,Davenport,,,,,1,0,1,,,69,7,,29,105,2,107,6,2,,,,40,1,159,81,52,2,23,2,0,0,2,0,,,,,2,,,,3,353600,,,4,347,,,,,,,,,,,,,1,,1,9,,,9,1,3748,5,1016,,,13,3952,,,,,2032,6401,17158,,,,2,292,1371,43,146,152,1760,1604,281,278,559,959,101848,751127
2008,2009,,CO,Denver,,,1,,,1,,1,,121,,,51,172,112,284,30,3,1,6,1,182,15,270,118,91,17,10,0,0,0,0,0,,25,,1,,15,270,,4,346494,6,26622,6,561,,,11,1544,7,41546,11,65243,2,94,32,16738,2,63,38,10,,,73,2,15387,2,964,6,3079,37,9244,3,606,1,85,5774,20883,56095,5,,4,22,1063,11260,792,,1596,7847,5646,1083,546,1629,2551,525000,3168116
2008,2009,8/12/1911,IA,Des Moines,,,,,1,0,1,,,60,1,,25,87,8,95,2,,,2,,78,,78,82,50,3,29,0,0,0,0,0,,,,,,,13,49,3,1570430,,,1,364,,,,,1,273,5,46418,,,,,,,10,,,,10,1,677,2,2025,,,15,4174,,,,,2204,10040,19130,1,,,5,462,1934,85,116,295,1972,1798,275,253,528,797,94596,742190
2008,2009,,MI,Detroit,1,1,1,,,2,2,,,265,5,1,136,407,211,618,51,5,1,9,12,180,64,1240,277,220,25,28,3,0,1,0,0,,2,,,4,4,83,484,12,1314790,3,3750,22,21312,,,,,13,2211,43,34250,1,38,,,2,42,86,2,2,10,54,3,15980,10,4487,13,6528,75,23556,1,416,,,5539,55156,111716,25,,11,55,2378,10561,452,684,934,12060,10788,2275,811,3086,9128,1434622,4438006
2008,2009,5/19/1951,KS,Dodge City,,,,,1,0,1,,,20,1,,11,32,4,36,6,,,,,9,,80,48,16,2,22,0,0,2,2,0,4,1,,,,,13,15,3,180542,,,,,,,,,,,2,3407,,,,,,,,3,,,3,,,,,,,7,1042,,,,,1441,3510,5996,,,,1,84,1042,76,47,91,983,656,139,59,198,357,48456,223507
2008,2009,,IA,Dubuque,,,1,1,,0,,1,2,110,3,,90,203,31,234,2,1,1,2,,87,24,747,176,80,1,81,3,4,5,2,0,,,1,,2,1,40,365,7,1194909,2,229,5,481,,,1,284,,,3,570,,,,,1,6,2,6,1,63,75,3,4394,7,2601,,,44,10162,,,,,5198,13941,36371,,,,16,917,2774,80,79,279,2920,2687,640,407,1047,2063,209340,976737
2008,2009,,MN,Duluth,,,,,,0,,,,45,4,,29,78,14,92,5,1,,2,,42,,115,94,39,7,45,4,0,0,0,0,,,,1,,,,21,2,463556,,,5,717,,,1,95,,,,,,,,,,,,22,,,22,1,3593,,,,,12,1752,,,,,3062,3509,11938,1,,,6,290,760,35,38,118,757,715,163,121,284,948,65007,439172
2008,2009,3/3/1914,TX,El Paso,,,,,1,0,,,,45,4,,29,78,44,122,9,,,,15,26,10,138,57,36,8,11,0,0,2,0,0,,19,,,,,2,,,,2,65305,1,330,,,1,660,,,3,42896,,,,,1,4,,5,1,16,25,,,,,3,1153,9,2649,2,489,,,6616,11263,22195,,,5,13,283,4441,320,133,146,5282,3296,823,52,875,2107,646340,826611
2008,2009,,PA,Erie,,,,,1,0,,,,142,6,,45,193,6,199,6,2,,2,9,54,,358,122,100,2,20,0,0,0,0,0,,19,,1,4,,,11,1,488672,,,4,1343,,,1,109,2,177,14,40750,,,1,200,1,6,8,10,,,16,2,7461,5,2329,2,897,33,5923,1,243,,,5765,8473,31107,13,,,30,592,1666,58,115,82,1948,1955,369,281,650,2613,222134,852462
2008,2009,11/11/1944,IN,Evansville,,,,,1,0,,,,47,1,,33,81,5,86,1,1,,1,,42,1,242,69,40,3,19,6,0,1,0,0,,,8,,1,,13,81,2,725429,1,60,3,122,,,,,,,10,151500,,,,,,,,12,,,12,,,4,1535,,,24,5984,,,,,2153,4800,14487,,,1,8,488,1256,,91,141,1223,1197,262,185,447,785,87037,496795
2008,2009,8/8/1962,AK,Fairbanks,,,,,1,0,,,,10,1,,1,12,8,20,4,,,1,1,26,2,13,46,10,2,0,0,2,1,15,16,,,,,,,,,,,,,,,,,,,,,1,2000,,,,,,,,1,,,1,,,1,190,,,1,266,,,,,238,952,1647,1,,,,54,277,41,15,17,228,163,51,29,80,149,15562,166000
2008,2009,3/12/1904,MA,Fall River,,,,,1,0,,,,99,9,1,46,155,91,246,5,2,,3,,93,17,180,91,77,12,2,0,0,0,0,0,,14,,2,5,,7,56,1,175752,,,5,1169,1,115,1,45,2,19,4,41372,2,272,92,368,,,,7,,,7,1,2390,5,2868,,,22,4943,,,,,4024,22540,36772,8,,2,10,807,3289,52,44,95,3574,3274,870,167,1037,3520,325241,824033
2008,2009,,ND,Fargo,,,,,1,0,,,,80,15,,42,137,10,147,6,1,,1,2,44,,131,133,64,5,64,0,0,0,0,0,,,,,3,,3,40,9,162826,,,13,1385,,,,,1,32,5,10791,,,,,1,11,9,11,,,22,1,480,1,311,,,12,1696,,,,,1988,6061,10558,3,,,1,156,1250,28,30,183,1007,1118,227,178,405,806,87409,377979
2008,2009,,IN,Fort Wayne-South Bend,,,,,1,0,,,,62,,,16,78,143,221,20,2,2,3,,14,141,503,81,57,13,11,0,0,0,0,0,,1,3,,,,17,108,3,298663,5,62943,7,2335,,,1,312,,,11,205208,,,4,7688,,,,15,1,16,31,5,15853,4,3158,,,39,10775,,,,,1213,9562,40592,,,,7,816,2736,200,224,369,2780,3560,449,274,723,1444,157793,1262788
2008,2009,8/22/1969,TX,Fort Worth,,,,,1,0,,,,45,1,1,19,66,49,115,8,1,,,,76,10,63,89,32,23,22,9,1,,0,0,2,2,,,,5,24,337,,,,,4,342,,,,,,,20,80194,,,,,,,,24,,,24,1,50,5,1506,,,16,4618,1,459,,,8902,21117,36676,1,,2,10,1096,3648,420,242,670,6138,3302,792,282,1074,,562000,3125028
2008,2009,12/15/1967,CA,Fresno,,,,,1,0,,,,81,4,,37,122,38,160,25,1,,4,,45,1,123,89,65,10,13,1,0,0,0,0,,46,,1,,1,21,67,3,694234,,,2,220,,,,,,,7,200000,,,,,,,,20,,,20,,,2,1318,,,21,4889,,,,,9250,25598,41075,1,,,22,353,19542,754,393,1117,12903,5274,1850,257,2107,4564,1074944,2756266
2008,2009,12/16/1939,NM,Gallup,,,,,,0,2,,,25,2,,11,38,21,59,3,,,,1,28,8,107,69,30,18,15,2,0,2,2,0,,22,,,,5,41,51,,,,,1,50,,,,,2,86,12,75000,,,,,,,,1,,,1,,,1,151,1,155,10,967,1,201,,,732,2788,4995,2,,2,21,157,633,143,89,51,664,493,93,28,121,452,61940,495000
2008,2009,,TX,Galveston-Houston,1,,,1,,1,1,,,132,2,2,61,197,211,408,42,3,,,,390,16,471,149,105,39,4,0,0,0,0,0,,8,17,,,,,,2,260851,11,125789,4,662,2,470,,,5,11140,11,662448,,,,,1,25,61,19,6,12,56,1,3900,2,155,8,4051,47,11816,7,2335,,,17607,68593,108513,16,,,42,1683,11132,11007,1749,993,20082,9577,2652,783,3435,4521,1128065,5572087
2008,2009,12/17/1956,IN,Gary,,,,,1,0,,,,66,5,1,31,103,41,144,9,3,,,,49,16,82,72,55,5,12,0,0,0,0,0,,4,6,,,4,6,59,6,1206329,,,2,226,2,200,2,500,2,700,7,10000,,,,,,,,9,1,6,15,1,1275,3,1273,1,44,22,5890,,,,,802,8786,18085,,,,4,429,1742,72,95,154,2170,1842,369,185,554,1639,187500,788055
2008,2009,7/20/1971,MI,Gaylord,,,,,1,0,,,,35,2,,27,64,7,71,8,1,,1,,22,,30,81,33,4,33,0,0,4,2,0,,,,,,,4,38,3,375000,,,,,3,295,11,276,1,250,23,28972,,,,,,,,7,,,7,,,4,547,,,16,2469,,,,,1246,3230,7499,1,,,1,192,688,56,70,99,770,827,191,123,314,839,66287,510532
2008,2009,4/11/1917,NE,Grand Island,,,,,1,0,,,,34,1,,31,66,,66,4,,,2,,,,60,36,31,4,1,0,0,0,0,0,9,33,,,1,,,,,,2,172000,1,75,,,,,,,,,,,,,,,,9,,,9,,,4,489,,,6,978,,,,,2318,3506,7300,,,,2,118,1018,75,47,196,914,630,201,119,320,520,51094,301328
2008,2009,,MI,Grand Rapids,,,,,1,0,2,,,67,,,39,106,17,123,16,1,,2,,43,1,317,91,73,11,5,0,0,,2,0,,5,1,1,,,0,0,2,551739,,,3,485,,,0,0,11,2927,4,116629,,,,,,,,10,,,10,1,2313,3,1496,1,218,28,4773,1,279,,,2071,10174,21334,,,,5,417,2701,189,184,467,2606,2124,489,282,771,1405,178000,1283717
2008,2009,5/18/1904,MT,Great Falls-Billings,,,,,1,0,1,,,35,4,,23,62,13,75,6,1,,,,5,,60,55,29,2,12,4,0,1,0,0,,52,,,2,,8,50,2,446591,,,1,84,,,5,412,,,4,77035,,,,,,,,5,,,5,1,720,2,392,1,120,9,1521,4,534,,,1021,2864,7177,2,,,3,293,758,97,85,100,698,793,110,65,175,719,47226,391300
2008,2009,,WI,Green Bay,,,,,1,1,1,1,1,93,6,3,86,188,98,286,10,1,,2,3,130,38,516,160,71,17,49,5,0,12,6,0,,2,17,,,,43,157,8,1035152,,,14,860,,,2,117,4,8521,9,194541,1,6,,,,,,14,1,,14,2,3564,5,1367,1,732,56,9671,,,,,9034,20132,44514,1,,1,16,826,3938,,131,231,3840,3184,952,330,1282,3186,346499,989997
