Year,Year_OCD,Year established,ST,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,MinorBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2008,2009,,NY,Albany,,,,,1,0,,,,116,6,,101,223,42,265,5,,,,4,110,76,685,164,79,10,42,4,0,13,14,0,2,19,5,,1,3,36,224,4,912616,15,61000,10,1450,4,2931,3,250,15,850,75,270000,12,375,14,1200,,,,13,,,13,3,8238,4,1351,3,1093,26,5398,2,338,,,8421,23969,48821,,,,20,501,3907,137,94,168,4302,3451,813,340,1153,4764,350000,1320628
2008,2009,,LA,Alexandria,,,,,1,0,,,,37,6,,18,61,14,75,13,1,,,,5,4,39,49,32,10,7,0,0,,,0,,24,1,1,,,3,15,2,281178,,,1,114,,,,,,,12,6933,2,202,,,,,,12,,,12,,,3,521,,,8,2215,,,,,1112,2075,5935,,,3,8,189,589,92,51,122,737,499,155,85,240,582,40783,386602
2008,2009,1/28/1961,PA,Allentown,,,,,1,0,1,,,156,10,,67,233,66,299,3,,,,,112,11,363,157,148,9,0,0,0,0,0,0,,5,26,,,11,363,,3,431963,1,2016,11,587,,,1,35,3,61,7,37169,3,765,,,,,,18,,,18,2,5981,8,3780,,,48,10262,,,3,128,,16782,36951,10,,,54,916,3308,119,118,,3371,3620,718,373,1091,3115,276662,1161932
2008,2009,5/27/1901,PA,Altoona-Johnstown,,,,,1,0,,,,83,2,,40,125,72,197,,,2,1,,29,17,65,95,71,12,10,2,0,1,0,0,,5,,,2,,,,1,433308,1,253,3,389,,,,,,,2,24563,,,,,,,,9,,,9,2,4125,3,987,,,21,3712,,,,,3121,7025,18979,14,,,16,494,1032,41,71,133,1324,2146,302,216,518,1473,97733,640635
2008,2009,8/25/1926,TX,Amarillo,,,,,1,0,2,,,23,4,,14,41,7,48,10,2,,,,53,1,101,38,17,5,13,3,0,0,0,0,,11,,,,1,2,30,,,,,1,72,,,1,98,3,300,1,4500,,,1,4,,,,10,,,10,,,1,136,,,6,688,,,,,1409,4046,6289,,,,5,87,1189,79,77,164,268,744,212,45,257,291,39416,422428
2008,2009,2/9/1966,AK,Anchorage,,,1,4,,0,,,,10,1,1,4,16,10,26,13,,,,,13,1,32,23,15,7,1,0,0,3,1,3,,6,,,,1,32,40,1,84572,5,11989,2,657,,,,,,,4,16771,,,,,,,,2,,,2,,,1,75,1,52,3,319,1,44,,,723,1763,2978,,,1,3,51,483,43,41,115,457,292,64,40,104,138,37089,401610
2008,2009,8/13/1974,VA,Arlington,,,,,1,0,1,1,2,129,6,2,22,159,63,222,25,3,,3,,57,15,125,68,57,11,0,0,0,0,0,0,,6,,,,,17,141,,,,,,,,,,,,,10,24568,,,,,,,,35,,,35,4,4373,4,3414,3,810,38,13166,1,200,,,3293,29314,54605,4,,1,41,1257,7512,586,474,574,8212,6622,909,498,1407,1703,428417,2790259
2008,2009,7/2/1956,GA,Atlanta,,,1,1,,0,,1,,143,6,,32,181,70,251,24,8,,7,19,218,9,94,87,77,10,0,0,0,0,0,0,,12,,3,,1,18,152,5,335028,,,2,96,,,,,,,5,7250,,,,,,,,42,8,,42,1,227,3,2192,4,8425,15,6192,4,1779,,,8425,32511,59793,18,,1,10,1113,12138,589,485,1074,9039,4459,1119,526,1645,1341,750000,6773819
2008,2009,1/1/1948,TX,Austin,,,,,1,0,1,,,136,6,,33,175,47,222,85,5,,5,,203,47,116,103,80,23,0,0,0,0,0,0,,23,1,,,14,34,166,4,1257720,4,20916,2,700,1,300,4,300,2,160,1,7000,1,3400,,,,,,40,,,40,1,5300,4,610,2,592,17,3587,1,409,,,7773,26577,44888,4,,2,5,494,8791,726,483,1018,7671,4015,1255,441,1696,1835,485612,2629192
2008,2009,5/19/1903,OR,Baker,,,,,1,0,1,,,16,2,1,16,35,12,47,15,,,1,,11,,11,36,21,7,8,0,0,0,0,0,,23,,,,,,,5,455088,,,4,163,,,3,86,,,7,73578,,,,,,,,1,,,1,,,,,,,5,611,,,,,715,2498,3825,,,,,52,844,78,57,168,1085,827,144,44,188,236,32242,493996
2008,2009,,MD,Baltimore,,1,1,1,,2,1,,,192,14,,52,258,246,504,53,1,1,1,3,152,67,947,153,100,27,17,2,0,2,5,0,,6,,1,,,32,214,5,1450487,4,2488,25,3157,10,1062,8,1938,5,388,56,650002,1,248,1,5000,2,25,202,9,,,34,4,11782,9,4322,13,7601,56,19774,7,1339,1,116,2953,23743,71724,48,,17,77,3784,6381,,543,715,6075,5583,1061,593,1654,4570,509336,3093524
2008,2009,7/20/1961,LA,Baton Rouge,,,,,1,0,,,,56,1,,16,73,32,105,4,3,,,,59,17,106,68,43,11,12,0,0,0,1,0,,,,,,,12,90,3,342019,,,7,709,,,,,5,298,8,225201,,,,,,,,14,,,14,1,2016,6,2321,2,1888,24,11637,,,,,3851,8575,30302,2,,3,12,1040,2332,106,125,231,2428,2013,534,210,744,1618,219018,931004
2008,2009,9/29/1966,TX,Beaumont,,,,,1,0,,,,34,3,,13,50,22,72,6,1,,,,43,3,19,44,26,16,2,0,0,0,0,0,,8,2,,,2,9,27,2,378943,,,,,,,,,3,52424,,,,,,,,,,,,,,,,1,451,,,5,1256,,,,,1617,6745,10069,,,1,2,151,1314,,148,196,1351,796,167,120,287,817,74501,595561
2008,2009,,IL,Belleville,,,,,1,0,1,,,85,3,,46,134,40,174,1,1,,1,10,31,7,161,119,69,8,30,3,0,5,4,0,,,,,,,,,5,541822,,,3,228,,,3,171,1,,14,225000,,,,,,,,5,,,5,,,3,1292,,,31,4685,,,,,529,6079,12590,1,,,10,558,966,107,124,128,1002,1073,269,167,436,1063,83689,850076
2008,2009,3/1/1977,MS,Biloxi,,,,,1,0,1,,,39,1,,12,52,21,73,10,,,,,27,9,39,42,32,6,4,0,0,0,0,0,,11,,,,2,5,34,,,,,7,469,,,,,,,6,514379,,,1,6597,,,,4,,,4,,,4,1136,1,429,12,2969,,,,,1358,3346,9242,,,3,4,332,1069,111,109,184,1030,1030,149,99,248,672,58548,767379
2008,2009,6/28/1969,AL,Birmingham,,,,,1,0,1,1,1,52,5,,24,81,31,112,,2,,3,,56,17,153,54,36,13,2,0,0,0,2,0,,19,,,1,5,19,478,4,458256,1,45000,,,,,,,,,18,85200,,,,,,,,8,,,8,,,5,1191,1,147,18,3954,1,251,1,125,1662,6126,13464,5,,1,15,275,2092,228,223,426,1544,1405,294,244,538,582,89021,2877416
2008,2009,12/31/1909,ND,Bismarck,,,,,1,0,,1,1,39,3,,22,64,32,96,13,1,,3,4,79,20,96,61,34,11,15,2,0,0,0,0,,38,,,,1,6,32,4,321889,,,4,534,,,,,,,,,,,,,,,,18,,,18,1,2809,3,658,,,11,1606,,,,,1984,4880,11955,3,5,,3,173,1043,,29,84,930,982,268,148,416,728,62354,261736
2008,2009,,ID,Boise,,,,,1,0,,,,45,4,,28,77,16,93,,6,,3,,66,5,78,51,38,2,7,3,0,0,1,0,,29,28,,,,6,71,5,736750,,,,,,,4,168,,,19,380000,,,,,,,,16,,,16,,,1,643,,,13,2431,,,,,2154,6101,11345,,,,1,211,2772,162,163,212,2288,1020,355,154,509,962,168542,1532200
