Year,Year_OCD,Year established,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abbts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,TotPr,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwResPstr:Tot,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,PrshwoResPrTot,Ms,PstrCenter,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,Coll/Univ:AvgEnroll,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnts,HS:D/Prsh/Prvt,"HS:D/Prsh/Prvt,TotEnroll",HS:AvgEnroll,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,ElSch:D/Prsh/Prvt,ElSch:D/Prsh/PrvtTotEnroll,ElSch:AvgEnroll,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Scholastics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Convrt,TotBapt,Mar,Dth,TotCath,TotPop
1997,1998,7/11/1936,San Diego,0,,0,,1,1,,1,1,125,10,,75,210,96,75,306,1,,,,86,22,361,98,85,13,98,,,,,,,0,19,2,2,55,222,1,341695,,,5,716,1,120,,,8,1051,21,283227,1,52,3,312,1,7,11,7,,,14,1,6694,6694,3,1850,2,1326,5,3176,635.2,43,13134,1,351,44,13485,306.4772727,1,184,6565,27202,57320,12,,,56,1066,11794,487,637,9691,3654,0,0,2283,2935,716602,2798114
1997,1998,,San Francisco (Archdiocese),0,,1,1,0,1,1,0,,152,11,1,63,222,187,50,409,2,8,4,,53,38,884,89,75,14,89,,,,,,,0,7,3,3,66,105,3,515000,,,9,7051,2,334,2,120,6,215,35,73000,4,88,11,875375,1,11,42,4,,6,21,3,11062,3687.333333,4,3574,9,4255,13,7829,602.2307692,60,19417,6,1701,66,21118,319.969697,,,4452,12691,57173,35,4,10,128,1759,7078,464,262,4648,2588,0,0,17229,2861,422000,1700000
1997,1998,1/27/1981,San Jose,0,,0,,1,,,0,,82,2,,28,112,185,30,297,1,,,,8,40,407,48,40,7,47,1,,,,,,1,4,1,4,30,154,3,273515,1,85,1,47,,,1,250,,,47,140953,1,4,2,185,,,,17,,,17,1,7863,7863,2,1742,4,3996,6,5738,956.3333333,30,10710,1,152,31,10862,350.3870968,,,2391,14636,41507,53,9,5,50,1173,9208,586,410,5654,2582,0,0,1860,1918,398901,1599604
1997,1998,,Santa Fe (Archdiocese),0,,1,1,0,,,2,,67,3,,36,106,104,8,210,2,1,1,1,135,89,287,91,60,25,85,,3,,2,1,,6,216,4,3,57,181,4,17508,1,5000,3,183,,,2,1218,3,774,5,236389,1,16,,,1,3,31,22,,,25,1,1417,1417,1,1003,2,895,3,1898,632.6666667,17,4515,,,17,4515,265.5882353,,,5712,18387,31954,4,,5,34,386,6599,268,293,5508,2831,0,0,1387,2707,271698,1036297
1997,1998,2/21/1962,Santa Rosa,0,,0,,1,,1,0,,58,4,,23,85,20,21,105,,,2,,19,45,98,43,39,4,43,,,,,,,0,20,13,,5,31,4,325009,,,1,54,1,107,2,80,1,45,13,12500,2,12,,,,,,12,,,12,,,,3,1055,3,1012,6,2067,344.5,13,3001,1,30,14,3031,216.5,,,1198,5842,12150,4,,,11,309,2852,196,182,2135,1014,0,0,823,1108,139513,772859
1997,1998,,Savannah,0,,0,,1,,1,0,,44,10,,12,66,33,9,99,3,,,,37,18,133,53,37,16,53,,,,,,,0,28,0,18,111,0,3,241423,8,166200,,,1,42,,,1,22,19,358746,,,,,,,,7,,,7,,,,2,613,3,1800,5,2413,482.6,15,4731,,,15,4731,315.4,,,935,4316,12402,6,,1,29,386,1363,233,446,1194,1046,0,0,365,496,74716,2440868
1997,1998,,Scranton,0,,0,,1,1,,0,,252,13,,90,355,108,9,463,1,1,3,,37,9,843,200,190,7,197,3,,,,,,3,85,25,,65,10,7,780171,3,98235,7,750,9,1176,8,313,9,1478,13,168213,1,142,,,1,17,8,15,1,54,86,4,11442,2860.5,9,3395,2,747,11,4142,376.5454545,50,17408,,,50,17408,348.16,1,15,12835,31101,77039,7,,,152,971,4737,463,540,5711,7953,0,0,2113,5489,351188,1054814
1997,1998,,Seattle (Archdiocese),0,,1,1,0,,,1,2,122,6,,58,186,141,16,327,3,,3,,86,33,652,138,82,16,98,31,1,,5,3,,40,30,7,33,40,425,9,985981,,,11,809,1,48,5,1854,8,163,35,92200,2,18,25,182148,,,,27,,11,38,2,7510,3755,3,2231,6,3042,9,5273,585.8888889,53,15689,2,670,55,16359,297.4363636,,,5875,28050,63105,27,,15,25,1458,6653,1262,769,5807,2255,0,0,2074,2939,374800,4277700
1997,1998,6/16/1986,Shreveport,0,,0,,1,,,0,,29,4,,8,41,12,4,53,1,,,,7,0,62,31,22,8,30,1,,,,,,1,14,2,,4,30,3,191594,1,30163,1,132,,,1,130,2,20,21,19100,1,184,2,1425,,,,4,,,4,,,,2,735,,,2,735,367.5,10,2407,,,10,2407,240.7,,,751,2323,6220,,,,7,210,521,102,318,564,641,0,0,215,341,40436,772938
1997,1998,1/15/1902,Sioux City,0,,0,,1,1,,0,,115,8,,50,173,0,,173,2,,2,,35,0,114,123,95,,95,24,,,,,4,28,10,0,,14,6,3,315780,,,3,259,,,,,1,,4,6142,,,,,,,,7,,,7,1,1011,1011,8,2802,,,8,2802,350.25,28,6353,,,28,6353,226.8928571,,,3516,7586,21275,8,,,26,521,1691,124,358,1892,1412,0,0,678,1146,92309,472307
