Year,Year_OCD,Diocese,PerCd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,RPrResDio,Pr:frgnms,Pr:D,Pr:R,Pr:Tot,PrOthDio,Ord:TrDeac,Ord:PrmDeac,TotBr,Br:frgnms,TotSis,Sis:frgnms,Prsh,WResPstr,WoResPstr,Ms,Stns,Chpls,WResChap,Non-resChap,"Educational Seminaries, Diocesan",Students From this Diocese,Students From Other Diocese,Diocesan Students in Other Seminaries,"Seminaries, Religious","Students, Religious",Diocesan students from this diocese,TotSemnr,College and Universities,Men,Women,Total Students (college and univ),"High Schools, Diocesan and Parish",Boys,Girls,Total Students (dioc hs),"High Schools, Private",Boys (priv hs),Girls (priv hs),Total Students (priv hs),"Elementary Schools, Diocesan and Parish",Total Students (dioc elem),"Elementary Schools, Private",. boys,. girls,Total Students (priv elem),Protective Institutions,Total Students (protective inst),Catechesis/Religious Education: High School Students,Catechesis/Religious Education: Elementary Students,Total Students Under Catholic Instruction,Teachers in the Diocese: Priests,Teachers in the Diocese: Scholastics,Teachers in the Diocese: Brothers,Teachers in the Diocese: Sisters,Teachers in the Diocese: Paid Lay Teachers,Total Teachers in diocese,General Hospital,Bed Capacity,In Patients treated Annually,Out-Patients treated annually,Total Patients,Special Hospital or Sanatoria,. Beds,In-patients treated (annual),out patients treated (annual),total patients (special hosp),Schools for nurses,Student Nurses,Homes for Dependent Children,Resident Boys,Resident Girls,Children in Foster Homes,Total Dependent Children,Homes for Invalid and aged,Guests,InfBapt,Cnvrt,TotBapt,Mar:Cath,Mar:Inter,Total Marriages,Dth,TotCath,TotPop
1980,1981,Baltimore (Archdiocese),,1,1,1,,3,,,,283,18,1,66,374,34,367,408,775,5,,96,116,11,1849,35,150,150,,12,3,2,,2,2,20,299,16,3,41,,77,4,3938,5045,8938,11,2718,2660,5378,14,3869,4014,7883,83,27817,7,548,628,1176,4,346,4402,29823,85885,100,15,52,672,2095,2934,6,2,71960,444922,516882,,,,,,2,227,3,51,31,149,231,4,754,8613,1227,9840,1924,1645,3569,4777,430140,2465430
1980,1981,Baton Rouge,,,,,1,,,,,73,7,1,6,64,3,86,67,153,4,3,14,10,2,125,3,70,70,,23,6,8,5,3,,,,37,,,,37,,,,,7,1014,1103,2117,2,670,533,1203,26,11202,,,,,,,6627,12117,32943,,,8,86,608,702,1,563,82114,,82114,,,,,,,,1,,28,,28,,,3864,400,4264,816,528,1344,1265,176563,717855
1980,1981,Beaumont,,,,,1,,,,,47,4,,5,30,,56,30,86,,,5,1,,112,,,44,44,13,2,5,2,3,,,,12,,,,12,,,,,2,331,382,713,,,,,10,2014,,,,,,,2056,6712,11507,4,,,36,134,174,2,666,30136,100896,131032,,,,,,,,,,,,,,,1867,239,2106,374,338,712,690,89204,586598
1980,1981,Belleville,,,,,1,1,1,,,147,4,,16,48,7,167,55,222,,2,25,7,,434,19,130,112,18,18,,,,,1,6,6,18,1,133,,157,1,943,101,1044,4,1121,1304,2425,,,,,57,9140,,,,,,,2311,5172,20249,26,,7,173,517,723,7,1490,57186,153785,210971,,,,,,,,1,6,2,,8,4,528,2354,599,2953,586,573,1159,1283,121209,807682
1980,1981,Biloxi,,,,,1,,,,,51,7,,9,32,,67,32,99,2,,5,53,3,92,,43,43,,14,2,2,2,,,,,11,1,,,11,,,,,5,451,744,1195,1,402,,402,16,3244,1,210,,210,,,1772,4854,11688,2,,29,53,235,319,,,,,,,,,,,,,,,,3,3,2,450,1277,243,1520,188,226,414,464,53126,580400
1980,1981,Birmingham,,,,,1,,,1,,61,2,1,4,53,1,89,75,164,,,17,11,,186,,55,55,,15,,,,,,,,8,,,,8,,,,,2,520,555,1075,,,,,22,4553,1,66,76,142,,,1647,3016,10441,3,,1,10,47,61,2,507,25447,52890,78337,,,,,,2,245,,,,15,15,,,950,349,1299,114,396,510,284,54702,2265650
1980,1981,Bismark,,,,,1,,,1,2,63,,,12,53,4,75,57,132,3,,,17,1,287,3,75,71,4,52,,45,14,31,,,,15,,,,15,1,311,671,982,6,828,765,1593,,,,,18,3433,,,,,1,36,4580,7892,18531,22,,1,111,257,391,6,780,33409,55858,89267,,,,,,,,,,,,,3,150,1869,139,2008,426,321,747,520,77212,268830
1980,1981,Boise,,,,,1,,,,,78,6,1,12,23,,96,23,119,5,3,14,8,,14,6,70,70,,34,12,30,5,25,,,,16,,,,16,,,,,1,204,228,432,,,,,12,1720,,,,,,,2840,7535,12543,2,,2,16,67,87,5,596,29233,150421,179654,,,,,,1,12,,,,,,1,40,1982,503,2485,299,444,743,728,78750,943692
1980,1981,Boston (Archdiocese),1,,,1,,5,,1,,1083,91,21,150,931,237,1324,1168,2492,29,13,126,218,22,4719,184,408,406,2,20,67,59,59,,2,103,124,2,16,297,,402,4,9031,11673,20704,30,4133,8614,12747,23,8030,3618,11648,142,142,21,1411,1645,3056,2,169,31104,209753,334682,93,1,129,1195,2370,3788,8,2053,62195,588234,650429,4,601,11076,38837,49913,2,590,6,589,445,1042,2076,9,1768,26937,746,27683,9533,3011,12544,18050,2016950,5728288
1980,1981,Bridgeport,,,,,1,,1,,,197,28,3,17,99,7,242,106,348,14,5,23,6,1,694,10,87,86,1,4,14,83,26,57,,,,22,,,,22,2,3584,5729,9313,7,2111,2524,4635,3,934,414,1348,47,11789,1,,161,161,,,7039,28053,62360,73,4,3,223,1269,1572,2,681,22755,155083,177838,,,,,,2,361,,,,135,135,3,472,4685,178,4863,1626,515,2141,3069,327973,801177
1980,1981,Brooklyn,,,,,1,4,1,,,671,99,4,165,241,153,935,394,1329,119,11,70,296,28,2373,91,221,221,,,,5,2,3,3,297,78,30,2,13,,340,2,10295,8199,18494,4,552,2214,2766,17,10297,12299,22596,173,90769,3,137,498,635,1,215,7139,46503,189457,71,,169,1126,3404,4770,4,893,30114,223614,253728,,,,,,,,11,1153,262,4546,5961,4,1091,24976,641,25617,6766,1035,7801,16778,1351853,4095480
1980,1981,Brownsville,,,,,1,,,,,41,6,,3,72,5,50,77,127,3,4,22,15,,177,1,60,60,,49,2,4,1,3,,,,12,,,,12,,,,,,,,,2,340,455,795,7,1881,1,102,103,205,,,4161,25855,32909,,,5,88,1740,1833,,,,,,2,,,32000,32000,,,,,,,,2,91,8961,408,9369,1182,125,1307,1817,325208,442518
1980,1981,Buffalo,,,,,1,2,,,,496,23,6,72,357,,591,357,948,9,9,47,84,,2487,114,298,272,26,,,202,43,159,,34,,69,6,26,,95,6,6236,7175,13411,10,2473,1784,4257,11,2199,3490,5689,128,31364,8,930,957,1887,,,17171,53593,127167,118,6,17,911,2026,3078,9,2321,83118,489928,573046,,,,,,5,997,,,,212,212,13,1184,8738,565,9303,2976,1429,4405,6023,822171,1660616
1980,1981,Burlington,,,,,1,1,,,1,13,12,2,24,72,11,166,83,249,1,,8,25,1,361,4,100,99,1,45,13,17,4,13,,,,20,,,,20,3,1087,1505,2592,2,549,534,1083,1,65,140,205,9,2026,2,390,386,776,1,14,3820,17514,28050,5,,6,130,131,272,1,100,3916,20582,24498,,,,,,,,1,8,6,13,27,3,136,2478,235,2713,755,513,1268,1470,156073,511299
1980,1981,Camden,,,,,1,1,,,,324,31,6,20,40,3,375,43,418,6,4,66,27,,583,10,127,127,,8,2,8,5,3,,,,34,,,,34,,,,,9,3335,3351,6686,3,597,487,1084,68,21026,,,,,,,7025,21145,57000,44,,5,318,805,1172,1,384,14000,100000,114000,,,,,,1,103,,,,,,4,630,6903,536,7439,1529,786,2315,3025,349906,1138628
1980,1981,Charleston,,,,,1,,,1,2,66,4,,10,51,,80,51,131,3,3,20,23,,261,1,75,10,5,30,8,54,6,48,,,,14,2,,,14,,,,,3,679,701,1380,1,80,95,175,32,6082,,,,,,,,,17839,7,,,97,311,415,5,862,36714,85440,122154,,,,,,,,1,3,4,13,20,2,63,1496,443,1939,188,488,676,459,63317,3119208
1980,1981,Charlotte,,,,,1,,,1,1,49,1,1,9,75,,59,75,134,3,6,,9,,222,4,64,64,,21,1,1,1,,,,,16,,,,16,2,600,628,1228,2,457,495,952,,,,,15,4079,1,91,67,158,,,1767,5170,13370,21,,4,74,339,438,2,711,28152,33544,61696,1,66,45,,45,1,82,,,,28,28,1,150,1177,362,1539,111,379,490,287,49211,2850000
1980,1981,Cheyenne,,,,,1,,1,,,49,1,,10,8,,60,8,68,4,,2,2,,83,,39,38,1,30,9,2,2,,,,,17,,,,17,,,,,1,58,70,128,,,,,7,1377,,,,,,,997,4878,4397,,,,59,73,132,1,121,4079,10815,14894,,,,,,,,1,30,37,,67,,,1645,204,1843,231,284,515,522,66400,468000
1980,1981,Chicago (Archdiocese),1,,,,,2,,,,986,48,,230,1114,137,1264,1251,2515,59,16,426,311,18,4980,75,444,444,,6,,348,145,203,4,1207,18,1,7,498,,1706,7,15662,19943,35605,13,1583,3904,5487,51,24568,24271,48839,380,135375,4,331,378,709,9,841,31380,127957,387899,199,8,172,1962,6240,8581,23,8964,912577,1583485,1896062,,,,,,7,1438,3,240,60,529,829,19,2868,35906,3712,39618,10679,3347,14026,20403,2386322,5615011
1980,1981,Cincinnati (Archdiocese),,,1,,,2,,,,371,23,,68,387,47,462,434,896,14,10,54,263,15,2013,50,256,235,21,,,246,59,187,1,26,39,21,5,50,,97,5,10380,10171,20551,20,7916,7758,157674,5,1262,1071,2333,119,40378,4,782,747,1529,,,8801,30671,120034,190,,90,517,2958,3755,10,3483,129283,721724,851007,,,,,,2,235,4,127,85,234,446,7,1003,9307,1289,10596,2446,2047,4493,4461,502000,2684358
1980,1981,Cleveland,,,,,1,3,1,1,1,503,27,8,110,251,40,640,291,931,19,13,32,142,27,2455,29,246,244,2,11,16,191,63,128,2,144,2,10,,,,154,3,2031,3683,5714,10,43000,4290,8590,16,6046,6289,12335,166,61431,4,573,764,1337,2,176,15964,43137,148838,82,4,70,804,2797,3757,6,2356,74636,610460,685096,2,90,90,420,510,5,440,1,40,48,12,100,8,1406,14048,1739,15787,4280,2474,6754,7727,928075,2777272
1980,1981,Columbus,,,,,1,1,,1,,187,11,,37,61,11,235,72,307,27,,17,13,2,703,8,108,107,1,13,,,,,,,,22,2,20,,42,1,311,538,849,13,2975,2943,5918,1,42,,42,52,14796,1,124,169,293,1,141,4312,13327,39900,8,,,154,718,874,6,1929,169838,278778,448616,,,,,,1,272,6,400,488,92,980,5,557,3646,531,4177,732,1165,1897,1469,204816,1901100
1980,1981,Corpus Christi,,,,,1,,1,1,,59,11,2,17,87,2,87,89,176,7,1,13,18,1,286,1,77,77,,47,9,24,9,15,1,26,11,13,,,,39,,,,,2,116,100,216,3,484,755,1239,22,4211,3,438,531,969,2,95,5076,16262,28107,6,,3,100,186,295,2,693,35356,78628,113984,,,,,,,,2,21,74,,95,1,92,7847,146,7993,1333,240,1573,1674,180000,545000
1980,1981,Covington,,,,,1,,1,,,160,9,1,21,20,6,190,26,216,4,4,,8,2,813,6,85,85,,25,7,40,23,17,1,13,91,19,,,,32,1,565,751,1316,9,1811,828,2639,4,29,1196,1225,50,8816,5,256,273,529,3,135,2275,3827,20794,33,,7,223,605,868,8,1215,55013,163217,218230,,,,,,,,,,,15,15,6,470,2341,419,2760,558,523,1081,1061,103419,1541615
1980,1981,Crookston,,,,,1,,1,,,36,3,,11,22,1,50,23,73,3,2,,1,1,315,5,46,44,2,31,,22,6,16,,,,15,,,,15,,,,,2,147,228,375,,,,,10,1635,1,71,72,143,,,3115,4482,9765,,,,41,88,129,5,349,12807,50224,63031,,,,,,,,,,,1,1,2,255,1100,154,1254,211,245,456,365,43981,220132
1980,1981,Dallas,,,,,1,,,1,,86,10,1,10,101,5,106,106,212,12,7,97,5,1,365,5,64,62,2,12,11,67,24,43,1,22,69,,,,,22,1,1738,950,2688,5,868,920,1788,3,798,635,1433,31,9626,3,194,72,266,1,42,4699,17148,37712,48,3,4,150,669,874,3,1005,68708,57901,126609,,,,,,,,2,21,34,10,65,1,44,5954,941,6895,692,742,1434,1021,178737,2732889
1980,1981,Davenport,,,,,1,,,,,154,12,,30,13,6,196,19,215,4,4,16,20,,430,11,120,95,25,18,,25,11,14,1,7,22,15,,,,22,3,1456,1963,3419,7,1011,1034,2045,,,,,39,5075,,,,,,,2659,9949,23169,20,,8,136,490,654,5,857,37789,10282,140071,,,,,,1,175,,,,,,5,341,2611,524,3135,577,626,1203,1131,106602,687000
1980,1981,Denver (Archdiocese),,,1,1,,2,,1,,185,6,1,19,208,17,210,225,435,15,5,61,33,,945,,130,126,4,44,9,24,13,11,1,29,30,17,1,9,17,55,1,582,470,1052,4,642,858,1510,5,1045,692,1737,41,11477,1,182,211,393,2,45,6221,22962,45452,70,5,19,163,739,996,7,2600,98062,534577,632639,,,,,,,,,,,,,2,283,8749,788,9267,1736,1375,3111,2670,280358,2203221
1980,1981,Des Moines,,,,,1,,,,,94,4,1,27,2,7,125,9,134,2,1,19,1,1,205,1,84,65,19,1,5,24,5,19,,,,10,,,,10,,,,,2,1024,948,1972,,,,,22,4292,,,,,,,2661,7826,16761,10,,,73,330,413,3,884,32910,82328,115238,,,,,,1,104,,,,,,1,120,1947,426,2373,341,415,756,625,80059,667726
1980,1981,Detroit (Archdiocese),,1,,,,3,,,,480,10,1,121,386,53,611,439,1050,41,5,92,110,26,2391,53,338,337,1,7,,,,,3,202,31,,5,63,,265,5,5664,7832,13496,31,7396,8350,15746,15,4761,4599,9360,159,56656,6,597,550,1147,1,106,19803,123615,240194,68,1,41,768,2591,3469,10,4365,158599,851883,1010482,3,263,1383,1734,3117,4,306,7,250,198,36,484,15,1205,19985,2190,22175,6114,3495,9606,10118,1202131,4374829
1980,1981,Dodge City,,,,,1,,,,,51,4,,2,7,4,57,11,68,2,,1,,,167,5,46,43,3,14,1,8,6,2,,,,10,,,,10,1,223,475,698,,,,,,,,,12,1660,,,,,,,1913,3309,7590,,,,52,110,162,4,459,17743,81691,99434,,,,,,,,,,,,,,,961,145,1106,182,186,368,257,40758,219727
1980,1981,Dubuque (Archdiocese),,,1,,,1,,1,2,306,12,2,41,73,23,359,96,455,1,2,26,41,,1452,21,189,189,,45,,40,29,11,1,21,18,19,2,96,1,136,3,1506,2097,3603,11,2307,2975,5282,,,,,60,15122,,,,,,,7834,17934,49977,87,1,7,338,1022,1455,8,1698,64043,191573,255616,3,330,527,,527,,,,,,,,2,330,4958,757,5715,1567,1023,2590,1979,246235,956078
1980,1981,Duluth,,,,,1,,,,,74,2,1,22,32,5,98,37,135,2,1,,,,327,4,78,74,4,36,19,22,8,14,,,,27,,,,27,1,224,891,1115,,,,,,,,,15,2210,,,,,1,122,5603,8844,17921,1,,,45,155,201,2,562,23461,56544,80005,,,,,,1,270,,,,,,2,320,1950,196,2146,435,483,918,1011,95125,426200
1980,1981,El Paso,,,,,1,,1,,,65,8,,19,81,,92,81,173,28,4,41,18,2,346,4,82,78,4,31,12,22,3,19,1,20,3,26,2,21,,67,,,,,1,480,,480,2,,748,748,15,3682,3,315,456,771,,,4135,19485,29368,,,8,69,231,308,1,250,9791,30703,40494,1,23,,,,,,,,,,,1,24,9663,165,9828,1475,173,1648,1730,244958,900000
1980,1981,Erie,,,,,1,,,,,256,5,1,28,46,12,289,58,347,1,4,,6,,726,6,128,125,3,30,9,51,3,48,1,62,25,24,1,89,,175,3,2849,3213,6062,7,1951,973,2924,3,218,1329,1547,54,14669,5,225,228,453,2,205,9209,17567,52841,94,,3,280,1011,1388,3,904,38021,561936,599957,1,86,86,,86,3,195,,,,,,3,509,4175,593,4768,1046,990,2036,2461,219843,900971
1980,1981,Evansville,,,,,1,,,,1,102,7,1,20,16,6,129,22,151,6,3,15,5,3,437,19,74,65,9,6,,12,11,1,,,,13,,,,13,,,,,4,979,975,1954,1,,156,156,30,4955,,,,,,,2638,6251,15967,5,,4,88,323,420,3,702,31296,136461,167757,,,,,,,,1,129,115,92,336,4,366,1991,435,2426,573,491,1064,783,89846,441854
1980,1981,Fairbanks,,,,,1,,1,,,4,3,,,38,,7,38,45,1,6,27,9,,43,,27,21,6,20,20,4,,4,,,,2,,,,2,,,,,2,144,128,272,,,,,,,1,156,182,338,,,578,1698,2888,2,,,17,17,36,,,,,,,,,,,,,,,,,,,,385,40,425,57,50,107,90,14000,125000
1980,1981,Fall River,,,,,1,,2,,,187,8,2,34,172,34,229,206,435,6,2,13,41,7,740,22,113,112,1,15,4,75,10,65,,,,36,2,4,,40,1,1456,1397,3121,,,,,,,,,21,5822,3,267,488,755,3,267,7860,39312,59921,37,4,10,207,376,634,1,195,7750,43656,51406,1,35,146,,146,,,2,98,20,,118,5,818,5726,98,5824,1831,498,2329,3382,340000,530000
1980,1981,Fargo,,,,,1,,,,,110,10,3,24,23,3,144,26,170,,,17,5,,342,,110,93,17,57,,27,13,14,1,55,9,12,,,,67,,,,,1,248,222,470,,,,,15,2738,,,,,,,5511,9756,18542,1,,5,55,125,186,12,743,30222,47579,77801,,,,,,,,,,,,,,,2349,110,2459,457,557,1014,702,113509,372960
1980,1981,Fort Wayne-South Bend,,,,,1,1,2,,,99,7,1,25,214,18,131,232,363,2,3,17,171,6,602,11,89,87,2,,,2,2,,,,,21,3,77,1,98,5,7425,5292,12717,5,1680,1724,3404,,,,,43,12235,,,,,,,3819,7825,40098,77,,21,177,611,886,9,868,33387,201293,234680,1,40,614,20509,21123,1,99,,,,104,104,2,203,2911,623,3534,683,697,1380,2223,151724,980952
1980,1981,Fort Worth,,,,,,,1,,,56,6,3,6,42,,68,42,110,8,1,17,14,,183,,78,53,25,1,14,35,8,27,,,,13,,,,13,,,,,4,585,689,1274,,,,,14,3879,1,108,111,219,,,3970,11723,21078,1,,11,35,248,295,2,678,25028,46418,71446,,,,,,2,236,1,49,39,412,500,2,640,2971,402,3373,418,420,838,659,91500,1583929
1980,1981,Fresno,,,,,1,,1,,,90,9,,19,55,,118,55,173,13,2,1,16,,183,1,85,83,2,38,23,33,4,29,,,,21,,,,21,,,,,2,795,664,,,,,,24,6463,1,136,139,275,,,5104,22344,35666,1,,12,84,248,345,4,701,46357,306279,352279,,,,,,,,1,16,,,16,1,88,11450,458,11908,1546,610,2156,2087,307000,1398800
1980,1981,Gallup,,,,,1,,,,,35,13,2,5,55,,53,55,108,4,3,7,26,,169,,56,56,,45,42,4,1,3,1,1,,12,,,,13,,,,,,,,,2,30,90,120,8,1705,1,130,140,270,,,1855,6231,10194,1,,2,48,46,97,,,,,,,,,,,,,1,2,2,,4,,,1559,262,1821,182,137,319,223,54184,325530
1980,1981,Galveston-Houston,,,,,1,1,1,,,169,10,1,26,237,5,205,242,447,20,6,101,32,,657,12,143,143,,17,4,71,7,64,1,23,20,6,3,15,,44,1,658,1166,1824,1,159,153,312,8,2029,1803,3832,466,12918,2,55,314,369,,,9696,39590,68585,57,6,8,172,1008,1251,3,1248,47702,250144,297846,2,,,108947,108947,1,159,,,,145,145,2,380,14304,1146,15450,1885,1325,3210,3860,494370,3086837
1980,1981,Gary,,,,,1,,,,,118,6,,20,70,7,144,77,221,,4,1,29,1,313,3,86,83,3,2,,73,28,45,,,,27,,,,27,1,538,836,1374,3,1344,1407,2751,1,75,24,99,41,11814,1,124,,124,,,2572,11540,30301,30,2,20,151,527,730,7,2103,80325,448982,529307,,,,,,,,3,79,40,24,143,3,395,3424,461,3885,722,475,1197,1708,191950,787949
1980,1981,Gaylord,,,,,1,,,,,53,2,1,5,18,,60,18,78,3,2,1,4,1,148,,59,58,1,26,3,31,4,27,,,,30,,,,30,,,,,5,565,613,1178,,,,,19,4225,1,41,22,63,,,2109,6857,14462,1,,2,79,181,263,3,370,14146,71462,85608,,,,,,,,,,,26,26,1,51,1738,274,2012,501,429,930,775,84969,384189
1980,1981,Grand Island,,,,,1,,1,,,64,7,1,14,1,,85,1,86,,,,,,143,,51,51,39,5,34,5,29,,,,,22,,,,22,,,,,7,687,633,1320,,,,,3,1004,,,,,,,2722,5894,10962,10,,,35,136,181,3,318,15446,32069,47515,,,,,,,,,,,,,2,170,1294,248,1542,272,307,579,484,51703,299012
1980,1981,Grand Rapids,,,,,1,1,,,,124,3,,40,31,8,167,39,206,,1,17,4,4,665,17,92,87,5,11,,47,11,36,2,48,12,29,,,,77,1,1218,1857,3075,4,1505,1444,2949,,,,,44,8601,2,152,140,292,1,24,3750,14300,33068,4,,,118,404,526,2,608,26767,163217,189984,,,,,,1,98,3,130,34,198,362,2,248,3477,583,4060,922,771,1693,1358,150830,899238
1980,1981,Great Falls-Billings,,,,,1,,1,,,67,5,,17,36,4,89,40,129,2,1,4,5,1,176,4,74,63,11,61,5,16,3,13,,,,6,,,,6,1,618,635,1253,3,275,309,584,,,,,16,2485,1,47,53,100,,,2354,5739,12521,4,,4,54,163,222,3,572,27916,140564,168480,,,,,,,,,,,,,,,1811,290,2101,287,406,693,718,65792,351858
1980,1981,Green Bay,,,,,1,1,1,1,1,212,15,4,66,184,26,293,210,503,2,4,42,73,4,902,32,194,187,7,29,12,45,45,,,,,25,1,8,,33,2,925,1107,2032,5,1163,1107,2270,4,883,635,1518,96,19507,,,,,1,30,21600,36739,83729,42,2,17,349,1065,1465,6,1742,56870,284794,341664,,,,,,1,52,,,,55,55,7,510,6073,447,6520,1990,807,2797,2595,341064,736053
1980,1981,Greensburg,,,,,1,1,,1,1,166,13,1,14,105,10,193,115,308,1,7,1,12,4,464,9,117,113,4,28,,59,7,52,,,,32,1,17,9,49,2,831,933,1764,2,751,716,1467,,,,,46,8741,2,141,131,272,,,6792,16236,35321,46,,6,231,445,728,1,220,8200,69839,78039,,,,,,,,,,,16,16,2,185,3152,357,3509,961,760,1721,2359,228793,735127
1980,1981,Harrisburg,,,,,1,1,1,,,149,8,,19,80,10,176,90,266,4,6,41,12,2,868,14,112,109,3,12,35,102,16,86,,,,35,,,,35,,,,,7,2223,2485,4708,3,117,130,247,56,12549,4,38,56,94,1,45,3520,15275,36203,27,,,329,551,907,2,694,28228,286250,314478,,,,,,1,200,1,45,,15,60,7,631,4162,703,4865,763,1042,1805,1840,209106,1844980
1980,1981,Hartford (Archdiocese),,,1,,,2,,,,478,18,,43,119,34,539,153,692,4,6,179,61,5,791,39,223,223,,3,4,1,1,,1,117,10,26,2,47,,190,3,75,18227,1902,6,2809,3482,6291,9,2187,2695,4881,91,22701,6,233,323,556,,,11957,61155,109634,198,32,18,379,1037,1664,3,1530,57318,387479,444797,1,16,64,,64,2,417,,,,132,132,5,681,11022,388,11410,4059,1343,5402,7481,785871,1756790
1980,1981,Helena,,,,,1,,,,,89,17,1,19,18,7,125,25,150,2,1,8,7,,77,4,59,57,2,41,30,40,6,34,1,10,5,8,,,,18,1,550,776,1326,2,388,359,747,,,,,4,740,,,,,,,1771,6895,11497,15,,6,25,134,180,3,437,16634,69461,86095,,,,,,,,,,,,,,,1594,448,2042,318,384,702,837,65025,368268
1980,1981,Honolulu,,,,,1,1,,,,43,5,,3,106,1,51,107,158,14,1,1,62,,534,,64,5,59,,,,,,1,5,,7,1,1,,13,1,1474,831,2305,4,574,995,1569,4,1846,909,2755,28,10106,3,15,683,698,,,1708,8877,28031,14,,40,191,546,791,1,308,7745,88085,95830,1,14,4986,21023,26009,,,,,,,,,,4724,399,5123,736,445,1181,1210,201186,963617
1980,1981,Houma-Thibodaux,,,,,1,,,,,52,1,,5,7,,58,7,65,1,1,26,9,,73,,35,34,1,8,3,8,,8,,,,20,,,,20,,,,,3,658,676,1334,,,,,15,4918,,,,,,,3545,11230,21047,1,,8,35,273,317,,,,,,,,,,,,,,,,,,,,2613,66,2679,794,149,,,130417,182000
1980,1981,Indianapolis (Archdiocese),,,1,1,,,,1,2,181,10,,42,169,18,233,187,420,12,,,77,3,1171,12,142,130,12,17,,75,61,14,,,,30,1,17,25,47,2,270,1282,1552,6,1979,1986,3965,3,628,792,1420,74,16485,,,,,1,105,5820,11560,40954,69,,7,217,905,1198,2,1098,44400,173877,218277,,,,,,,,,,,118,118,3,343,4694,1220,5914,930,1215,2145,1691,203412,2127915
1980,1981,Jackson,,,,,1,1,,,,59,5,2,13,44,,144,76,121,,,9,14,,281,2,73,71,2,28,3,3,2,1,,,,12,,,,12,,,,,5,823,864,1687,,,,,20,3868,,,,,,,1350,2975,9892,4,,,56,304,364,2,566,21284,64897,56181,,,,,,2,86,,,,12,12,1,225,940,302,1242,85,351,436,241,44122,1777300
1980,1981,Jefferson City,,,,,1,,,,,95,13,8,21,11,,129,11,140,6,6,35,14,,142,,94,83,11,21,2,5,4,1,1,32,9,41,,,,73,,,,,2,468,472,940,,,,,36,6012,,,,,,,3482,4497,15004,7,,13,91,290,401,3,390,13255,66755,80100,,,,,,,,,,,,,1,90,1804,341,2153,433,492,925,696,84010,700000
1980,1981,Joliet,,,,,1,1,1,1,1,169,17,1,23,172,8,209,180,389,12,9,41,280,2,1089,7,113,112,1,12,,92,32,60,,,,51,2,7,,58,3,2890,2377,5267,2,665,700,1365,7,2777,2620,5397,64,18690,1,119,119,238,2,180,5219,36498,72912,50,,42,271,1112,1475,2,811,30994,99621,130615,1,91,783,18251,19034,1,149,1,20,,9,29,4,1330,7876,497,8373,1687,1003,2690,2140,411000,1200000
1980,1981,Juneau,,,,,1,,,,,11,3,,1,1,,15,1,16,2,,9,,,16,,10,9,1,13,7,1,,1,,,,2,,,,2,,,,,,,,,,,,,1,155,,,,,,,162,493,812,,,,5,9,14,1,51,1867,15274,17141,1,45,45,12,57,,,,,,,,,,125,12,137,25,38,63,16,4906,46225
1980,1981,Kalamazoo,,,,,1,,,,,43,,,15,31,2,58,33,91,4,,18,8,,306,,46,46,,17,,38,7,31,,,,13,,,,13,1,97,444,541,3,601,548,1149,,,,,21,4122,,,,,,,1960,6116,13901,2,,3,40,270,315,3,775,30574,306371,336945,,,,,,,,,,,,,,,1882,405,2287,441,516,957,738,94979,863911
1980,1981,Kansas City,,,,,1,1,,1,2,105,7,1,14,124,8,126,132,258,,,,28,,1200,6,119,91,28,27,,27,27,,1,40,,42,1,6,,70,3,1100,1638,2738,5,1371,1437,2808,2,258,192,450,38,9234,,,,,,,3687,10252,29239,23,,3,232,732,981,4,853,29135,140212,169347,,,,,,,,2,21,21,,42,1,175,3177,632,3809,722,643,1365,1067,147026,883000
1980,1981,Kansas City-St. Joseph,,,,,1,1,1,1,1,119,6,3,31,170,,156,170,326,,4,47,61,,641,,98,91,7,13,,57,13,44,1,44,,33,2,78,14,155,2,2245,3104,5349,5,1311,1502,2813,4,916,933,1849,43,11026,2,231,319,550,,,850,6600,29192,91,2,25,257,1139,1514,4,968,28494,95516,124010,,,,,,,,,,,,,7,676,2821,865,3686,579,588,1167,1265,142639,1260051
1980,1981,La Crosse,,,,,1,1,,,,197,16,4,57,24,16,270,40,310,1,,,19,4,636,22,169,159,10,25,,96,12,84,,,,55,,,,55,1,220,893,1113,7,1537,1676,3213,,,,,76,14232,1,28,14,42,,,11208,19403,49266,8,,8,243,799,1058,8,1657,76561,299903,376464,5,101,,,,2,596,1,28,14,121,163,6,535,4606,416,5022,1382,737,2119,1871,227739,751203
1980,1981,"Lafayette, IN",,,,,1,,,,,87,12,,11,63,4,110,67,177,,1,2,7,,156,5,62,58,4,2,5,11,5,6,,,,30,1,20,,50,1,608,394,1002,2,279,257,536,,,,,21,3608,,,,,,,3458,7837,16491,23,,,50,170,243,4,1019,39456,404795,444251,,,,,,2,231,,,,37,37,,,1818,584,2402,343,456,799,676,86975,986880
