Year,Year_OCD,Diocese,PerCd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,RPrResDio,Pr:frgnms,Pr:D,Pr:R,Pr:Tot,PrOthDio,Ord:TrDeac,Ord:PrmDeac,TotBr,Br:frgnms,TotSis,Sis:frgnms,Prsh,WResPstr,WoResPstr,Ms,Stns,Chpls,WResChap,Non-resChap,"Educational Seminaries, Diocesan",Students From this Diocese,Students From Other Diocese,Diocesan Students in Other Seminaries,"Seminaries, Religious","Students, Religious",Diocesan students from this diocese,TotSemnr,College and Universities,Men,Women,Total Students (college and univ),"High Schools, Diocesan and Parish",Boys,Girls,Total Students (dioc hs),"High Schools, Private",Boys (priv hs),Girls (priv hs),Total Students (priv hs),"Elementary Schools, Diocesan and Parish",Total Students (dioc elem),"Elementary Schools, Private",. boys,. girls,Total Students (priv elem),Protective Institutions,Total Students (protective inst),Catechesis/Religious Education: High School Students,Catechesis/Religious Education: Elementary Students,Total Students Under Catholic Instruction,Teachers in the Diocese: Priests,Teachers in the Diocese: Scholastics,Teachers in the Diocese: Brothers,Teachers in the Diocese: Sisters,Teachers in the Diocese: Paid Lay Teachers,Total Teachers in diocese,General Hospital,Bed Capacity,In Patients treated Annually,Out-Patients treated annually,Total Patients,Special Hospital or Sanatoria,. Beds,In-patients treated (annual),out patients treated (annual),total patients (special hosp),Schools for nurses,Student Nurses,Homes for Dependent Children,Resident Boys,Resident Girls,Children in Foster Homes,Total Dependent Children,Homes for Invalid and aged,Guests,InfBapt,Cnvrt,TotBapt,Mar:Cath,Mar:Inter,Total Marriages,Dth,TotCath,TotPop
1980,1981,Sioux Falls,,,,,1,,1,1,1,124,7,1,13,60,10,144,70,214,2,3,3,28,3,480,4,122,100,22,31,,30,,30,,,,22,,,,22,2,212,719,931,3,606,643,1249,,,,,24,4268,,,,,,,7682,14875,29027,8,,3,97,185,293,10,1350,50287,107143,157430,,,,,,1,38,1,18,19,10,47,5,340,2386,398,2784,640,620,1260,1008,99897,482348
1980,1981,Spokane,,,,,1,,1,,,75,7,2,15,85,10,97,95,192,2,1,25,14,2,398,7,58,51,7,30,2,20,,20,1,5,,7,1,43,,55,2,2305,1584,3889,1,125,101,226,1,525,525,1050,19,3641,,,,,2,93,1936,4607,15497,53,4,8,55,345,465,6,1048,88571,217670,306241,,,,,,,,2,20,19,57,96,6,520,1702,359,2061,361,375,736,690,74709,576346
1980,1981,"Springfield, IL",,,,,1,,1,,,150,3,,29,91,13,182,104,286,3,9,,33,5,992,22,144,127,17,36,,112,28,84,1,13,,26,3,52,,91,2,981,1210,2191,3,1120,321,1441,6,973,1951,2924,62,13932,,,,,1,47,4649,9202,34477,44,,13,259,663,979,10,2964,102218,416603,518821,2,116,157,,157,1,205,1,27,23,94,144,2,228,3748,761,4509,839,862,1701,1858,184023,1133678
1980,1981,"Springfield, MA",,,,,1,1,1,,,207,9,,55,114,20,271,134,405,2,4,,27,2,960,28,136,136,,15,15,70,22,48,,,,23,2,59,,82,1,,530,530,4,1529,1677,3206,,,,,34,10123,1,92,100,192,,,14418,33383,61934,29,1,1,277,435,743,3,630,20313,152761,173074,,,,,,,,1,51,,25,76,3,263,5268,229,5497,2204,670,2874,4162,353365,790725
1980,1981,Springfield-Cape Girardeau,,,,,1,,,1,,66,,,15,60,6,81,66,147,3,,1,64,2,226,7,62,61,1,26,4,27,1,26,,,,20,2,50,,70,,,,,3,357,339,696,,,,,22,2654,,,,,,,1867,3874,9161,1,,,51,179,231,6,1499,58720,147557,206277,1,150,150,,150,1,146,,,,,,,,898,273,1171,173,302,475,474,51477,833669
1980,1981,St. Augustine,,,,,1,,1,,,58,3,,2,21,4,63,25,88,7,2,2,2,,150,,44,44,,14,8,20,1,19,,,,21,,,,21,,,,,2,721,710,1431,,,,,15,4927,1,14,18,32,2,86,1450,5193,13140,6,,1,43,260,310,1,518,23132,71943,95075,1,232,220,,220,,,,,,,,1,57,1411,312,1723,234,301,535,574,68976,1060200
1980,1981,St. Cloud,,,,,1,,1,1,2,127,12,4,20,143,23,159,166,325,4,1,7,92,6,888,73,135,127,8,11,,27,18,9,1,8,75,27,2,27,11,62,3,2227,1961,4188,1,306,310,616,2,307,58,365,37,6662,,,,,4,101,10252,17890,40136,78,3,22,268,357,728,5,886,31182,78339,109521,,,,,,1,259,3,62,31,15,108,13,1332,3739,231,3970,1057,486,1543,1150,152956,349853
1980,1981,St. Louis (Archdiocese),,1,1,,,3,,1,,521,35,14,63,502,50,619,552,1171,,11,29,202,11,3367,87,246,237,9,9,,65,51,14,4,266,87,6,7,175,,447,5,6338,7410,13748,18,5528,5968,11496,16,4160,4023,8183,171,46460,7,923,837,1760,,,2203,14095,98392,170,8,55,728,3419,4380,10,3825,137854,568323,706177,3,421,11301,106794,118095,,,5,106,80,222,408,12,1960,9551,1342,10893,2846,1844,4690,4730,533706,1924220
1980,1981,St. Paul and Minneapolis (Archdiocese),,,1,,,3,,,,311,18,4,72,180,32,401,212,613,26,6,54,73,7,1559,38,217,208,9,6,51,83,57,26,2,65,147,2,,,,67,3,3224,4456,7680,9,3365,3193,6558,5,1229,1344,2573,109,31469,1,66,109,175,,,22000,44000,114522,55,,29,567,2039,2690,6,1257,48636,160478,209114,1,40,102,,102,1,808,1,68,35,48,151,7,1157,11831,1221,13052,2738,2416,5154,4349,561405,2173572
1980,1981,St. Petersburg,,,,,1,1,,1,1,101,7,1,9,114,3,117,117,234,36,3,8,44,,417,4,85,85,,6,1,177,10,167,,,,27,,,,27,1,594,490,1084,5,1636,1810,3446,2,620,372,992,30,10204,3,501,597,1098,,,2775,13446,33075,22,3,13,172,728,938,3,1226,46567,105629,152196,,,,,,,,,,,,,3,415,4282,688,4970,951,898,1849,3945,286072,2410527
1980,1981,Steubenville,,,,,,,,,,105,26,2,33,14,2,164,16,180,1,4,1,7,1,140,2,74,71,3,16,1,37,11,26,,,,33,,,,33,1,429,574,1003,4,626,706,1332,,,,,17,3500,1,37,27,64,1,224,1997,4269,12422,30,,1,96,222,349,1,232,8260,41914,50174,,,,,,,,1,100,124,,224,,,1169,208,1377,285,392,677,669,53600,545060
