Year,Year_OCD,Year established,Diocese,ST,Cd,Cd:Ret,ABp,ABp:Ret,Bp,Bp:Ret,AuxBp,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,DStdntOthSem,StdntOthDio,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Br,Tchrs:Schlstics,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,MinorBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2013,2014,,Albany,NY,,,,,1,1,,,,97,4,,94,195,68,263,11,1,,2,4,107,56,604,127,94,8,,8,,7,10,,,13,7,,,4,10,270,3,1320000,17,74100,,,3,96,2,91,11,220,75,83415,17,105,18,833,,,,,,,,4,10000,4,1090,3,1053,19,4559,2,196,,,5399,15953,38250,,12,,12,686,2927,125,70,124,3347,3234,619,274,893,4198,330000,1392464
2013,2014,,Alexandria,LA,,,,,1,,,,,32,9,,16,57,11,68,17,,,,,19,3,28,50,30,6,9,,,,,,,21,,,,3,28,15,1,299149,1,350,1,104,,,,,,,8,925,1,202,1,58900,,,11,,,,11,,,3,576,,,7,1754,,,,,891,2080,5312,,,,3,184,524,57,31,96,546,455,107,97,56,591,42929,383421
2013,2014,1/28/1961,Allentown,PA,,,,,1,1,,,,119,9,,63,255,64,255,4,1,1,4,1,102,15,340,104,94,4,4,,,,,2,,1,,,,,,,2,487368,1,256,13,1134,,,1,127,3,682,5,28054,1,63,,,,,18,,,,18,2,7105,7,3531,,,38,8770,,,3,118,320,15450,35312,,,,9,775,2440,121,,121,3345,2874,553,168,721,2741,263243,1272212
2013,2014,5/27/1901,Altoona-Johnstown,PA,,,,,1,1,,,,73,11,,29,113,59,172,1,,3,2,38,38,10,64,87,69,15,,3,,,,,,5,,,,,,,,,1,359644,3,342,,,,,,,2,33660,,,,,,,4,,,,4,2,4247,,,4,1064,20,3437,,,,,2428,5936,17116,,1,,2,329,829,42,54,164,1031,1145,239,175,414,1486,87592,650389
2013,2014,8/25/1926,Amarillo,TX,,,,,1,1,,,,23,3,,16,42,5,47,11,1,,,,,57,,38,22,3,13,,,,,,,11,,,,,1,20,,,,,,,,,1,129,3,340,1,3750,,,1,1,,,4,,,,4,,,1,86,,,4,739,,,,,1677,4622,7128,1,,,2,67,962,114,40,89,1095,296,195,31,226,332,46650,435408
2013,2014,2/9/1966,Anchorage,AK,,,1,1,,,,,,20,,1,4,25,11,36,7,1,,,,13,,23,23,9,12,6,,,,1,,,,,,,,23,18,1,67543,5,641,1,85,,,,,,,4,22000,,,,,,3,3,,,,6,,,1,85,1,28,3,245,1,79,,,652,1702,2797,,,,23,48,447,44,38,52,411,248,52,30,82,81,27345,400000
2013,2014,8/13/1974,Arlington,VA,,,,,1,,,1,,129,12,1,28,170,59,229,29,7,,5,2,69,8,132,68,58,10,,,,,,,,6,1,,,,44,,,,1,250,,,,,31,1404,2,62,7,42349,,,,,,,38,,,,38,4,5230,4,3544,2,539,39,13025,2,318,,,2606,32747,58047,4,2,,27,1179,6934,641,372,897,8157,6288,652,748,1400,1720,440028,3103653
2013,2014,7/2/1956,Atlanta,GA,,,1,,,,2,1,,134,10,,43,187,80,267,10,7,,6,12,246,20,78,88,69,19,,,,,,,,11,,1,,4,5,131,4,318989,,,3,95,,,,,,,4,22000,,,,,,,44,,,,44,,,3,2511,4,1750,15,5983,3,1381,,,10888,33292,55849,16,,,6,1027,8417,663,382,1124,9522,5532,1242,374,1616,1095,1000000,6998399
2013,2014,1/1/1948,Austin,TX,,,,,1,1,,,,96,9,,33,138,53,191,28,5,,1,,169,40,95,102,,2,,,,,,,,21,3,1,,2,20,166,5,1581230,,,2,528,,,2,170,2,822,4,3917,,,,,,,39,,,,39,1,5285,4,1136,2,457,16,3711,1,438,,,9399,27676,48141,5,13,,15,1102,7389,668,407,747,8927,4867,1137,289,1426,1512,549420,2974659
2013,2014,5/19/1903,Baker,OR,,,,,1,1,,,,16,4,,16,36,6,42,14,,,,,9,,16,35,27,4,3,,,,,,,24,,,,,,,4,315122,,,3,193,,,1,12,,,8,68059,,,,,,,5,,,,5,,,,,,,5,509,,,,,940,2264,3718,,,,,16,751,94,54,128,930,805,107,31,138,249,35961,603926
2013,2014,,Baltimore,MD,,1,1,,,1,2,,,159,14,,57,230,208,438,56,2,,6,16,168,61,789,145,90,28,22,3,,,2,,,8,,,,2,27,185,5,1851483,4,2095,28,5069,5,1548,6,1038,6,995,28,416737,1,259,1,2540,2,20,9,213,,,29,4,11182,7,3348,13,7197,41,15283,7,1065,1,120,3176,24548,65948,54,13,,62,3400,5381,,444,481,5084,4892,908,366,1274,4389,485167,3199194
2013,2014,7/20/1961,Baton Rouge,LA,,,,,1,,,,,51,,,21,72,26,98,7,1,,1,8,73,19,81,67,36,7,23,,,,1,,,,,,,1,5,92,3,631029,,,7,729,,,,,5,319,8,255012,,,,,,,19,,,,19,1,1753,6,2107,2,2125,24,10992,,,,,4113,7719,28828,1,6,,8,1016,2007,146,148,305,2435,2101,462,170,632,1593,197069,975750
