El Paso,2074,3246,3642,3715,3730,3842,3842,3957,3957,3957,3315,3488,3046,3296,3697,3810,4282,3910,3678,3728
Erie,2667,2706,2574,2720,4223,2616,2409,2378,2245,2191,2150,2168,2166,1955,1962,1770,1700,1800,1665,1670
Evansville,982,1889,1506,1260,1570,1628,1418,1027,860,502,1065,1032,1123,1197,1047,1065,1057,1161,1037,975
Fairbanks,74,154,141,178,177,299,171,73,124,189,127,95,197,163,104,85,134,87,139,101
Fall River,4401,4320,4300,4290,4539,3737,4090,4012,4012,4077,4098,4022,3845,3274,3546,3422,3355,3232,3171,2901
Fargo,1449,1447,1748,1558,1370,1303,1387,1400,2571,4530,3143,1360,1257,1118,1120,1137,1142,1026,1117,1174
Fort Wayne-South Bend,2037,2190,2954,2663,2883,3069,2561,2637,2947,2794,2552,2763,1545,3560,2770,2753,2548,2695,2525,2389
Fort Worth,1498,1753,2290,2364,2983,2798,3051,3200,3174,3036,3395,2950,3120,3302,3767,3403,3403,3620,3745,3697
Fresno,2322,3262,3195,3732,3932,3847,4320,4238,4020,4483,4648,4663,4703,5274,5778,6490,5956,6384,6122,6830
Gallup,565,309,667,681,458,647,520,530,708,642,505,527,584,493,475,406,466,511,460,358
Galveston-Houston,4506,9901,7078,7578,7907,8062,7687,8411,9283,9304,10215,9998,10077,9577,9857,10017,11093,11183,11965,11874
Gary,2496,2221,2048,1998,2342,2082,2135,1974,1932,1922,1925,1915,1817,1842,1972,1850,1854,1702,1633,1640
Gaylord,820,,1421,1494,1622,1539,1354,2175,2232,1176,1058,935,1043,827,845,904,816,838,734,611
Grand Island,761,,833,875,972,773,827,776,895,758,668,652,699,630,670,682,665,650,637,604
Grand Rapids,2010,2013,2406,2419,2441,2352,2483,2666,2856,2503,2455,2368,2405,2124,2132,1955,2219,2091,2156,2057
Great Falls-Billings,677,843,879,1150,2804,2396,1720,1341,1127,1037,869,914,795,793,799,725,785,527,652,439
Green Bay,3698,3811,3914,3789,3914,3535,3792,3663,3814,3638,3520,3609,3357,3184,3143,3186,3007,2741,2603,2643
Greensburg,2672,3055,2828,2786,2610,2503,2344,2486,2369,2161,227,2079,1867,1747,1737,578,675,633,417,667
Harrisburg,3191,2210,3432,3004,3640,3226,3182,3278,3380,3187,3205,3197,3205,2970,3030,2836,2817,2536,2357,2562
Hartford,6870,6738,7402,7416,7664,7830,7974,7702,8072,7878,7878,7989,7532,6868,7192,6946,6763,6678,6470,6152
Helena,239,844,814,542,990,763,919,801,1182,1075,835,644,606,676,742,653,634,570,490,490
Holy Protection of Mary - Byzantine,,,,,,,,,,,,,,,,106,99,116,108,114
Honolulu,1052,1124,1278,1360,1366,1052,1193,1296,1248,1265,1097,1189,1225,1394,1097,1252,1307,1207,1251,1142
Houma-Thibodaux,1341,5069,1449,1471,1380,1304,1234,1362,1259,1288,480,921,1004,1004,992,883,909,908,994,899
Indianapolis,2304,2312,2276,2088,2487,3093,3955,2889,2824,2921,2699,3061,2866,2838,3194,2458,3105,3259,3473,3030
Jackson,408,469,474,588,381,488,414,538,374,477,482,436,431,503,439,395,364,543,468,451
Jefferson City,1203,1192,1407,1504,1170,1603,1417,1591,1437,1454,1087,1068,1123,1573,1096,1362,1195,1227,1128,1294
Joliet,5557,,,7173,,,,,,,,,,,,,,,,
Joliet IL,,6424,6789,,7148,7571,7412,7792,7546,7853,7872,8223,8068,8610,8268,8320,8177,7926,7721,7282
Juneau,20,46,33,57,104,216,109,112,87,93,58,84,53,33,74,64,75,111,84,68
Kalamazoo,1107,1199,1330,1461,1199,1522,1383,1371,1325,1088,1131,1269,1162,1148,1116,1101,1025,1068,1008,997
Kansas City KS,2023,2645,2877,3028,3200,3353,3390,3000,3394,3551,3574,3576,3482,3446,3593,3427,3674,3231,3149,3573
Kansas City-St. Joseph,1423,1584,1692,1776,2053,1958,1701,1840,2029,1680,1720,1850,1879,1549,1823,2274,1855,1660,1850,1808
Knoxville,370,570,665,754,700,859,723,822,783,664,742,837,749,659,742,672,655,825,747,699
La Crosse,3180,3064,3318,3435,3274,3328,3181,3181,3181,4529,3130,2926,2711,615,2491,2314,2323,1891,1571,1828
Lafayette IN,1261,1225,1252,1380,1520,1967,1573,1650,1501,1618,1776,1303,1714,1520,1639,1646,1660,1637,1683,1680
Lafayette LA,4028,4288,4325,4185,4467,4143,3874,3716,3677,3611,3069,3119,3400,2952,3068,2898,2850,2783,2716,2436
Lake Charles,1143,1228,1086,1115,1271,1271,1103,1134,984,1022,984,940,740,972,902,750,758,722,685,668
Lansing,2873,3753,3559,3586,3784,3778,3798,3916,3463,3228,4045,3379,3415,3273,3298,3046,2800,2898,2947,2824
Laredo,,,,,,2184,696,573,502,857,690,852,868,1036,1450,1618,1715,1579,1632,1668
Las Cruces,1020,1095,1231,1264,1508,1664,1425,1266,1588,1330,1196,1303,1362,1054,1055,1514,1554,1213,1408,1289
Las Vegas,,,984,1065,1087,1044,1301,1278,1320,1846,1612,1773,1819,1740,1835,1939,1664,1833,1874,1892
Lexington,686,896,720,716,777,803,883,766,931,759,815,787,866,1097,848,869,759,674,588,596
Lincoln,1448,1616,2243,1856,1374,1247,1432,1683,1793,1427,1670,1865,1640,1366,1526,1555,1515,1675,1347,1795
Little Rock,1093,1176,1206,1453,1356,1515,1457,1374,1626,1415,1383,1539,1748,1614,1649,1797,1804,1984,2046,2077
Los Angeles,5118,14845,15494,17283,17186,18013,19579,19837,22056,23955,23788,26048,26036,24912,27799,25041,24907,25692,26083,24637
Louisville,2873,3247,2649,3068,2820,2695,3021,2897,2704,2655,2759,2594,2709,2499,2657,2478,2350,2360,2398,2261
Lubbock,930,1081,947,744,939,993,725,725,665,797,837,960,960,756,860,721,946,740,616,643
Madison,2152,2445,2580,2404,2347,2642,2718,2535,2249,2586,2372,2767,2273,2451,2146,2307,2081,2250,2112,1943
Manchester,2925,2875,3044,3137,3102,3168,3168,3342,3392,3012,3135,3290,3009,2921,2645,2872,2280,2641,1815,1952
Marquette,1069,1180,1060,994,1201,973,827,1185,2878,2910,1906,1062,825,536,189,106,159,120,94,73
Memphis,761,1040,1131,1176,1143,1081,991,1081,1083,1115,1069,1065,1159,1088,1101,1349,1213,1273,1145,1227
Metuchen,4690,4905,5319,5300,5611,5674,5771,6121,6282,6629,5964,6159,6373,6119,5756,5961,5558,5449,5381,5279
Miami,6842,8435,7649,8622,8640,8733,8382,9490,9041,9070,8761,8976,8675,8478,8246,8583,8503,8112,8005,7554
Military Services USA,,3419,,,3761,5098,2293,2856,2302,2302,2871,2661,2517,2138,2165,2113,3253,2317,2140,2138
Milwaukee,6140,5847,6046,6349,6339,6312,6011,6537,6427,5930,6038,5997,5907,5485,5664,5128,5377,5168,5034,5020
Mobile,995,1216,1232,1073,1132,1137,1040,1135,962,1167,1085,929,1239,1061,1127,935,1193,793,357,456
Monterey,789,853,1072,1058,1209,1202,1163,1039,1530,1194,1244,1375,1533,1412,1408,1777,1703,1751,1854,1865
