Year,Year_OCD,Year established,ST,Diocese,Cd,Cd:Ret,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,MinorBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2007,2008,2/21/1969,,Parma-Byzantine,,,,,1,0,,,,26,4,,12,42,1,43,6,1,,,5,11,,9,31,,,,,0,,,,,4,2,,,,,,,,,,,,,,1,42,,,5,10000,,,,,,,,1,,,1,,,,,,,1,180,,,,,120,430,731,,,,3,10,86,5,4,26,23,25,23,8,31,202,8839,
2007,2008,7/31/1963,,Passaic - Byzantine,,,,,1,0,1,,,52,6,,12,70,13,83,2,,,,5,27,1,19,86,,,,,0,,,,4,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,334,1158,1493,,,,,,163,7,13,19,180,184,40,20,60,488,18874,
2007,2008,12/9/1937,NJ,Paterson,,,,,1,0,1,2,5,145,18,,85,248,139,387,22,5,1,4,15,208,28,734,111,98,9,4,0,0,0,0,0,,,5,,,2,34,136,3,837000,,,6,440,1,70,6,1800,2,1500,13,44000,12,90,,,,,,39,3,7,46,2,2079,4,2710,4,1267,48,11976,3,634,,,10101,35783,64596,14,,6,99,1200,7607,110,146,229,7244,5238,1044,270,1314,3286,425000,1143647
2007,2008,11/6/1975,FL,Pensacola-Tallahassee,,,,,1,0,,,,47,8,,20,75,17,92,23,1,,1,,56,5,24,49,37,12,10,0,0,0,0,0,,9,,,,4,7,57,1,26824,,,2,607,,,,,,,4,24011,,,2,37,,,,14,,,14,,,2,724,,,9,2214,,,1,16,1057,4033,8058,,,,7,234,936,117,117,228,1072,941,181,114,295,495,71364,1340617
2007,2008,,IL,Peoria,,,,,1,0,,2,1,145,11,1,60,217,32,249,13,3,3,5,29,133,9,217,159,130,21,12,0,0,0,0,0,,28,,,2,,,,9,4130787,,,4,392,,,3,444,1,26,1,33472,,,,,,,,33,,,33,1,434,7,2770,,,40,9658,,,,,1972,10980,25847,13,,2,10,883,2701,175,288,435,2848,3490,587,396,983,2087,169375,1447418
2007,2008,,PA,Philadelphia,1,1,,,,4,2,1,,452,21,,144,617,368,985,32,7,,,,236,107,2953,270,246,24,0,0,0,0,0,0,,7,19,,,1,125,253,7,817985,1,125,38,6431,2,619,2,96,3,2239,19,96007,7,644,19,20197,1,42,105,,1,6,48,11,40462,20,19995,15,7710,189,59915,16,4855,5,245,1069,53452,187751,113,,35,477,9082,145116,,1059,496,13778,13355,3331,1366,4697,11522,1460758,3885395
2007,2008,5/28/1913,,Philadelphia-Ukrainian,,,1,1,,1,1,,,37,,,7,44,5,49,6,,,,,5,1,60,68,,,,,0,,,,,,,,,1,33,10,,,,,2,240,,,1,60,,,,,,,,,1,4,9,,,,4,1,924,,,1,403,5,661,,,,,53,422,2467,1,,,22,172,199,4,12,35,225,200,43,22,65,404,22274,
2007,2008,12/2/1969,AZ,Phoenix,,,,,1,0,1,,,81,1,,64,146,82,228,32,6,,3,,241,18,202,91,58,18,0,3,0,1,1,0,,21,1,,,6,51,392,2,447137,1,12886,15,654,1,3,8,1861,21,18082,10,1633740,1,107,1,648,,,,26,,,26,,,5,3849,1,1270,26,9010,3,1166,,,4122,28842,48285,14,,6,47,1010,11251,870,385,1656,8678,15829,1063,317,1380,3480,644119,5130632
2007,2008,,PA,Pittsburgh,,,,,1,1,2,,,270,17,1,87,375,107,482,38,3,,3,,43,36,1245,214,185,10,19,0,0,0,0,0,,,,,,4,62,214,1,2284448,1,380,9,1679,,,10,1367,6,3034,7,115911,1,175,1,300,1,15,,14,,,29,3,12909,8,3320,4,729,97,19920,4,854,2,175,5976,42783,86695,2,,8,59,1769,6032,237,293,586,7351,7734,1578,700,2278,8694,747085,1934328
2007,2008,2/25/1924,,Pittsburgh - Byzantine,,,1,,,0,,1,,42,,,18,60,7,67,12,,,,3,16,3,87,79,,,,,0,,,,,2,3,,,1,10,,,,,,2,353,,,,,,,,,,,,,1,2,3,,,,2,,,,,,,1,155,,,,,321,1076,1554,,,,2,11,168,2,9,34,219,197,56,21,77,476,59221,
