Year,Year_OCD,Diocese,Cd,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Priests: Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Tm,PrshwoResPstr:Lay,Ms,PstrCenter,Completely Vacant,NewPrshCreat,Clsd Prsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcss,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,TColl/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop,,,,,,,,,,,,,
1995,1996,Dodge City,1,1,,,,,,,34,6,,18,58,3,,1,,,,6,,110,57,27,2,27,,2,,1,,,,,,,,5,,3,97201,,,,,,,,,,,4,48725,,,,,,,,2,,,2,,,,,,,10,1284,,,,,1614,4052,6952,,,,5,82,1071,490,140,1671,1123,239,166,405,441,38936,209536,,,,,,,,,,,,,
1995,1996,Dubuque (Archdiocese),,1,2,,,,1,4,171,8,2,94,275,32,1,,,,,63,31,1050,213,141,1,66,3,,3,,,2,1,,,,,56,104,6,634679,3,398,5,444,,,1,65,,,,,,,,,1,7,2,11,1,113,131,3,4063,7,3056,,,55,14132,,,,,6917,16220,44519,4,,,46,902,3627,137,395,3688,2696,1059,686,1745,2169,215322,923000,,,,,,,,,,,,,
1995,1996,Duluth,,,,1,,,,,61,4,,27,92,20,2,1,19,,,,1,194,98,48,14,36,,,,,,4,,,,1,,,,2,102400,,,2,310,,,,,,,,,,,,,,,,5,,,5,1,1895,,,,,13,1807,,,,,4475,5400,13582,1,,,8,108,1213,57,166,1141,1016,344,265,609,1060,81293,396000,,,,,,,,,,,,,
1995,1996,El Paso,,,,,,,,,62,4,,,93,44,,2,,3,18,,11,245,58,40,15,2,,,,,,22,,,,,6,17,17,,,1,16500,2,71,,,2,170,1,47,5,73100,,,,,1,2,,10,2,45,55,,,1,632,2,1101,9,3110,3,826,,,4735,10993,21454,13,,11,32,265,8043,108,237,5201,3246,1037,87,1124,1618,527060,739747,,,,,,,,,,,,,
1995,1996,Erie,,,,1,,1,,,188,8,1,58,255,17,2,1,,3,1,2,2,577,127,101,8,18,,,,,,28,1,,,1,1,29,30,1,181581,,,4,671,,,1,145,2,288,9,53094,,,1,733,1,6,,7,,,13,2,6028,6,1915,2,1322,43,10842,1,344,,,7263,13743,41470,21,,,39,780,2698,538,262,3390,2706,796,573,1369,2625,236255,873015,,,,,,,,,,,,,
1995,1996,Evansville,,,,1,,,,,77,4,,24,105,11,,2,,,22,,2,325,73,59,3,7,2,,2,,,,2,,,,,24,34,2,320667,1,60,3,226,,,1,244,,,15,21000,,,,,,,,10,,,10,,,4,1669,1,85,25,5680,,,1,21,1876,8195,17536,2,,2,28,458,1507,152,191,1510,1889,370,305,675,875,89536,476124,,,,,,,,,,,,,
1995,1996,Fairbanks,,,,1,,1,,,8,1,,,9,23,,39,,,,,4,19,41,8,5,10,3,1,5,,16,7,1,,,,2,19,18,,,,,,,,,,,,,1,2226,,,,,,,,,,,,,,1,264,,,1,271,,,,,712,2159,3406,,,,2,35,399,28,46,413,154,42,36,78,124,18550,133467,,,,,,,,,,,,,
1995,1996,Fall River,,,,1,,,,,145,1,1,42,189,122,2,5,1,5,,44,44,422,112,98,13,1,,,,,,13,,,,,,,,1,54062,1,98,5,879,1,100,2,54,,,4,2400,,,,,,,,33,,,33,1,2825,4,2422,,,23,5622,1,168,,,5142,34223,50435,15,,3,38,576,5636,90,141,5167,4320,1814,397,2211,3979,374083,715000,,,,,,,,,,,,,
1995,1996,Fargo,,,,1,,,,,90,8,1,41,140,10,6,5,,1,,35,2,249,155,81,14,74,,,,,,,,,1,,,,,8,61820,,,8,579,,,,,,,,,,,,,1,7,,11,,,18,,,1,308,,,12,1920,,,,,4610,9746,16602,,,,6,160,2132,53,69,1703,1447,329,239,568,833,97968,390400,,,,,,,,,,,,,
1995,1996,Fort Wayne-South Bend,,,,1,1,2,,,75,2,,29,106,179,,13,,,25,,110,722,88,55,33,6,,,,,,,2,,,2,112,722,10,5,400000,1,20000,9,700,,,2,600,3,20000,6,,,,6,,,,,9,2,33,42,5,13809,4,2817,,,40,10976,,,,,1750,9650,39044,100,,20,75,2275,2192,590,266,2776,2190,625,390,1015,1327,153709,1096876,,,,,,,,,,,,,
1995,1996,Fort Worth,,,,1,,,,,46,4,,8,58,53,15,,,1,13,62,13,90,86,38,21,22,4,,1,,,3,1,,,,8,25,99,1,53135,1,,4,342,,,1,70,,,,,,,3,211,,,,14,,,14,,,4,1592,,,15,4368,1,228,,,5149,15454,26805,1,,8,16,333,4612,370,587,3544,1753,647,368,1015,942,187508,2217133,,,,,,,,,,,,,
1995,1996,Fresno,,,,1,,,,,81,2,,33,116,50,11,,,,1,5,9,130,85,70,11,3,1,,,,,40,,,,,1,130,158,3,452198,,,1,79,,,,,,,12,80800,,,,,,,,20,,,20,,,1,680,1,751,23,5840,,,,,6846,25530,37667,,,5,36,296,16362,529,35,9670,3262,1896,431,2327,3083,320824,1923433,,,,,,,,,,,,,
1995,1996,Gallup,,,,1,,,,,29,21,2,10,62,32,13,,,,3,31,13,163,58,28,19,9,,,,,,41,38,2,,,,,,,,,,1,42,,,,,2,180,1,40000,,,,,,,,3,,,3,,,,,3,144,,,8,1150,,,576,2166,4385,,,,16,141,754,172,67,752,309,109,55,164,428,40495,355640,,,,,,,,,,,,,
1995,1996,Galveston-Houston,,,,1,2,,,,139,9,2,45,195,217,32,5,2,5,,231,25,557,149,94,54,1,,,,,,8,2,,1,,,,,3,263421,148,1562,3,232,1,263,,,7,208867,7,296320,1,60,,,1,18,45,17,5,30,65,1,2500,2,1217,6,2299,45,11496,5,1438,1,60,20843,40584,80497,52,2,1,25,646,19040,2096,1041,15732,9901,2528,1213,3741,3144,792886,4129569,,,,,,,,,,,,,
1995,1996,Gary,,,,2,,,,,95,6,1,30,132,51,8,,,2,,29,22,135,79,74,4,1,,,,,,3,11,,,,1,18,41,6,404332,,,3,478,4,177,1,200,,,,,,,,,,,,12,1,7,19,1,1034,3,2078,1,115,30,7976,1,110,,,948,10996,23276,5,,,17,463,2406,240,236,2543,2221,600,317,917,1740,182115,735926,,,,,,,,,,,,,
1995,1996,Gaylord,,,,1,,,,,47,1,,25,73,15,12,,,,,12,5,82,82,45,12,18,1,,6,,,,,,1,,5,19,38,3,182587,,,,,,,,,2,33,14,10167,,,,,,,,8,,,8,,,4,475,,,18,2856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1996,Grand Island,,,,1,,1,,,50,3,,27,80,0,,1,,1,,,,100,44,,,,,,,,,42,,,,,,21,17,,,2,137696,1,79,,,,,,,,,,,,,,,,6,,,6,,,4,963,,,7,730,,,,,2536,5340,9575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1996,Grand Rapids,,,,1,1,1,,,91,5,,34,130,27,2,,,,,20,3,325,90,87,3,,,,,,,12,,,,,1,26,73,2,295263,,,3,469,,,,,112,238,5,12836,,,4,1280,1,7,,11,,,18,1,2443,4,2158,,,41,9264,,,,,2604,14417,30904,,,1,35,700,2459,297,547,2710,2013,546,407,953,1170,132418,1167900,,,,,,,,,,,,,
1995,1996,Great Falls-Billings,,,,1,,1,,1,42,7,,30,79,18,4,,,,,3,1,89,53,33,12,3,,,5,,,74,,,,2,1,23,44,2,101268,1,15941,,,,,7,703,,,2,56398,,,,,,,,2,,,2,1,1426,1,376,1,148,9,1746,4,643,,,2514,5064,11919,3,,,15,313,1103,124,177,1044,843,199,194,393,739,58820,399532,,,,,,,,,,,,,
1995,1996,Green Bay,,,,1,1,1,1,2,171,12,3,62,248,140,5,4,,1,3,81,49,736,204,127,34,39,1,,3,,,4,21,,,3,,49,109,8,526303,,,11,1208,,,2,105,3,4887,9,192719,1,8,,,,,,14,1,5,19,2,4900,5,1440,1,850,80,15579,,,,,11365,25149,59302,3,,5,49,830,4848,203,418,5199,3811,1552,558,2110,3224,381676,836600,,,,,,,,,,,,,
1995,1996,Greensburg,,,,1,,,1,1,112,12,,32,156,94,1,,2,3,,,29,283,107,84,10,13,,,,,,,,,1,6,,13,37,1,96714,,,2,132,,,,,,,,,1,93,25,1640,,,,16,1,8,24,2,1973,2,841,,,28,6313,1,149,,,2330,11714,23344,12,,5,48,410,2085,124,313,2100,3055,584,431,1015,2135,207292,679144,,,,,,,,,,,,,
1995,1996,Harrisburg,,,,1,,,,1,133,10,,29,172,45,8,1,,3,,59,1,575,89,74,12,3,,,,,,7,,,12,28,,,,2,211830,,,4,410,,,1,15,4,387,7,600,,,1,14,,,,15,,,15,,,7,3631,1,45,40,10560,,,,,2203,19793,36247,4,,,97,787,3287,346,456,3555,2210,572,610,1182,1840,227240,1867124,,,,,,,,,,,,,
1995,1996,Hartford (Archdiocese),,1,1,,,,,,325,16,1,99,441,146,21,6,,3,7,287,78,1069,223,197,17,,9,,,,,4,,,,,6,59,98,3,498190,,,8,999,2,164,10,894,2,1168,6,37401,1,23,1,245,1,,,21,1,123,144,3,2833,4,1751,7,3116,70,18183,3,388,,,8827,47744,83986,8,,19,127,1084,11561,373,489,10133,6738,3175,692,3867,8779,778856,1814610,,,,,,,,,,,,,
1995,1996,Helena,,,,1,,,,,55,11,1,23,90,9,4,,,,2,26,1,74,58,43,3,8,,,4,,,39,14,,,,1,25,27,3,127524,,,,,,,2,150,,,,,,,,,1,,2,6,,,8,1,1418,2,412,,,4,790,,,,,1617,6062,10307,10,,,10,196,912,190,139,1043,844,206,207,413,825,66500,424372,,,,,,,,,,,,,
1995,1996,Honolulu,,,,1,,2,,,42,15,,18,75,78,16,1,,,8,36,50,252,68,37,28,2,1,,,,,31,2,,,,,,,3,361626,11,43663,13,41,,,,,5,381,77,232197,1,110,,,,,,1,1,,2,1,2232,3,1239,4,2285,25,7259,1,496,,,2118,7273,22904,,,7,60,510,4069,454,302,2332,1124,621,323,944,1514,232780,178600,,,,,,,,,,,,,
1995,1996,Houma-Thibodaux,,,,1,,1,,,48,2,,22,72,8,1,1,22,,,,10,36,40,34,3,1,,,2,,,6,,,,,3,10,25,,,,,,,,,1,65,2,,3,,,,,,,,,16,,,16,,,3,1802,,,,,,,,,3704,7720,17536,,,8,1,324,1793,51,266,1560,5069,465,82,547,1054,110752,202000,,,,,,,,,,,,,
1995,1996,Indianapolis (Archdiocese),,1,,,,,1,2,131,7,1,35,174,144,,1,1,,,,64,833,138,101,16,14,,,7,,,14,,,,,,26,84,2,777434,2,219,5,645,,,6,1548,3,249,11,97801,,,,,,,,32,1,101,133,3,2647,6,3296,3,1840,63,21406,,,,,3256,13148,45726,2,,7,52,37851,4181,704,678,2996,2312,743,795,1538,1868,211120,2201503,,,,,,,,,,,,,
1995,1996,Jackson,,,,1,,1,,,51,5,2,12,70,30,1,1,,,10,,10,302,74,44,21,3,,1,3,,2,26,3,,,,3,27,15,1,56388,1,7558,1,225,2,168,2,200,5,2000,2,8050,3,60,4,150,,,,2,,,2,1,25,4,857,,,15,4322,,,,,597,1815,7618,2,,4,36,333,683,120,302,648,469,93,231,324,412,44340,1980025,,,,,,,,,,,,,
1995,1996,Jefferson City,,,,1,,,,,89,9,5,12,115,10,9,2,,2,4,53,3,110,96,68,7,14,,,6,1,,16,,,,,,29,15,1,79694,11,103482,2,262,,,18,453,,,,,,,,,1,27,3,14,,,41,,,2,944,,,37,5892,,,,,2747,5119,14743,5,,3,24,375,3130,210,315,1477,1192,340,348,688,733,83010,777522,,,,,,,,,,,,,
1995,1996,"Joliet, IL",,,,1,1,,1,2,162,9,1,34,206,121,9,2,,2,,118,93,788,118,99,17,2,,,,,,10,,,,1,1,33,92,3,418714,,,10,2122,,,3,662,3,932,5,60009,1,120,,,,,,15,,,15,4,8249,4,2452,4,3120,62,19151,,,,,6220,44375,83582,50,,37,63,1565,10263,512,776,8648,6424,2050,829,2879,3463,511888,1467237,,,,,,,,,,,,,
1995,1996,Juneau,,,,,,,,,7,3,,7,17,3,,1,,,,9,,6,8,4,3,1,,,,,,4,,,,,,,,1,70081,,,1,68,,,1,8628,,,1,6030,,,1,6118,,,,,,,,,,,,,,1,100,,,,,156,651,907,,,,,9,133,9,28,109,46,12,34,46,31,5759,82734,,,,,,,,,,,,,
1995,1996,Kalamazoo,,,,1,,1,,,40,,19,59,17,7,,1,,1,,19,4,237,47,34,9,1,1,,2,,,13,1,,,,3,22,26,3,437450,,,5,425,,,2,84,2,337,4,25956,,,,,,,,6,,,6,,,3,849,,,21,4675,,,,,1221,6436,13187,,,,8,267,1636,220,231,1462,1199,301,318,619,854,102225,968535,,,,,,,,,,,,,
1995,1996,"Kansas City, KS (Archdiocese)",,1,1,,,1,1,3,81,10,1,9,101,69,,1,,,,,20,850,119,59,18,42,,,,,,,,,,,,,,3,294100,3,8000,4,675,,,2,275,,,5,5245,1,165,,,,,,10,,,10,3,3199,5,2933,2,320,39,12004,,,,,2565,12400,33431,6,,18,82,940,3315,378,940,3440,2645,745,650,1395,956,179490,952000,,,,,,,,,,,,,
1995,1996,Kansas City-St. Joseph,,,,1,,1,1,1,73,5,1,55,134,108,,3,2,1,,56,37,329,85,61,20,2,,,1,,,15,,,1,2,,,,3,156518,,,12,1003,,,14,317,,,,,1,29,,,,,,7,1,71,78,2,4736,5,1408,3,1478,34,10016,1,223,,,769,8096,26804,4,,4,30,799,2207,139,286,2520,1584,562,481,1043,1328,145343,1299555,,,,,,,,,,,,,
1995,1996,Knoxville,,,,1,,,,,34,4,,8,46,19,19,3,1,,,24,14,53,43,27,7,8,,,,,1,1,,,1,,,9,24,2,279877,1,110,1,382,,,,,1,278,6,10000,,,,,,,,15,,,15,,,2,805,,,7,2435,,,,,1096,3956,8307,2,,,8,232,682,171,214,929,570,91,190,281,258,39714,1860218,,,,,,,,,,,,,
1995,1996,La Crosse,,,,1,,2,1,,130,7,3,64,204,24,4,3,1,4,,22,8,558,187,116,5,50,1,3,8,,1,,2,3,1,4,1,28,45,9,250164,,,11,850,,,1,150,5,883,5,3340,3,183,,,1,2,5,28,,2,32,1,1640,7,1918,,,78,13117,,,,,8706,18137,43550,7,,3,37,832,3189,198,434,3826,3064,973,511,1484,2158,227940,827970,,,,,,,,,,,,,
1995,1996,Lafayette,,,,1,,1,,,110,7,1,36,154,2,7,1,,2,,53,32,176,121,88,26,2,,,3,,,35,,2,,,,,,1,80860,1,15100,5,800,,,,,1,250,6,180000,,,,,,,,31,1,10,41,,,9,3219,1,154,29,10019,2,648,,,10849,27133,52063,,,1,29,806,6082,179,263,5678,4288,1626,240,1866,3493,350001,540000,,,,,,,,,,,,,
1995,1996,"Lafayette, IN",,,,1,,,,,82,18,,23,123,19,3,1,,,,5,,109,62,52,4,6,,,,,,1,,,,,,23,70,4,430772,2,2385,2,385,,,,,,,,,,,,,,,,8,,,8,2,11373,1,359,,,18,3370,,,,,2793,8437,26340,,,,,198,1738,229,313,1787,1225,272,315,587,721,91526,1022916,,,,,,,,,,,,,
1995,1996,Lake Charles,,,,1,,,,,39,5,,5,49,23,6,1,,1,,19,5,30,36,26,10,25,,,,,,,,,,,5,18,18,1,98476,,,,,,,1,57,,,1,1891,,,,,,,,7,,,7,,,1,438,,,8,2321,,,,,3358,6213,12337,1,,2,,196,1492,96,176,1376,1228,348,142,490,896,82266,259425,,,,,,,,,,,,,
1995,1996,Lansing,,,,1,,1,,,104,8,,35,147,34,9,5,,,9,65,9,439,87,71,11,,,,4,,1,4,3,,,,,,400,10,1266795,5,6481,2,258,3,212,1,130,,,1,,1,70,,,,,,24,,,24,1,2169,4,2483,1,120,38,10068,1,335,,,3190,20245,38634,6,,4,20,646,4279,698,1194,4321,3753,1311,1029,2340,1904,234899,1655574,,,,,,,,,,,,,
1995,1996,Las Cruces,,,,1,,,,,19,2,,7,28,42,9,,,,,25,2,84,44,15,20,7,1,,1,,,44,,,,,,6,20,,,,,,,,,1,8,,,1,800,,,,,,,,2,,,2,,,,,,,5,631,,,,,2956,7663,11252,,,,3,50,2921,135,265,2336,1095,504,99,603,945,125238,451817,,,,,,,,,,,,,
1995,1996,Las Vegas,,,,1,,,,,23,2,,1,26,16,28,,,6,,6,6,55,26,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,7,2157,,,,,,,10823,1,,2,13,108,,,,,,,,,,325906,1064745,,,,,,,,,,,,,
1995,1996,Lexington,,,,1,,,,,41,,,12,53,21,4,,,,7,29,4,185,61,36,7,6,2,1,,9,,6,,,,,,30,23,6,252617,4,60043,1,85,,,3,150,,,1,8165,,,,,,,,3,,,3,,,1,636,2,105,14,3158,1,234,,,558,2636,7330,5,,,20,227,587,140,231,798,896,129,209,338,284,40991,1376114,,,,,,,,,,,,,
1995,1996,Lincoln,,,,1,,,,,105,3,3,26,137,12,1,3,,4,,,11,130,134,83,3,48,,,,,,1,,,,1,,,,3,154988,,,2,265,,,,,,,4,49114,1,10,2,9201,,,,39,,,39,,,6,1607,,,24,5627,,,1,1,1966,6238,15478,14,,,56,347,1361,130,197,1538,1616,256,235,491,636,84918,516662,,,,,,,,,,,,,
1995,1996,Little Rock,,,,1,,,1,1,61,1,,32,94,57,16,1,,,,49,47,364,90,53,30,5,1,,1,,,45,,,3,,5,19,33,10,666756,,,5,226,,,11,526,1,65,25,2170,,,,,,,,13,,,13,,,3,970,2,805,31,6681,1,103,,,2483,5821,16876,12,,9,32,496,1665,285,464,2414,1176,235,348,583,838,84079,2452660,,,,,,,,,,,,,
1995,1996,Los Angeles (Archdiocese),1,,,,6,1,1,,441,17,2,118,578,601,104,6,4,,18,151,230,2022,284,203,63,27,,,,1,,12,1,,,,8,204,471,18,1514263,2,13200,7,485,3,379,80,13189,5,696,82,356920,2,61,7,1237,2,86,69,4,,15,105,6,9975,29,18029,22,12748,221,67864,8,2228,,,24000,200000,334949,69,,27,440,3089,92233,1852,2132,43138,14845,11269,1597,12866,13678,3631368,16803827,,,,,,,,,,,,,
1995,1996,Louisville (Archdiocese),,1,1,,,1,1,,130,7,1,52,199,68,1,1,,2,,89,97,1110,121,93,11,13,1,,2,,1,14,,,,,,32,119,2,111443,1,2425,5,581,,,,,1,400,1,7000,,,,,,,,15,,,15,3,4125,4,2143,6,3749,55,17942,3,894,2,156,913,9385,39322,3,,7,15,999,2959,300,536,3029,3247,711,485,1196,1910,183105,1139022,,,,,,,,,,,,,
1995,1996,Lubbock,,,,1,,,,,28,3,,2,33,11,2,2,,1,,23,,35,36,22,9,1,1,,,,,27,,2,,,,,,1,83797,14,117428,,,,,1,80,,,,,,,1,33000,,,,8,,,8,,,1,99,,,2,326,,,,,2702,6467,9602,,,,,24,1840,54,135,1467,1081,308,83,391,409,43764,447136,,,,,,,,,,,,,
1995,1996,Madison,,,,1,1,,,,127,5,,33,165,26,,1,,,,,9,424,137,102,4,31,,,,,,,,,,,,37,114,4,215258,2,306,6,793,,,13,710,,,7,37849,1,600,,,,,,23,,,23,1,2056,1,92,1,583,44,7353,1,254,,,12378,17275,40014,,,1,30,535,3228,462,,3219,2445,835,573,1408,1583,254430,857002,,,,,,,,,,,,,
1995,1996,Manchester,,,,1,,1,1,1,161,19,,60,240,98,5,2,1,5,,21,50,839,131,116,10,5,,,,,,34,,,,,1,26,28,2,115385,2,50,6,433,2,42,1,309,1,,1,,,,,,,,,19,1,1,20,6,6501,3,1391,1,760,23,5997,3,744,,,5635,27837,48885,4,,6,66,576,5496,167,200,4981,2875,1136,509,1645,2836,321678,1137000,,,,,,,,,,,,,
1995,1996,Marquette,,,,1,,1,,,71,6,,40,117,7,3,1,,,3,14,,74,77,63,6,4,,,4,,,27,,,2,9,,33,12,1,57559,,,1,129,,,,,,,6,1200,,,,,,,,9,,,9,,,,,,,10,1910,,,,,3587,7336,12842,,,,10,119,1222,103,119,1148,1180,407,215,622,1208,72081,313915,,,,,,,,,,,,,
1995,1996,Memphis,,,,1,,,,,54,5,,17,76,9,4,,,,,25,37,108,43,33,5,8,1,,1,,,6,1,,,,2,8,33,1,42850,1,64505,6,587,1,228,4,955,,,1,48,2,42,2,104,,,,10,,,10,1,1766,4,1149,3,1072,11,3603,3,457,1,48,903,4140,13148,2,,9,19,429,1045,182,273,1070,1040,165,242,407,476,57007,1373000,,,,,,,,,,,,,
1995,1996,Metuchen,,,,1,,,,,170,17,1,23,211,45,21,3,2,3,,85,23,492,108,97,5,6,,,,,,,,,,,17,214,74,1,150274,1,140,2,196,,,4,354,1,35,7,21967,,,2,38,,,,14,,,14,,,4,2526,2,1079,42,14209,,,1,43,1627,35622,55120,4,,11,131,862,7561,142,302,6489,4905,1698,526,2224,3736,477900,1164140,,,,,,,,,,,,,
1995,1996,Miami (Archdiocese),,1,1,,1,,,,210,6,2,331,249,118,94,3,1,6,7,127,54,354,108,99,12,,,,,,,3,1,,1,,1,55,150,3,316116,3,35000,4,31755,2,371,6,2104,3,763,30,489401,1,130,11,1050,1,13,29,20,,,33,2,10084,7,5725,5,3996,48,21564,3,1136,1,115,3505,44109,82653,30,,35,29,589,17735,846,1195,12236,8435,3498,572,4070,4880,744048,3490242,,,,,,,,,,,,,
1995,1996,"Military Services, USA",,1,1,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20100,,,,43200,,,,,,,63300,5100,,,10,225,7176,1575,459,3602,3419,862,789,1651,442700,645100,1087800,,,,,,,,,,,,,
1995,1996,Milwaukee (Archdiocese),,1,,,1,1,1,2,313,19,5,168,505,361,30,3,,1,,151,96,2335,277,224,23,26,,,1,,3,,20,,,,2,62,300,11,1222517,2,19431,24,4178,,,7,805,3,35,22,464268,,,2,440,1,17,,,1,11,28,5,22349,7,4548,6,3123,144,28572,1,39,2,17,14807,39940,113423,72,16,10,216,3288,9343,634,649,9936,5847,2506,1236,3742,5885,613744,2080883,,,,,,,,,,,,,
1995,1996,Mobile (Archdiocese),,1,,,,,,1,78,9,2,19,108,45,4,6,1,4,,41,17,222,77,49,24,4,,,,,,16,3,,,,1,,,1,152835,4,3862,3,362,1,300,3,215,1,15,9,102555,3,156,3,342,,,,15,,,15,1,1026,3,1640,,,21,6039,,,,,803,3652,13175,,,1,17,391,1114,203,325,1192,1216,190,273,463,580,68931,1452506,,,,,,,,,,,,,
1995,1996,Monterey,,,,1,,2,,,53,3,,34,90,30,5,1,1,3,,2,30,109,46,36,7,2,,,,,,9,,1,1,,,,,1,172476,,,4,442,,,,,,,,,,,,,,,,14,,,14,,,2,625,2,705,13,3347,3,698,,,1190,8522,15101,,,6,20,270,4588,210,235,3207,853,766,231,997,1182,170321,851604,,,,,,,,,,,,,
1995,1996,Nashville,,,,1,,1,,,33,6,,14,53,23,3,,,,,29,2,159,50,30,9,9,,,1,,1,3,,,,,,12,23,1,145882,,,3,478,,,3,307,1,280,6,39748,,,2,760,,,,8,,,8,1,408,1,1000,1,185,13,3525,1,683,,,1426,7939,15174,3,,,39,375,1157,208,407,1299,976,174,258,432,328,56813,1762555,,,,,,,,,,,,,
1995,1996,New Orleans (Archdiocese),,1,1,,2,,1,,168,13,,47,228,234,18,3,,3,1,173,153,898,147,108,39,,,,,,,8,1,,1,,,,,,,1,180,16,2927,4,365,19,1210,5,3672,80,106152,9,94,14,2637,2,24,128,1,4,22,47,3,10355,10,6579,13,9617,75,34016,6,1444,1,194,4715,18051,85018,73,,38,177,3359,7463,370,350,6769,5770,1904,592,2496,4678,488368,1330855,,,,,,,,,,,,,
1995,1996,New Ulm,,,,1,,1,,,55,9,2,29,95,0,3,,,,,3,,96,83,47,,21,,,12,,3,,,,,1,,15,26,2,7589,1,985,3,189,,,,,,,,,1,1172,,,,,,6,,,6,,,3,474,,,21,3542,,,,,4051,8809,16882,,,,15,247,1121,23,140,1335,1371,238,226,464,793,72274,281798,,,,,,,,,,,,,
1995,1996,New York (Archdiocese),1,,,,6,1,,,610,58,,242,910,1106,209,8,,10,3,331,473,4148,413,315,77,21,,,,,,,,,,,,,,17,1893420,3,151260,17,20000,14,38900,15,1677,5,600,148,635000,,,,,2,59,23,3,2,6,68,12,59409,25,13703,30,14418,223,75461,15,3540,4,140,8105,96915,271759,81,,99,530,4445,35522,898,546,25492,18345,6842,1613,8455,16956,2327300,5351854,,,,,,,,,,,,,
1995,1996,Newark (Archdiocese),,1,1,,3,2,1,,597,38,,192,827,268,68,16,2,14,24,237,112,1651,238,204,34,,,,,,,5,172,,,,9,143,191,8,609242,81,27835,7,518,,,126,3000,3,189,236,135287,2,35,6,16498,3,92,17,4,1,20,116,4,16020,18,8244,20,7678,145,45893,6,1204,3,162,4859,50000,134176,125,,52,447,3652,18475,414,877,13713,10984,5168,956,6124,12522,1325838,2656693,,,,,,,,,,,,,
1995,1996,Newton (Melkite U.S.),,,,1,1,1,,,35,1,,6,42,21,1,1,,,,26,2,3,34,24,10,,,,,,,8,,,,,,,,,,,,,,,,,,2,6200,1,5800,,,,,1,3,,,1,3,6,,,,,,,,,,,,,235,1173,1414,,,,,,554,27,25,606,608,137,34,171,190,27700,,499,566,,,,,,,,,,,
1995,1996,Norwich,,,,1,,,,,101,4,,38,143,70,10,3,,1,52,52,28,302,78,67,10,1,,,,,,10,23,,,,3,56,59,,,,,3,283,,,,,,,1,154,,,,,,,,11,1,30,43,,,3,1755,2,252,20,4564,,,,,3250,15585,25447,4,,9,54,255,3480,165,613,2760,1794,829,307,1136,2309,221599,625450,,,,,,,,,,,,,
1995,1996,Oakland,,,,1,,,,,145,6,,40,191,253,17,2,,1,,81,16,332,86,59,16,11,,,,,,4,11,,,,1,35,319,1,28000,,,3,1093,,,5,1200,4,1600,5,72036,2,750,,,,,,17,3,71,88,3,4556,3,2030,6,4059,55,15241,,,,,1750,9882,37606,,,16,19,848,8922,490,965,5911,2386,1302,554,1856,2467,485183,2132632,,,,,,,,,,,,,
1995,1996,Ogdensburg,,,,1,,1,,,123,10,2,41,176,17,,,,1,,51,15,223,122,90,4,25,1,,2,,,27,9,,,,1,29,,,,,,3,357,,,1,26,,,8,10025,,,,,1,8,5,6,,,14,1,427,2,660,,,24,4606,,,,,3248,11046,20001,3,,3,37,295,2065,187,88,2039,1455,572,326,898,1863,141322,425622,,,,,,,,,,,,,
