Year,Year_OCD,Diocese,Cd,ABp,ABp:Ret,Bp,AuxBp,Bp:Ret,Abts,Abts:Ret,Priests: Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Tm,PrshwoResPstr:Lay,Ms,PstrCenter,Completely Vacant,NewPrshCreat,Clsd Prsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcss,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,StdntOthDio,DStdntOthSem,Sem:R,StdntR,TotSemnr,Coll/Univ,TColl/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Schlstics,Tchrs:Br,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop,,,,,,,,,,,,,
1995,1996,Baton Rouge,,,,1,,,,,71,3,,21,95,48,10,1,2,,,25,11,125,70,52,15,2,,,,,1,,,,,,1,13,57,1,200000,2,630,5,578,,,,,4,342,4,138800,,,,,,,,6,,,6,1,768,6,2390,2,1507,26,12525,,,,,5305,13932,36433,3,,4,23,881,3185,325,475,2913,2585,832,414,1246,1564,222980,774536,,,,,,,,,,,,,
1995,1996,Beaumont,,,,1,,,,,38,4,,12,54,19,3,,,,,30,4,59,43,30,13,,,,,,,10,2,,,,1,16,42,2,418013,,,,,,,2,800,1,12,1,53560,,,,,,,,7,,,7,,,1,680,,,7,1954,,,,,1955,7747,12343,1,,2,12,193,1402,134,233,1467,1007,237,209,446,795,86595,541354,,,,,,,,,,,,,
1995,1996,Belleville,,,,1,,,,,96,4,,46,146,41,3,2,,3,,25,7,262,128,91,6,31,,,,,,1,8,,,,,,,8,400134,1,15942,6,612,,,4,424,1,296,3,40682,,,,,,,,16,,,16,1,672,3,1554,,,39,7575,,,,,1582,7018,18417,2,,,17,475,1656,242,259,1865,1595,461,415,876,1267,106426,842557,,,,,,,,,,,,,
1995,1996,Biloxi,,,,1,,,,,43,1,,12,56,31,8,1,,,,19,34,62,44,35,8,1,,,,,,12,,,,,,12,1,,,,,6,566,,,,,,,6,53584,,,1,317,,,,7,,,,,,4,1244,1,584,14,3010,,,,,2701,3318,10864,,,4,23,313,830,437,133,1163,659,209,186,359,644,65143,684890,,,,,,,,,,,,,
1995,1996,Birmingham,,,,1,,,1,3,51,1,2,15,69,49,,,1,,,22,17,170,74,43,14,13,1,,2,,3,2,,,,1,2,14,42,1,98714,1,821942,,,,,,,,,12,3768,,,1,65,,,,8,,,8,,,2,1110,1,125,19,4749,1,190,1,143,1870,5908,14103,9,1,,31,357,1213,148,408,1194,924,162,283,445,428,68252,2637893,,,,,,,,,,,,,
1995,1996,Bismark,,,,,,,1,2,49,5,,14,68,29,7,1,,,4,53,24,173,65,46,9,10,1,,,,,38,,1,,,2,9,42,6,251602,,,5,437,,,,,1,79,,,,,1,4,,,,22,,2,24,1,2354,3,1319,,,16,2186,,,,,3263,7945,17091,4,,3,17,268,1387,93,232,1483,1309,376,225,601,697,69388,261307,,,,,,,,,,,,,
1995,1996,Boise,,,,1,,1,,,61,8,2,25,96,13,4,,,,,29,8,115,74,58,4,11,,,1,,,40,,,,,,6,22,5,409797,,,,,,,4,125,,,12,54189,,,,,,,,12,,,12,,,1,678,,,12,2304,,,,,2554,6796,12344,,,,6,142,2421,248,211,1888,965,327,271,598,674,115150,1144000,,,,,,,,,,,,,
1995,1996,Boston (Archdiocese),1,,,,4,1,1,,644,78,20,275,1017,763,31,18,1,18,4,181,160,3194,395,356,34,5,,,,,,,,,,2,,78,46,9,57710,99,319992,13,3450,2,395,9,1318,18,2749,51,123723,5,168,6,66334,2,68,103,,9,169,237,9,21856,17,6182,20,8704,119,35761,11,3489,6,55,30258,123658,230200,20,,30,361,2957,27465,452,327,22470,13717,7620,1991,9611,18473,2009946,3795693,,,,,,,,,,,,,
1995,1996,Bridgeport,,,,1,,1,,,192,17,3,40,252,82,9,8,,4,6,73,2,555,88,84,4,,,,,,,2,,,,,,31,67,2,209712,,,4,826,,,43,439,12,46,21,16814,,,1,24,1,16,28,,,,44,3,10792,5,2449,3,1000,32,9477,2,230,,,2673,25544,52209,10,3,2,43,549,5869,167,141,5109,3885,2096,456,2552,3514,353238,829786,,,,,,,,,,,,,
1995,1996,Brooklyn,,,,1,4,,,,461,42,4,216,723,233,53,7,1,1,,150,191,1583,219,186,25,7,,,,,,,,,,,5,92,11,4,1293814,3,591,6,1390,18,8500,15,2100,10,2990,50,38000,50,1630,2185,3187,1,23,6,30,2,18,71,2,18536,4,1903,18,16596,57,55194,3,514,1,43,10434,45051,148342,15,,90,531,3519,20617,616,3194,13674,10121,3825,470,4295,10815,1531858,4236720,,,,,,,,,,,,,
