Year,Year_OCD,Year established,Diocese,ST,Cd,Cd:Ret,ABp,ABp:Ret,Bp,Bp:Ret,AuxBp,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,DStdntOthSem,StdntOthDio,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Br,Tchrs:Schlstics,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,MinorBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2012,2013,,Albany,NY,,,,,1,,,,,105,4,,103,212,59,271,7,2,,1,3,111,56,608,127,90,9,1,10,,7,10,,,13,7,1,2,6,27,225,3,1300000,17,74000,7,1250,3,92,2,175,18,222,75,100685,17,73,18,866,,,8,,,,8,4,10000,4,1109,3,762,19,4527,2,196,,,6320,17619,40522,,2,,12,686,2582,536,18,148,3642,2830,681,311,992,3995,330000,1392464
2012,2013,,Alexandria,LA,,,,,1,,,,,33,6,,14,53,10,63,14,1,,1,,20,3,29,50,42,7,1,,,,,,,21,,,,3,29,15,1,294149,1,350,1,104,,,,,,,8,925,1,202,1,58900,,,9,,,,9,,,3,955,,,7,1388,,,,,943,1991,5286,,3,,6,184,493,35,44,100,570,437,107,53,160,557,43520,383421
2012,2013,1/28/1961,Allentown,PA,,,,,1,1,,,,124,10,,65,199,67,266,1,1,,1,,105,17,340,104,89,4,11,,,,,,,1,26,,,17,340,,2,512420,1,1868,13,1150,,,1,124,3,604,6,32192,1,63,,,,,17,,,,17,2,7142,7,3453,,,40,8799,,,3,117,229,14972,34729,10,,,34,932,2684,,132,304,3345,3278,507,265,772,2932,270469,1272212
2012,2013,5/27/1901,Altoona-Johnstown,PA,,,,,1,1,,,,74,12,,32,118,52,170,1,,,2,1,37,10,70,87,70,14,,3,,1,,,,5,,,1,,,,,,1,253,3,339,,,,,,,2,32873,,,,,,,3,,,,3,2,4042,,,4,1022,20,3407,,,,,2368,5986,16828,,1,,6,337,919,67,64,115,1067,1235,268,187,455,1457,87525,652258
2012,2013,8/25/1926,Amarillo,TX,,,,,1,1,,,,24,2,,13,39,4,43,13,1,,,16,56,,88,38,22,2,6,,,,,,,11,,,,1,1,19,,,,,,,,,1,121,3,337,1,3800,,,1,1,,,7,,,,7,,,1,102,,,4,646,,,,,1868,3592,6215,2,,,5,67,955,85,59,116,1015,691,179,31,210,320,43355,432849
2012,2013,2/9/1966,Anchorage,AK,,,1,1,,,,,,19,,1,4,24,10,34,8,,,1,16,18,1,18,23,15,7,,,,,2,,,7,,,,1,18,16,1,78251,5,641,1,641,2,18,,,,,3,19373,,,,,,,4,,,,4,,,1,82,1,24,3,329,1,65,,,724,1714,2942,1,,,,41,352,29,30,45,470,350,34,28,62,89,26742,400000
2012,2013,8/13/1974,Arlington,VA,,,,,1,,,1,,138,138,1,17,164,55,31,31,3,1,7,7,67,10,133,68,58,10,,,,,,,,6,1,,,,41,191,,,1,239,,,,,32,2189,2,91,7,56743,,,,,,,37,,,,37,4,5438,4,3835,2,539,39,10550,1,193,,,3000,36500,60092,6,,,41,1385,7414,517,382,558,8199,6734,694,827,1521,629,454382,2968486
2012,2013,7/2/1956,Atlanta,GA,,,1,,,,2,1,,161,4,,43,208,84,292,13,2,,6,11,235,30,86,88,69,19,,,,,,,,9,,,,5,12,119,4,348989,,,3,95,,,,,,,4,22000,,,,,,,47,,,,47,,,3,2446,4,1741,15,6062,3,1421,,,9673,32610,54000,11,,,7,1015,10167,755,522,725,9382,5126,1537,615,2152,1163,1000000,6998399
2012,2013,1/1/1948,Austin,TX,,,,,1,1,,,,95,8,,31,134,55,189,29,4,,4,,165,51,94,101,80,18,3,,,,,,,22,4,,,4,27,164,5,1998636,,,2,561,,,2,170,2,932,4,3934,,,,,,,41,,,,41,1,5285,4,1125,2,460,16,3453,1,381,,,10103,27781,48629,1,,,11,514,8472,717,376,671,8389,4697,1472,272,1744,1614,536183,2902992
2012,2013,5/19/1903,Baker,OR,,,,,1,1,,,,17,4,,15,36,6,42,15,,,,,10,,19,31,27,4,3,,,,,,,28,,9,,,9,20,4,358608,,,3,193,,,1,12,,,6,76465,,,,,,,3,,,,3,,,,,,,5,528,,,,,687,2493,3711,,,,,41,826,92,45,62,961,665,112,43,155,271,35266,512473
