Year,Year_OCD,Year established,Diocese,ST,Cd,Cd:Ret,ABp,ABp:Ret,Bp,Bp:Ret,AuxBp,Abts,Abts:Ret,Pr:DADio,Pr:AOtDio,Pr:DioForMsn,Pr:Ret/Sk/Abs,TotDPr,TotRPr,TotPriests,ExtPrDio,Ord:DPr,Ord:RPr,Ord:TrDeac,Ord:PrmDeac,PrmDeacDioTot,TotBr,TotSis,Prsh,PrshwResPstrD,PrshwResPstrR,PrshwoResPstr:Pr,PrshwoResPstr:Deac,PrshwoResPstr:Br,PrshwoResPstr:Sis,PrshwoResPstr:Lay,PrshwoResPstr:Tm,Vacant,Ms,PstrCenter,NewPrsh,ClsdPrsh,ProfMnstry:Br,ProfMnstry:Sis,ProfMnstry:LayMin,Hsp,Hsp:TotAssist,HCCntr,HCCntr:TotAssist,HmAged,HmAged:TotAssist,ResCrChld,ResCrChld:TotAssist,DyCr/XDyCrCntr,DyCr/XDyCr:TotAssist,SpHms,SpHms:TotAssist,SpCntrSocSvcs,SpCntrSocSvs:TotAssist,ResCrDis,ResCrDis:TotAssist,OthInst,OthInst:TotAssist,Sem:D,StdntDio,DStdntOthSem,StdntOthDio,Sem:R,StdntR,TotSemnr,Coll/Univ,Coll/Univ:TotStdnt,HS:D/Prsh,HS:D/Prsh:TotStdnt,HS:Prvt,HS:Prvt:TotStdnt,ElSch:D/Prsh,ElSch:D/Prsh:TotStdnt,ElSch:Prvt,ElSch:Prvt:TotStdnt,NResSchDis,NResSchDis:TotStdnt,RE:HSStdnt,RE:ElStdnt,RE:TotStdnt,Tchrs:Pr,Tchrs:Br,Tchrs:Schlstics,Tchrs:Sis,Tchrs:LayTchrs,InfBapt,MinorBapt,AdltBapt,RcvdFullComm,FirstComm,Conf,Mar:Cath,Mar:Inter,TotMar,Dth,TotCath,TotPop
2010,2011,8/22/1969,Fort Worth,TX,,,,,1,,,,,48,2,1,20,71,52,123,9,3,,3,,109,9,79,89,38,20,22,8,1,,,,,,,,,6,60,300,,,,,4,342,,,,,,,18,111817,,,,,,,30,,,,30,1,50,4,1398,,,16,4649,1,168,,,7696,21156,35147,,1,,4,518,5982,468,342,842,6360,3403,783,240,1023,1176,586146,3260246
2010,2011,12/15/1967,Fresno,CA,,,,,,,,,,86,4,,33,123,39,162,17,3,,1,,47,1,96,89,60,9,19,1,,,,,,43,,,,1,27,80,3,581970,,,2,210,,,,,,,5,145664,,,,,,,18,,1,,18,,,2,1207,,,20,4571,,,,,10211,26514,42521,1,,,21,212,19282,842,416,361,14827,6490,1907,288,2195,3588,1064756,2730144
2010,2011,12/16/1939,Gallup,NM,,,,,1,,,,,20,5,,14,39,17,56,6,,,,1,27,8,110,52,22,10,14,,,3,,,1,22,,,,6,51,55,,,,,1,50,,,,,1,25,12,75000,,,,,,,3,,,,3,,,1,51,1,75,10,959,1,177,,,759,2513,4537,,,,20,127,569,119,104,88,697,406,55,29,84,549,61990,495000
2010,2011,,Galveston-Houston,TX,1,,,1,,1,,,,138,3,2,57,200,206,406,39,1,,,,378,16,449,146,103,39,4,,,,,,,7,18,1,5,,,,4,209112,10,87319,4,389,4,661,36,3475,5,12192,10,787001,5,158003,5,628998,1,18,28,61,5,16,62,1,3234,9,4242,,,44,11504,6,2098,,,17800,68703,107643,6,1,,34,1423,10395,13207,1714,824,20246,10017,2508,679,3187,3924,1152154,5953836
2010,2011,12/17/1956,Gary,IN,1,,,,1,,,,,65,3,1,34,103,42,145,11,1,,,,57,13,74,69,51,4,14,,,,,,,4,6,,,2,6,54,6,1244938,,,2,226,2,200,2,500,2,700,7,10000,,,,,,,7,,1,9,16,1,1275,3,1183,1,36,20,5404,,,,,623,8961,17498,,,,,538,1523,112,143,200,2086,1850,345,156,501,1523,184500,787784
2010,2011,7/20/1971,Gaylord,MI,,,,,1,1,,,,40,2,,22,64,6,70,15,2,,,,22,,30,80,31,3,38,,,3,2,,,,,,,,6,47,3,375000,,,,,4,295,11,342,1,250,23,28972,,,,,,,10,,,,10,,,4,477,,,16,1887,,,,,858,2138,5320,1,,,1,182,533,75,49,183,849,904,164,106,270,819,59328,507722
2010,2011,4/11/1917,Grand Island,NE,,,,,1,,,,,36,2,,31,69,,69,6,2,,1,3,5,,63,36,30,5,1,,,,,,,33,,,1,,,,,,2,168000,1,50,,,,,,,,,,,,,,,6,,,,6,,,4,480,,,6,1063,,,,,2321,3870,7740,,,,2,106,850,97,49,123,889,682,144,113,257,464,49544,300424
2010,2011,,Grand Rapids,MI,,,,,1,1,,,,64,,,40,104,15,119,13,1,,1,,40,1,322,91,79,5,4,1,,,2,,,12,1,,,,,,2,1796883,,,3,900,,,,,16,3600,12,230955,,,,,,,14,,,,14,1,2312,3,1367,1,184,26,4291,1,261,,,2514,10780,21723,,,,2,390,2642,163,220,375,2667,1955,494,265,759,1420,178000,1283717
2010,2011,5/18/1904,Great Falls-Billings,MT,,,,,1,1,,,,33,4,,27,64,13,77,3,1,,,,5,1,52,55,29,10,8,4,,1,3,,,51,,,,1,10,37,2,431756,,,1,74,,,7,368,1,8,,,,,,,,,,,,,4,1,957,2,428,1,120,9,1468,4,492,,,918,2494,6881,2,,,5,284,657,85,58,75,732,725,103,69,172,693,43731,404779
2010,2011,,Green Bay,WI,,,,,1,1,1,1,1,80,8,2,93,183,95,278,12,2,,2,5,135,36,469,157,62,18,44,13,,10,10,,,2,18,,,,49,163,8,1004303,,,13,922,,,2,121,4,7661,8,207991,1,3,,,,,23,,1,6,29,2,3531,5,1446,1,741,55,8757,,,,,9045,20175,43724,2,,,14,732,3508,,124,208,3630,3186,813,315,1128,2944,324248,1013275
